DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Steve Novak,MIL,CHI,,3:13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,2,0.0,0,0,0,,0,0.0,104.2,69.4,34.7,0.0,0.0,0.0,85.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,1.333,0.347,0.333,0,0,0,0,0,0,0,2,0,0,NBA TV
2016-10-08,Steve Novak,MIL,DAL,,5:14,0.194,0.286,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2,1.0,2,2,1.0,0,0.0,0,0,0,0,0,0,6,1,7.0,0,0,0,,0,0.0,116.3,112.7,3.6,0.0,0.0,1.5,92.09,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.583,0.667,0.205,0.0,0,0,0,0,2,0,3,2,0,0,
2016-10-17,Steve Novak,MIL,DET,,8:26,0.059,0.071,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0.0,0,0.0,0,0,0,0,0,0,0,-13,0.0,0,0,0,,0,0.0,50.0,141.1,-91.1,0.0,0.0,0.0,87.88,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633,0.133,0.134,0.6,0,0,0,0,4,4,4,14,4,0,
2015-11-13,Steve Novak,OKC,PHI,,1:08,0.347,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,1,1.0,1,1,1.0,0,0.0,1,0,0,0,0,0,3,-1,4.75,1,2,1,0.0,0,0.0,138.9,166.7,-27.8,0.0,1.0,1.5,124.52,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.833,0.0,0.0,0.0,0,0,0,0,3,0,0,2,0,0,
2015-12-08,Steve Novak,OKC,MEM,,5:11,0.364,0.364,0.5,0.0,0.143,0.0,0.0,0.0,0.0,1.0,0.231,4,0.25,1,2,0.5,0,0.0,1,0,0,0,0,1,3,4,4.75,1,10,6,0.0,2,0.5,144.4,91.1,53.4,0.0,0.1,0.375,87.42,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.438,0.25,0.101,0.0,0,0,0,0,0,0,0,4,0,0,
2015-12-16,Steve Novak,OKC,POR,,2:56,0.145,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0.0,0,0.0,0,0,0,0,0,0,0,-4,0.0,0,6,5,0.0,0,0.0,43.6,116.7,-73.1,0.0,0.0,0.0,105.38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.167,0.0,0,0,0,0,2,0,0,4,0,0,
2015-12-19,Steve Novak,OKC,LAL,,6:00,0.154,0.2,0.4,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.25,2,0.5,1,2,0.5,0,0.0,1,0,0,0,0,0,3,0,4.75,3,6,4,0.0,0,0.0,92.3,83.1,9.2,0.0,0.077,0.75,109.76,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.423,0.077,0.208,0.25,0,0,0,0,0,2,3,6,2,0,
2015-12-23,Steve Novak,OKC,LAL,,5:46,0.067,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1,1.0,0,0,0.0,0,0.0,0,0,0,0,0,0,2,3,2.0,0,5,4,0.0,1,1.0,133.3,118.2,15.2,0.0,0.0,1.0,95.72,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.591,0.0,0.091,0.25,0,0,0,0,2,0,2,10,0,0,NBA TV
2016-02-08,Steve Novak,OKC,PHX,,1:09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,2,0.0,0,2,2,0.0,0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,83.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,
2016-02-11,Steve Novak,OKC,NOP,,2:18,0.571,0.5,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.6,3,0.667,2,3,0.667,0,0.0,1,0,0,0,1,0,6,3,7.75,1,7,3,0.0,2,0.5,142.9,121.5,21.3,0.0,0.25,1.0,133.15,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,1.0,0.174,0.333,0,0,3,0,2,1,5,4,1,0,TNT
2016-02-22,Steve Novak,MIL,LAL,,1:24,0.333,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,1,0.0,0,1,0.0,0,0.0,0,0,0,0,0,1,0,-4,0.0,0,1,0,,0,0.0,66.7,194.8,-128.1,0.0,0.0,0.0,104.23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,1.0,0,0,0,0,3,3,1,0,3,0,
2016-02-25,Steve Novak,MIL,BOS,,7:25,0.142,0.188,0.429,0.0,0.125,0.0,0.0,0.0,0.0,0.111,0.115,3,0.333,1,3,0.333,0,0.0,1,0,0,0,0,1,3,11,4.75,2,10,6,0.0,2,0.0,129.5,77.8,51.7,0.0,0.077,0.5,127.28,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.273,1.091,0.156,0.0,0,0,0,0,2,0,4,6,0,0,
2016-02-27,Steve Novak,MIL,DET,,11:00,0.094,0.118,0.5,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.222,2,0.5,1,2,0.5,1,1.0,0,0,0,0,0,0,4,-7,4.5,2,11,8,0.0,1,1.0,78.0,111.0,-33.0,0.0,0.0,0.75,99.49,0.0,1.0,0.0,0.75,0.0,0.0,1.0,0.0,0.475,0.4,0.222,0.4,0,0,0,0,6,9,3,0,9,2,
