DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Steven Adams,OKC,RMD,C,9:17,0.236,0.25,0.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.25,5,0.6,0,0,0.0,2,0.5,1,0,0,0,0,0,7,8,8.25,0,0,0,,0,0.0,128.0,94.3,33.6,0.0,0.091,0.6,111.37,1.0,0.0,0.857,0.0,0.286,0.857,1.0,0.0,0.615,0.385,0.283,0.0,2,2,0,6,4,1,3,10,1,3,NBA TV
2016-10-16,Steven Adams,OKC,MIN,C,22:38,0.328,0.313,0.0,0.286,0.423,0.1,0.5,0.25,1.0,0.167,0.351,15,0.533,0,0,0.0,4,1.0,11,1,1,4,3,1,20,16,43.5,0,0,0,,0,0.0,105.2,81.7,23.6,0.071,0.244,0.533,110.66,1.0,0.0,0.8,0.0,0.1,0.8,0.75,0.25,0.411,0.111,0.159,0.2,2,2,6,16,6,7,5,14,7,5,
2016-10-18,Steven Adams,OKC,DEN,C,25:34,0.214,0.25,0.0,0.167,0.31,0.067,0.0,0.5,0.0,0.059,0.309,12,0.667,0,0,0.0,2,0.5,9,1,2,0,0,1,17,10,33.5,0,0,0,,0,0.0,97.7,80.5,17.3,0.067,0.161,0.667,105.32,1.0,0.0,0.941,0.0,0.235,0.706,0.625,0.375,0.354,0.375,0.125,0.219,4,0,4,12,4,11,4,20,11,1,
2015-10-28,Steven Adams,OKC,SAS,C,29:34,0.082,0.069,0.0,0.0,0.219,0.083,0.2,0.0,0.333,0.333,0.086,4,0.75,0,0,0.0,0,0.0,7,1,0,1,2,4,6,4,17.0,17,57,52,0.0192,4,0.75,108.9,100.2,8.7,0.042,0.127,0.75,105.63,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.483,0.186,0.091,0.148,0,0,0,6,9,6,4,26,6,0,ESPN
2015-10-30,Steven Adams,OKC,ORL,C,35:55,0.095,0.068,0.0,0.211,0.195,0.182,0.182,0.5,0.333,0.357,0.107,5,0.6,0,0,0.0,4,0.75,8,2,2,2,2,5,9,-3,28.5,20,65,57,0.0351,4,0.5,108.6,108.3,0.3,0.069,0.113,0.6,105.42,1.0,0.0,0.667,0.0,0.0,0.667,0.667,0.333,0.514,0.275,0.112,0.188,0,0,3,6,16,8,16,38,8,2,
2015-11-01,Steven Adams,OKC,DEN,C,21:32,0.104,0.071,0.0,0.167,0.125,0.067,0.222,0.0,0.5,0.364,0.033,3,0.333,0,0,0.0,2,0.0,3,1,0,2,2,4,2,24,10.0,8,29,23,0.0435,3,0.333,121.3,87.0,34.3,0.043,0.086,0.333,103.44,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.397,0.205,0.141,0.25,0,0,2,2,9,4,3,18,4,3,
2015-11-02,Steven Adams,OKC,HOU,C,19:12,0.081,0.088,0.0,0.286,0.136,0.0,0.0,0.333,0.0,0.1,0.135,3,0.667,0,0,0.0,2,0.5,3,0,1,0,0,1,5,-8,10.75,10,41,33,0.0,3,0.667,87.9,109.0,-21.1,0.0,0.077,0.667,104.2,1.0,0.0,0.8,0.0,0.4,0.8,1.0,0.0,0.556,0.333,0.121,0.238,2,0,1,4,7,8,6,22,8,2,NBA TV
2015-11-04,Steven Adams,OKC,TOR,C,26:36,0.158,0.156,0.0,0.0,0.292,0.063,0.222,0.0,0.4,0.231,0.159,7,0.714,0,0,0.0,0,0.0,7,1,0,4,2,3,10,8,27.0,15,55,44,0.0227,4,0.75,118.7,95.3,23.4,0.05,0.152,0.714,99.97,1.0,0.0,1.0,0.0,0.0,0.8,0.6,0.4,0.406,0.245,0.104,0.259,0,2,4,8,4,12,4,28,12,2,
2015-11-05,Steven Adams,OKC,CHI,C,24:58,0.078,0.095,0.0,0.0,0.286,0.067,0.0,0.0,0.4,0.143,0.1,4,0.75,0,0,0.0,0,0.0,6,1,0,2,0,1,6,11,18.75,13,38,34,0.0294,3,1.0,121.2,95.1,26.1,0.045,0.133,0.75,97.1,1.0,0.0,1.0,0.0,0.333,1.0,0.667,0.333,0.413,0.154,0.097,0.321,2,0,0,6,6,8,2,24,8,0,TNT
2015-11-08,Steven Adams,OKC,PHX,C,19:31,0.161,0.136,0.0,0.1,0.217,0.111,0.5,0.0,0.833,0.143,0.167,6,0.5,0,0,0.0,1,1.0,5,1,0,5,2,1,7,12,23.5,14,40,31,0.0323,4,0.5,99.1,67.2,31.9,0.071,0.122,0.5,107.03,1.0,0.0,0.857,0.0,0.286,0.857,0.667,0.333,0.406,0.188,0.291,0.188,2,0,3,6,2,5,2,8,5,1,
2015-11-10,Steven Adams,OKC,WAS,C,20:36,0.08,0.075,0.0,0.25,0.25,0.0,0.0,1.0,1.0,0.308,0.089,3,0.667,0,0,0.0,2,0.0,6,0,1,1,0,4,4,5,15.5,12,36,30,0.0,2,0.5,103.4,90.3,13.1,0.0,0.133,0.667,102.29,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.363,0.3,0.09,0.208,0,0,0,4,9,8,7,18,8,3,NBA TV
2015-11-13,Steven Adams,OKC,PHI,C,25:59,0.098,0.118,0.0,0.0,0.077,0.0,0.0,0.143,0.333,0.556,0.107,6,0.5,0,0,0.0,0,0.0,2,0,1,3,0,5,6,19,16.5,13,44,38,0.0,6,0.5,101.1,66.1,35.0,0.0,0.043,0.5,102.86,1.0,0.0,1.0,0.0,0.333,1.0,0.333,0.667,0.352,0.205,0.232,0.2,2,0,2,6,8,7,3,20,7,1,
