DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Tarik Black,LAL,SAC,,16:14,0.282,0.227,0.0,0.421,0.294,0.143,0.286,0.333,0.2,0.333,0.375,5,1.0,0,0,0.0,8,0.625,5,1,1,1,2,4,15,20,25.5,0,0,0,,0,0.0,113.1,52.2,60.9,0.125,0.185,1.0,108.87,1.0,0.0,0.667,0.0,0.4,0.667,0.2,0.8,0.231,0.462,0.209,0.063,6,3,4,10,6,3,1,8,3,6,
2016-10-07,Tarik Black,LAL,DEN,,12:57,0.181,0.161,0.0,0.0,0.308,0.0,0.4,0.167,0.0,0.4,0.188,5,0.6,0,0,0.0,0,0.0,4,0,1,0,2,4,6,9,12.0,0,0,0,,0,0.0,95.1,75.7,19.5,0.0,0.154,0.6,118.68,1.0,0.0,1.0,0.0,0.333,1.0,0.333,0.667,0.333,0.476,0.296,0.333,2,0,2,6,5,3,2,12,3,1,NBA TV
2016-10-09,Tarik Black,LAL,DEN,,16:08,0.215,0.16,0.0,0.25,0.417,0.0,0.5,0.5,0.25,0.6,0.132,4,0.25,0,0,0.0,4,0.75,5,0,2,1,2,3,5,2,16.25,0,0,0,,0,0.0,108.4,98.3,10.2,0.0,0.152,0.25,106.63,1.0,0.0,0.4,0.0,0.2,0.4,1.0,0.0,0.47,0.182,0.218,0.389,1,0,1,2,6,6,2,20,6,2,NBA TV
2016-10-11,Tarik Black,LAL,POR,,18:27,0.163,0.139,0.0,0.4,0.222,0.0,0.25,0.5,0.0,0.429,0.139,5,0.4,0,0,0.0,2,0.5,4,0,1,0,1,3,5,3,11.5,0,0,0,,0,0.0,91.8,94.4,-2.6,0.0,0.111,0.4,96.47,1.0,0.0,0.8,0.0,0.4,0.8,0.5,0.5,0.483,0.31,0.2,0.25,2,0,2,4,6,4,7,14,4,1,NBA TV
2016-10-15,Tarik Black,LAL,GSW,,17:15,0.136,0.091,0.0,0.6,0.5,0.273,0.0,0.0,0.0,0.143,0.174,3,0.667,0,0,0.0,6,0.667,6,3,0,0,0,1,8,8,19.25,0,0,0,,0,0.0,126.4,113.0,13.4,0.2,0.261,0.667,97.45,1.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.717,0.261,0.268,0.125,4,0,5,4,4,2,0,18,2,5,NBA TV
2016-10-19,Tarik Black,LAL,GSW,,17:41,0.137,0.067,0.0,0.444,0.375,0.1,0.25,0.0,0.0,0.222,0.118,2,0.5,0,0,0.0,4,0.5,6,1,0,0,2,2,4,1,11.75,0,0,0,,0,0.0,85.1,89.6,-4.5,0.083,0.2,0.5,104.23,1.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.397,0.379,0.163,0.176,0,0,0,2,7,4,6,16,4,3,ESPN
2016-10-21,Tarik Black,LAL,PHX,,13:09,0.13,0.125,0.0,0.143,0.063,0.0,0.143,0.0,0.0,0.667,0.217,3,0.667,0,0,0.0,1,1.0,1,0,0,0,1,6,5,2,5.75,0,0,0,,0,0.0,71.7,67.6,4.1,0.0,0.034,0.667,115.27,1.0,0.0,0.8,0.0,0.0,0.8,1.0,0.0,0.36,0.28,0.161,0.125,0,2,0,4,5,0,4,16,0,1,
2015-10-30,Tarik Black,LAL,SAC,,6:34,0.051,0.083,0.0,0.0,0.143,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0,0,0.0,0,0.0,1,0,0,0,0,3,0,-5,1.25,2,9,8,0.0,1,0.0,90.1,117.1,-27.0,0.0,0.091,0.0,123.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.7,0.234,0.0,0,0,0,0,10,0,2,10,0,0,
2015-11-03,Tarik Black,LAL,DEN,,18:09,0.139,0.143,0.0,0.095,0.667,0.0,0.2,0.0,0.0,0.308,0.163,4,0.75,0,0,0.0,2,0.5,8,0,0,0,1,4,7,-1,16.5,12,25,20,0.0,4,0.75,106.9,117.0,-10.2,0.0,0.276,0.75,102.93,1.0,0.0,0.857,0.0,0.0,0.857,0.333,0.667,0.517,0.5,0.133,0.286,0,0,4,6,6,6,3,18,6,1,NBA TV
2015-11-06,Tarik Black,LAL,BKN,,17:44,0.18,0.074,0.0,0.364,0.375,0.0,0.4,0.25,0.0,0.364,0.206,2,0.5,0,0,0.0,8,0.625,6,0,1,0,2,4,7,6,15.5,10,20,14,0.0,2,0.5,87.9,70.9,17.1,0.0,0.194,0.5,105.83,1.0,0.0,0.286,0.0,0.143,0.286,1.0,0.0,0.328,0.25,0.177,0.188,1,1,3,2,2,7,0,12,7,5,
2015-11-08,Tarik Black,LAL,NYK,,15:09,0.275,0.24,0.0,0.667,0.308,0.125,0.333,0.0,0.0,0.286,0.32,6,0.667,0,0,0.0,2,0.0,4,1,0,0,2,2,8,-3,13.25,7,21,12,0.0833,2,0.5,79.8,95.2,-15.4,0.143,0.16,0.667,96.19,1.0,0.0,1.0,0.0,0.0,0.75,1.0,0.0,0.438,0.417,0.102,0.143,0,0,0,6,10,3,5,8,3,1,
2015-11-10,Tarik Black,LAL,MIA,,13:31,0.064,0.08,0.0,0.0,0.467,0.0,0.0,0.0,1.0,0.667,0.059,2,0.5,0,0,0.0,0,0.0,7,0,0,1,0,4,2,16,12.75,9,20,19,0.0,2,0.5,120.1,73.4,46.6,0.0,0.318,0.5,93.82,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.35,0.4,0.122,0.143,0,0,0,2,2,2,2,8,2,0,
2015-11-11,Tarik Black,LAL,ORL,,6:13,0.143,0.182,0.0,0.0,0.333,0.0,0.0,0.0,1.0,0.25,0.0,2,0.0,0,0,0.0,0,0.0,3,0,0,1,0,1,0,0,5.75,4,12,10,0.0,2,0.0,100.0,94.9,5.1,0.0,0.231,0.0,95.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.389,0.667,0.158,0.125,0,0,0,0,2,2,0,2,2,0,
2015-11-16,Tarik Black,LAL,PHX,,2:04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-1,0.0,0,4,4,0.0,0,0.0,150.0,243.1,-93.1,0.0,0.0,0.0,79.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-24,Tarik Black,LAL,GSW,,12:00,0.241,0.316,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6,0.273,6,0.5,0,0,0.0,0,0.0,6,0,0,0,0,3,6,0,13.5,9,21,14,0.0,4,0.5,96.2,99.1,-2.9,0.0,0.3,0.5,90.16,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.238,0.09,0.231,0,0,2,6,7,5,6,16,5,2,TNT
2016-01-05,Tarik Black,LAL,GSW,,7:36,0.115,0.133,0.0,0.0,0.5,0.2,0.0,0.0,1.0,0.0,0.2,2,1.0,0,0,0.0,0,0.0,4,1,0,1,0,0,4,7,12.25,6,13,10,0.1,1,1.0,130.5,87.4,43.2,0.167,0.25,1.0,95.37,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.429,0.143,0.202,0.333,0,0,0,4,0,2,0,6,2,1,NBA TV
