DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Terrence Jones,NOP,DAL,,29:47,0.19,0.154,0.188,0.6,0.167,0.158,0.2,0.0,0.5,0.071,0.21,8,0.625,2,3,0.667,6,0.833,5,3,0,2,2,1,17,14,31.0,0,0,0,,0,0.0,134.1,116.6,17.5,0.111,0.111,0.75,94.99,0.625,0.375,0.353,0.353,0.118,0.353,0.6,0.4,0.561,0.347,0.087,0.143,2,2,2,6,12,2,4,20,2,6,
2016-10-04,Terrence Jones,NOP,IND,,23:39,0.276,0.359,0.455,0.125,0.263,0.083,0.0,0.0,0.0,0.1,0.182,14,0.357,0,5,0.0,3,0.0,5,1,0,0,0,1,10,-4,17.5,0,0,0,,0,0.0,102.7,109.3,-6.7,0.083,0.106,0.357,109.11,0.643,0.357,1.0,0.0,0.0,0.8,0.8,0.2,0.541,0.184,0.148,0.292,0,0,0,8,6,9,5,30,9,2,
2016-10-18,Terrence Jones,NOP,ATL,,20:48,0.381,0.429,0.417,0.385,0.25,0.0,0.143,0.0,0.5,0.385,0.429,15,0.4,2,5,0.4,5,0.8,4,0,0,1,1,5,18,-4,25.5,0,0,0,,0,0.0,98.3,105.7,-7.4,0.0,0.111,0.467,99.51,0.667,0.333,0.444,0.333,0.333,0.444,0.833,0.167,0.513,0.211,0.207,0.389,6,2,0,8,8,12,2,24,12,4,NBA TV
2016-10-20,Terrence Jones,NOP,ORL,,29:01,0.299,0.358,0.333,0.182,0.16,0.214,0.083,0.333,1.0,0.118,0.407,19,0.526,2,5,0.4,2,1.0,4,3,2,2,1,2,24,-5,41.25,0,0,0,,0,0.0,92.4,103.4,-10.9,0.25,0.082,0.579,104.02,0.737,0.263,0.667,0.25,0.375,0.667,0.5,0.5,0.481,0.346,0.145,0.269,9,2,2,16,15,17,11,26,17,3,
2015-10-28,Terrence Jones,HOU,DEN,F,28:32,0.243,0.255,0.095,0.25,0.222,0.0,0.182,0.111,0.333,0.286,0.341,13,0.462,0,2,0.0,5,0.6,6,0,1,1,2,4,15,-18,25.5,12,55,38,0.0,11,0.545,73.6,106.8,-33.2,0.0,0.105,0.462,99.12,0.846,0.154,0.8,0.0,0.4,0.8,0.5,0.5,0.593,0.372,0.224,0.238,6,3,4,12,9,4,3,24,4,3,
2015-10-30,Terrence Jones,HOU,GSW,F,18:09,0.163,0.269,0.143,0.0,0.222,0.125,0.0,0.0,0.5,0.0,0.114,7,0.286,0,1,0.0,0,0.0,4,1,0,1,0,0,4,-6,12.25,6,26,18,0.0556,3,0.333,92.3,105.5,-13.2,0.125,0.121,0.286,101.55,0.857,0.143,1.0,0.0,0.0,0.5,1.0,0.0,0.541,0.054,0.103,0.188,0,0,0,2,6,6,6,22,6,1,ESPN
2015-11-11,Terrence Jones,HOU,BKN,,15:50,0.112,0.1,0.111,0.333,0.211,0.333,0.0,0.0,0.0,0.333,0.0,3,0.0,0,1,0.0,2,0.0,4,2,0,0,0,2,0,-9,7.5,13,17,13,0.1538,3,0.0,77.6,101.5,-23.9,0.2,0.098,0.0,92.71,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.379,0.242,0.063,0.333,0,0,0,0,0,11,0,12,11,1,
2015-11-13,Terrence Jones,HOU,DEN,,20:51,0.296,0.3,0.286,0.167,0.389,0.0,0.4,0.0,0.667,0.111,0.489,12,0.75,3,4,0.75,2,1.0,7,0,0,4,2,1,23,3,40.25,14,34,20,0.0,7,0.857,101.6,99.4,2.2,0.0,0.163,0.875,104.24,0.667,0.333,0.522,0.391,0.087,0.522,0.556,0.444,0.486,0.324,0.248,0.391,2,2,7,12,2,11,2,12,11,2,
2015-11-14,Terrence Jones,HOU,DAL,F,41:39,0.198,0.205,0.103,0.167,0.171,0.05,0.182,0.125,0.75,0.2,0.274,15,0.667,1,3,0.333,4,0.5,6,1,1,3,2,4,23,-10,39.25,13,68,45,0.0222,11,0.727,97.0,106.9,-9.9,0.056,0.081,0.7,100.54,0.8,0.2,0.783,0.13,0.087,0.696,0.7,0.3,0.54,0.24,0.114,0.156,2,0,2,16,15,8,6,44,8,3,
2015-11-16,Terrence Jones,HOU,BOS,F,27:57,0.245,0.264,0.048,0.235,0.267,0.286,0.125,0.125,0.0,0.182,0.25,14,0.5,0,1,0.0,4,0.25,8,4,1,0,1,2,15,6,31.5,16,50,30,0.1333,10,0.4,102.6,90.9,11.7,0.267,0.129,0.5,101.22,0.929,0.071,0.933,0.0,0.667,0.8,0.857,0.143,0.452,0.192,0.219,0.333,10,11,2,12,12,5,9,36,5,3,
