DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Terrence Ross,TOR,GSW,,15:21,0.237,0.3,0.333,0.0,0.125,0.667,0.0,0.5,0.0,0.25,0.282,9,0.556,1,2,0.5,0,0.0,2,2,2,0,0,2,11,11,20.5,0,0,0,,0,0.0,111.3,83.5,27.8,0.222,0.063,0.611,107.19,0.778,0.222,0.727,0.273,0.182,0.364,0.2,0.8,0.479,0.333,0.209,0.071,2,0,0,4,0,3,2,12,3,0,NBA TV
2016-10-03,Terrence Ross,TOR,DEN,,19:42,0.371,0.364,0.778,1.0,0.0,0.25,0.2,0.2,0.0,0.133,0.489,12,0.667,4,7,0.571,4,0.75,0,2,1,0,1,2,23,4,29.0,0,0,0,,0,0.0,124.5,118.3,6.2,0.167,0.0,0.833,90.3,0.417,0.583,0.348,0.522,0.087,0.087,0.25,0.75,0.674,0.826,0.165,0.091,2,2,0,2,3,3,0,10,3,3,
2016-10-05,Terrence Ross,TOR,LAC,,14:47,0.308,0.214,1.0,0.5,0.083,0.0,0.75,0.0,0.0,0.333,0.2,6,0.167,0,2,0.0,5,0.6,1,0,0,0,3,1,5,-9,4.75,0,0,0,,0,0.0,77.2,103.4,-26.2,0.0,0.033,0.167,105.98,0.667,0.333,0.4,0.0,0.0,0.4,0.0,1.0,0.688,0.083,0.274,0.111,0,0,0,2,2,3,4,8,3,3,
2016-10-21,Terrence Ross,TOR,WAS,,9:49,0.134,0.154,0.25,0.0,0.1,0.0,0.2,0.0,0.0,0.25,0.15,2,0.5,1,1,1.0,0,0.0,1,0,0,0,1,1,3,4,4.25,0,0,0,,0,0.0,98.0,77.1,21.0,0.0,0.056,0.75,100.63,0.5,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.412,0.235,0.241,0.273,3,3,0,0,2,7,0,4,7,2,
2015-10-28,Terrence Ross,TOR,IND,,8:27,0.211,0.222,0.286,0.286,0.0,0.25,0.0,0.0,0.0,0.5,0.238,4,0.25,1,2,0.5,2,1.0,0,1,0,0,0,4,5,5,6.75,1,6,2,0.5,2,0.5,104.6,87.5,17.1,0.2,0.0,0.375,108.95,0.5,0.5,0.0,0.6,0.0,0.0,1.0,0.0,0.154,0.923,0.109,0.222,0,0,4,0,4,2,6,4,2,1,
2015-10-30,Terrence Ross,TOR,BOS,,21:06,0.31,0.375,0.5,0.3,0.2,0.0,0.154,0.0,0.0,0.0,0.447,12,0.667,2,6,0.333,3,1.0,4,0,0,0,2,0,21,2,26.0,6,28,11,0.0,7,0.714,99.2,95.7,3.5,0.0,0.114,0.75,107.42,0.5,0.5,0.571,0.286,0.143,0.286,0.5,0.5,0.458,0.444,0.149,0.143,3,0,0,6,16,0,13,22,0,2,
2015-11-01,Terrence Ross,TOR,MIL,,21:02,0.206,0.225,0.455,0.0,0.182,0.222,0.2,0.4,0.0,0.333,0.25,9,0.444,3,5,0.6,0,0.0,4,2,2,0,1,2,11,4,23.5,4,29,19,0.1053,5,0.4,108.6,100.9,7.7,0.167,0.105,0.611,91.47,0.444,0.556,0.182,0.818,0.455,0.182,1.0,0.0,0.5,0.176,0.202,0.263,5,0,2,2,9,4,5,22,4,0,NBA TV
2015-11-03,Terrence Ross,TOR,DAL,,22:50,0.172,0.186,0.333,0.0,0.045,0.25,0.143,0.333,0.0,0.455,0.091,8,0.25,0,4,0.0,0,0.0,1,2,1,0,1,5,4,1,9.25,4,27,17,0.1176,3,0.333,93.2,90.9,2.3,0.125,0.022,0.25,99.34,0.5,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.436,0.308,0.19,0.261,2,2,0,4,10,9,7,10,9,2,
2015-11-04,Terrence Ross,TOR,OKC,,14:16,0.164,0.2,0.6,0.0,0.143,0.0,0.167,0.0,0.0,0.0,0.125,4,0.25,1,3,0.333,0,0.0,2,0,0,0,1,0,3,5,5.5,3,13,8,0.0,1,0.0,90.9,71.9,19.0,0.0,0.069,0.375,88.89,0.25,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.36,0.04,0.265,0.375,0,0,0,0,6,0,2,10,0,0,
2015-11-06,Terrence Ross,TOR,ORL,,14:41,0.096,0.12,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,3,0.0,0,2,0.0,0,0.0,0,0,1,0,0,2,0,-6,2.0,1,13,9,0.0,0,0.0,80.3,108.7,-28.4,0.0,0.0,0.0,86.89,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.167,0.078,0.2,0,0,0,0,3,2,0,12,2,1,
