DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Terry Rozier,BOS,PHI,,25:33,0.209,0.235,0.182,0.25,0.143,0.167,0.0,0.2,0.0,0.0,0.25,12,0.417,1,2,0.5,2,0.5,3,2,1,0,0,0,12,-4,20.75,0,0,0,,0,0.0,83.4,97.4,-13.9,0.125,0.068,0.458,104.16,0.833,0.167,0.667,0.25,0.25,0.167,0.4,0.6,0.551,0.256,0.243,0.15,3,1,0,2,5,6,4,22,6,5,
2016-10-06,Terry Rozier,BOS,CHA,,21:32,0.194,0.22,0.231,0.0,0.111,0.167,0.125,0.0,0.0,0.071,0.326,9,0.667,2,3,0.667,0,0.0,2,1,0,0,1,1,14,-10,18.25,0,0,0,,0,0.0,94.2,120.6,-26.3,0.091,0.059,0.778,99.86,0.667,0.333,0.571,0.429,0.214,0.143,0.333,0.667,0.691,0.265,0.136,0.0,3,0,0,2,8,0,2,22,0,1,
2016-10-08,Terry Rozier,BOS,CHA,,7:58,0.178,0.2,0.0,0.0,0.2,0.333,0.0,0.0,0.0,0.167,0.286,3,0.667,0,0,0.0,0,0.0,2,1,0,0,0,1,4,2,7.75,0,0,0,,0,0.0,94.1,73.5,20.6,0.333,0.1,0.667,93.99,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.4,0.2,0.123,0.2,2,2,0,4,0,0,2,6,0,1,NBA TV
2016-10-13,Terry Rozier,BOS,BKN,,21:11,0.153,0.135,0.25,0.2,0.04,0.636,0.2,0.6,0.0,0.308,0.233,5,0.6,2,3,0.667,2,1.0,1,7,3,0,2,4,10,-2,26.0,0,0,0,,0,0.0,94.7,94.3,0.4,0.538,0.022,0.8,105.5,0.4,0.6,0.2,0.6,0.2,0.2,0.333,0.667,0.419,0.302,0.105,0.24,2,2,0,2,11,10,8,20,10,1,
2016-10-15,Terry Rozier,BOS,NYK,,8:24,0.255,0.286,0.2,0.0,0.143,0.0,0.333,0.0,0.0,0.5,0.267,4,0.5,0,1,0.0,0,0.0,1,0,0,0,1,2,4,3,4.75,0,0,0,,0,0.0,85.0,73.0,12.0,0.0,0.083,0.5,97.37,0.75,0.25,1.0,0.0,0.0,0.5,0.0,1.0,0.393,0.071,0.243,0.286,0,0,2,2,5,0,0,2,0,0,NBA TV
2016-10-17,Terry Rozier,BOS,BKN,,21:06,0.196,0.238,0.125,0.25,0.143,0.25,0.0,0.25,0.0,0.0,0.196,10,0.4,1,2,0.5,2,0.5,4,3,1,0,0,0,10,9,21.25,0,0,0,,0,0.0,107.3,90.1,17.3,0.2,0.087,0.45,107.1,0.8,0.2,0.6,0.3,0.5,0.2,0.5,0.5,0.475,0.15,0.172,0.167,5,0,0,2,11,2,11,16,2,2,
2016-10-19,Terry Rozier,BOS,NYK,G,14:26,0.199,0.241,0.333,0.0,0.167,0.333,0.0,1.0,0.0,0.25,0.419,7,0.714,3,4,0.75,0,0.0,2,2,1,0,0,2,13,-7,21.5,0,0,0,,0,0.0,102.6,131.2,-28.6,0.286,0.074,0.929,98.34,0.429,0.571,0.308,0.692,0.231,0.154,0.4,0.6,0.593,0.333,0.138,0.462,3,0,3,2,4,10,4,22,10,0,ESPN
2015-10-28,Terry Rozier,BOS,PHI,,1:58,0.41,0.5,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,1.25,3,6,4,0.0,2,0.0,243.1,162.0,81.0,0.0,0.25,0.0,87.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.5,0,0,0,0,0,0,0,4,0,0,
2015-11-04,Terry Rozier,BOS,IND,,6:09,0.353,0.308,0.333,0.0,0.556,0.0,0.5,0.0,0.0,0.5,0.0,4,0.0,0,1,0.0,0,0.0,5,0,0,0,2,1,0,0,5.25,7,18,11,0.0,3,0.0,50.0,54.9,-4.9,0.0,0.263,0.0,104.43,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.286,0.078,0.4,0,0,0,0,1,2,0,2,2,1,
2015-11-06,Terry Rozier,BOS,WAS,,19:22,0.159,0.2,0.333,0.0,0.045,0.375,0.0,0.0,0.0,0.167,0.122,8,0.25,1,3,0.333,0,0.0,1,3,0,0,0,2,5,4,10.5,5,52,42,0.0714,4,0.0,94.5,83.0,11.5,0.231,0.023,0.313,109.09,0.625,0.375,0.4,0.6,0.0,0.0,1.0,0.0,0.357,0.429,0.179,0.25,0,0,2,0,0,3,9,14,3,1,
