DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Thabo Sefolosha,ATL,MEM,,13:04,0.222,0.16,0.167,0.4,0.333,0.2,1.0,0.5,0.0,0.0,0.2,4,0.5,0,1,0.0,4,0.75,5,2,1,0,1,0,7,15,17.25,0,0,0,,0,0.0,132.6,84.2,48.4,0.182,0.2,0.5,92.13,0.75,0.25,0.571,0.0,0.571,0.286,1.0,0.0,0.37,0.174,0.126,0.267,4,4,0,2,2,4,5,12,4,2,
2016-10-08,Thabo Sefolosha,ATL,SAS,,21:02,0.188,0.176,0.182,0.0,0.357,0.067,0.4,0.75,0.0,0.429,0.154,6,0.5,2,2,1.0,0,0.0,5,1,3,0,2,3,8,8,21.5,0,0,0,,0,0.0,131.6,102.4,29.2,0.063,0.185,0.667,94.11,0.667,0.333,0.25,0.75,0.25,0.25,0.667,0.333,0.576,0.273,0.186,0.154,2,2,0,2,3,4,6,20,4,1,
2016-10-10,Thabo Sefolosha,ATL,CLE,,19:14,0.169,0.103,0.2,0.429,0.313,0.429,0.2,0.0,0.0,0.0,0.316,3,1.0,1,1,1.0,6,0.833,5,3,0,0,2,0,12,-2,21.5,0,0,0,,0,0.0,90.1,101.2,-11.1,0.3,0.152,1.167,101.92,0.667,0.333,0.333,0.25,0.167,0.0,0.667,0.333,0.516,0.25,0.202,0.235,2,3,1,0,12,0,6,12,0,3,
2016-10-16,Thabo Sefolosha,ATL,ORL,F,19:11,0.231,0.222,0.444,0.154,0.235,0.222,1.0,0.0,0.5,0.0,0.357,8,0.625,3,4,0.75,2,1.0,4,2,0,1,1,0,15,2,25.5,0,0,0,,0,0.0,114.4,102.4,12.0,0.222,0.111,0.813,94.83,0.5,0.5,0.267,0.6,0.2,0.267,0.8,0.2,0.578,0.219,0.154,0.154,3,0,0,4,2,2,1,16,2,1,NBA TV
2016-10-18,Thabo Sefolosha,ATL,NOP,,18:22,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,3,3,0,0,0,0,0,-5,7.5,0,0,0,,0,0.0,96.1,113.6,-17.6,0.214,0.086,0.0,98.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515,0.265,0.108,0.313,0,0,0,0,12,5,4,14,5,1,NBA TV
2016-10-20,Thabo Sefolosha,ATL,CHI,,16:33,0.148,0.154,0.111,0.0,0.176,0.0,0.143,0.0,0.0,0.4,0.2,4,0.5,1,1,1.0,0,0.0,3,0,0,0,1,2,5,-2,8.75,0,0,0,,0,0.0,78.4,88.1,-9.7,0.0,0.103,0.625,90.66,0.75,0.25,0.4,0.6,0.0,0.4,1.0,0.0,0.389,0.222,0.098,0.118,0,2,0,2,7,2,4,12,2,1,
2015-10-27,Thabo Sefolosha,ATL,DET,,18:56,0.073,0.083,0.071,0.0,0.438,0.273,0.0,0.8,0.0,0.125,0.049,3,0.333,0,1,0.0,0,0.0,7,3,4,0,0,1,2,-1,22.5,11,26,23,0.1304,1,1.0,117.1,107.5,9.7,0.176,0.206,0.333,93.9,0.667,0.333,1.0,0.0,1.0,1.0,0.0,1.0,0.514,0.2,0.205,0.412,2,0,0,2,6,9,3,12,9,1,
2015-10-30,Thabo Sefolosha,ATL,CHA,,20:55,0.123,0.114,0.0,0.182,0.286,0.231,0.125,0.286,0.0,0.111,0.087,4,0.5,0,0,0.0,2,0.0,6,3,2,0,1,1,4,12,18.75,9,27,20,0.15,4,0.5,107.4,69.9,37.5,0.2,0.136,0.5,105.0,1.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.397,0.154,0.288,0.304,2,2,0,2,8,11,0,16,11,2,
2015-11-01,Thabo Sefolosha,ATL,CHA,,17:36,0.192,0.156,0.111,0.0,0.2,0.0,0.375,0.333,0.0,0.167,0.167,5,0.4,1,1,1.0,0,0.0,4,0,2,0,3,1,5,0,13.0,8,32,23,0.0,3,0.0,81.6,78.5,3.1,0.0,0.114,0.5,102.18,0.8,0.2,0.4,0.6,0.6,0.0,1.0,0.0,0.391,0.156,0.183,0.167,3,0,0,0,10,0,9,12,0,0,
2015-11-04,Thabo Sefolosha,ATL,BKN,,21:40,0.105,0.121,0.333,0.2,0.188,0.143,0.0,0.125,0.25,0.0,0.118,4,0.5,1,2,0.5,2,0.5,3,2,1,1,0,0,6,10,16.75,9,30,25,0.08,2,0.5,114.9,93.7,21.2,0.111,0.091,0.625,97.65,0.5,0.5,0.333,0.5,0.167,0.0,1.0,0.0,0.474,0.103,0.206,0.3,1,0,1,0,10,2,6,12,2,1,
2015-11-07,Thabo Sefolosha,ATL,WAS,,20:24,0.183,0.156,0.0,0.222,0.385,0.0,0.286,0.286,0.333,0.333,0.196,5,0.8,0,0,0.0,2,1.0,5,0,2,1,2,2,10,9,21.25,9,34,26,0.0,2,1.0,124.5,102.5,22.0,0.0,0.192,0.8,96.38,1.0,0.0,0.8,0.0,0.2,0.6,0.5,0.5,0.548,0.29,0.244,0.267,2,2,0,6,8,2,8,14,2,1,
