DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Thaddeus Young,IND,NOP,F,18:34,0.233,0.256,0.091,0.2,0.385,0.125,0.125,0.0,0.5,0.167,0.316,10,0.5,1,1,1.0,1,1.0,10,1,0,1,1,2,12,-1,27.75,0,0,0,,0,0.0,86.0,88.6,-2.6,0.1,0.227,0.55,114.07,0.9,0.1,0.667,0.25,0.167,0.667,0.6,0.4,0.379,0.485,0.114,0.045,2,4,3,8,5,4,5,6,4,1,
2016-10-06,Thaddeus Young,IND,CHI,F,27:15,0.186,0.218,0.0,0.0,0.242,0.235,0.083,0.125,0.0,0.167,0.232,12,0.667,0,0,0.0,0,0.0,8,4,1,0,1,2,16,20,32.5,0,0,0,,0,0.0,111.1,78.8,32.3,0.19,0.154,0.667,109.42,1.0,0.0,1.0,0.0,0.0,0.875,0.5,0.5,0.383,0.298,0.177,0.074,0,2,4,14,12,4,8,22,4,0,
2016-10-08,Thaddeus Young,IND,CHI,F,28:08,0.121,0.061,0.143,0.167,0.12,0.0,0.364,0.143,0.0,0.071,0.141,3,1.0,1,1,1.0,2,1.0,3,0,1,0,4,1,9,5,13.25,0,0,0,,0,0.0,102.8,96.2,6.6,0.0,0.064,1.167,105.47,0.667,0.333,0.444,0.333,0.222,0.222,1.0,0.0,0.5,0.452,0.228,0.12,2,0,0,2,9,2,5,22,2,3,
2016-10-12,Thaddeus Young,IND,MIL,F,20:42,0.157,0.194,0.273,0.0,0.267,0.091,0.0,0.0,0.5,0.083,0.2,7,0.571,1,3,0.333,0,0.0,4,1,0,1,0,1,9,-6,17.75,0,0,0,,0,0.0,105.5,117.3,-11.8,0.077,0.108,0.643,99.85,0.571,0.429,0.667,0.333,0.0,0.444,1.0,0.0,0.527,0.459,0.115,0.316,0,2,0,4,5,2,5,26,2,0,
2016-10-14,Thaddeus Young,IND,ORL,F,35:24,0.197,0.213,0.154,0.2,0.32,0.222,0.1,0.4,0.0,0.154,0.179,13,0.462,0,2,0.0,4,0.75,8,4,4,0,1,2,15,7,37.5,0,0,0,,0,0.0,112.3,101.7,10.6,0.154,0.136,0.462,102.02,0.846,0.154,0.8,0.0,0.467,0.8,0.667,0.333,0.527,0.393,0.264,0.333,7,0,2,12,16,12,16,32,12,2,
2016-10-19,Thaddeus Young,IND,MIL,F,24:12,0.17,0.143,0.071,0.167,0.4,0.125,0.5,0.2,0.0,0.083,0.127,7,0.429,0,1,0.0,2,1.0,8,2,1,0,2,1,8,9,21.5,0,0,0,,0,0.0,118.2,94.9,23.4,0.1,0.178,0.429,109.26,0.857,0.143,0.75,0.0,0.5,0.75,0.667,0.333,0.476,0.439,0.228,0.25,4,4,2,6,6,4,3,18,4,1,
2015-10-28,Thaddeus Young,BKN,CHI,F,24:28,0.241,0.231,0.0,0.0,0.2,0.0,0.6,0.333,0.0,0.333,0.24,12,0.5,0,0,0.0,0,0.0,5,0,1,0,3,4,12,-15,18.75,10,41,26,0.0,7,0.571,95.6,129.0,-33.3,0.0,0.116,0.5,100.72,1.0,0.0,1.0,0.0,0.333,0.667,0.667,0.333,0.705,0.256,0.139,0.0,4,0,2,8,7,0,8,24,0,0,
2015-10-30,Thaddeus Young,BKN,SAS,F,28:25,0.233,0.234,0.167,0.6,0.368,0.0,0.125,0.0,0.0,0.154,0.22,11,0.364,1,2,0.5,3,0.0,7,0,0,0,1,2,9,-24,17.75,17,59,46,0.0,7,0.429,74.3,116.4,-42.1,0.0,0.135,0.409,93.79,0.818,0.182,0.667,0.333,0.222,0.667,0.75,0.25,0.551,0.224,0.143,0.261,2,0,0,6,7,11,5,28,11,3,
2015-10-31,Thaddeus Young,BKN,MEM,F,31:44,0.167,0.154,0.0,0.222,0.333,0.118,0.222,1.0,0.5,0.333,0.169,8,0.625,0,0,0.0,2,0.5,9,2,2,1,2,4,11,2,29.75,14,62,48,0.0417,6,0.667,108.4,108.5,-0.1,0.083,0.18,0.625,89.26,1.0,0.0,0.909,0.0,0.182,0.909,0.8,0.2,0.462,0.302,0.103,0.267,2,4,0,10,6,8,9,28,8,2,
2015-11-02,Thaddeus Young,BKN,MIL,F,25:20,0.21,0.25,0.0,0.083,0.316,0.294,0.1,0.0,0.5,0.182,0.197,11,0.545,0,0,0.0,1,1.0,6,5,0,1,1,2,13,14,28.25,8,68,54,0.0926,10,0.6,121.6,109.0,12.6,0.263,0.2,0.545,96.66,1.0,0.0,0.923,0.0,0.0,0.923,0.667,0.333,0.608,0.351,0.147,0.125,0,5,2,12,12,2,4,18,2,2,
2015-11-04,Thaddeus Young,BKN,ATL,F,33:56,0.218,0.22,0.083,0.0,0.265,0.2,0.286,0.2,0.333,0.3,0.233,13,0.538,0,1,0.0,0,0.0,9,3,1,1,4,3,14,-11,31.0,20,71,51,0.0588,8,0.5,92.5,109.0,-16.4,0.167,0.161,0.538,91.94,0.923,0.077,1.0,0.0,0.0,0.429,0.571,0.429,0.545,0.25,0.123,0.192,0,2,2,6,20,4,10,20,4,2,
2015-11-06,Thaddeus Young,BKN,LAL,F,33:46,0.201,0.221,0.154,0.0,0.135,0.125,0.167,0.2,0.167,0.105,0.194,15,0.467,0,2,0.0,0,0.0,5,2,1,1,2,2,14,-2,25.75,14,61,46,0.0435,9,0.444,99.4,94.6,4.8,0.08,0.077,0.467,107.04,0.867,0.133,1.0,0.0,0.143,1.0,0.571,0.429,0.446,0.536,0.166,0.138,2,2,4,14,13,5,7,28,5,0,
2015-11-07,Thaddeus Young,BKN,MIL,F,39:22,0.225,0.277,0.0,0.0,0.325,0.0,0.071,0.222,0.0,0.154,0.269,18,0.5,0,0,0.0,0,0.0,13,0,2,0,1,2,18,-11,37.75,23,74,56,0.0,16,0.438,92.7,101.7,-9.0,0.0,0.176,0.5,90.84,1.0,0.0,1.0,0.0,0.333,0.889,0.222,0.778,0.507,0.191,0.156,0.243,6,2,6,16,21,11,15,38,11,2,
2015-11-11,Thaddeus Young,BKN,HOU,F,22:15,0.233,0.195,0.0,0.5,0.167,0.091,0.286,0.0,0.6,0.5,0.289,8,0.625,0,0,0.0,5,0.6,4,1,0,3,2,3,13,-15,24.25,9,43,31,0.0323,5,0.6,101.4,125.9,-24.6,0.083,0.091,0.625,99.28,1.0,0.0,0.769,0.0,0.0,0.615,0.6,0.4,0.585,0.128,0.042,0.2,0,0,7,8,11,6,11,32,6,3,
2015-11-13,Thaddeus Young,BKN,SAC,F,29:41,0.216,0.25,0.071,0.0,0.3,0.059,0.182,0.667,0.0,0.2,0.219,13,0.615,0,1,0.0,0,0.0,9,1,2,0,2,3,16,1,31.5,12,64,49,0.0204,10,0.6,116.6,113.4,3.2,0.048,0.167,0.615,101.93,0.923,0.077,1.0,0.0,0.375,0.625,0.5,0.5,0.483,0.283,0.095,0.303,6,2,0,10,12,11,14,28,11,1,NBA TV
2015-11-14,Thaddeus Young,BKN,GSW,F,38:34,0.271,0.297,0.091,0.143,0.263,0.167,0.125,0.3,0.0,0.222,0.321,22,0.545,0,1,0.0,2,1.0,10,3,3,0,1,2,26,0,47.75,18,75,48,0.0625,16,0.625,103.6,103.2,0.5,0.143,0.139,0.545,97.5,0.955,0.045,0.923,0.0,0.385,0.846,0.667,0.333,0.536,0.116,0.166,0.2,10,6,4,22,12,9,25,30,9,2,
2015-11-17,Thaddeus Young,BKN,ATL,F,32:32,0.238,0.224,0.0,0.182,0.379,0.0,0.5,0.5,0.0,0.333,0.222,13,0.538,0,0,0.0,2,1.0,11,0,5,0,2,3,16,16,38.75,18,57,38,0.0,9,0.556,116.4,88.2,28.3,0.0,0.193,0.538,92.47,1.0,0.0,0.875,0.0,0.25,0.875,0.571,0.429,0.5,0.157,0.236,0.2,4,2,4,14,0,3,0,10,3,2,
2015-11-18,Thaddeus Young,BKN,CHA,F,32:53,0.252,0.262,0.091,0.333,0.296,0.056,0.0,0.25,0.0,0.167,0.325,17,0.647,0,1,0.0,6,0.833,8,1,1,0,0,3,27,3,40.25,15,75,54,0.0185,13,0.615,113.8,111.3,2.5,0.048,0.133,0.647,105.68,0.941,0.059,0.815,0.0,0.074,0.667,0.636,0.364,0.587,0.519,0.181,0.185,2,4,4,18,6,9,6,22,9,3,
2015-11-20,Thaddeus Young,BKN,BOS,F,28:48,0.25,0.347,0.0,0.118,0.333,0.125,0.0,0.4,0.0,0.143,0.275,17,0.412,0,0,0.0,2,0.0,10,1,2,0,0,1,14,-21,31.75,16,66,47,0.0213,14,0.429,81.6,118.7,-37.1,0.091,0.192,0.412,102.6,1.0,0.0,1.0,0.0,0.429,1.0,0.286,0.714,0.611,0.111,0.132,0.16,6,4,2,14,21,0,18,34,0,1,
2015-11-22,Thaddeus Young,BKN,BOS,F,28:06,0.171,0.186,0.0,0.2,0.387,0.125,0.091,0.125,0.0,0.231,0.193,8,0.5,0,0,0.0,4,0.75,12,1,1,0,1,3,11,1,28.75,13,52,40,0.025,7,0.429,104.0,96.8,7.2,0.063,0.235,0.5,96.22,1.0,0.0,0.727,0.0,0.182,0.364,0.5,0.5,0.5,0.229,0.173,0.179,2,2,2,4,11,5,7,20,5,7,
2015-11-25,Thaddeus Young,BKN,OKC,F,37:02,0.2,0.205,0.111,0.0,0.211,0.214,0.214,0.429,0.0,0.063,0.237,15,0.6,0,1,0.0,0,0.0,8,3,3,0,3,1,18,-10,36.25,17,69,49,0.0612,11,0.636,93.7,108.4,-14.6,0.125,0.114,0.6,103.98,0.933,0.067,1.0,0.0,0.444,1.0,0.333,0.667,0.556,0.302,0.151,0.121,8,4,0,18,18,6,16,34,6,1,
2015-11-28,Thaddeus Young,BKN,CLE,F,35:53,0.217,0.262,0.077,0.222,0.324,0.0,0.0,0.143,0.0,0.176,0.242,16,0.438,0,1,0.0,4,0.5,12,0,1,0,0,3,16,-1,33.0,19,52,34,0.0,13,0.538,88.1,87.5,0.6,0.0,0.169,0.438,101.34,0.938,0.063,0.875,0.0,0.125,0.875,0.714,0.286,0.446,0.231,0.17,0.211,2,4,2,14,13,8,8,30,8,2,
2015-11-29,Thaddeus Young,BKN,DET,F,31:01,0.216,0.235,0.0,0.182,0.286,0.231,0.154,0.2,0.2,0.231,0.311,12,0.75,0,0,0.0,2,0.5,10,3,1,1,2,3,19,3,38.25,12,46,29,0.1034,8,0.75,94.1,88.4,5.7,0.188,0.156,0.75,100.95,1.0,0.0,0.947,0.0,0.211,0.737,0.556,0.444,0.406,0.234,0.107,0.279,4,2,2,14,14,15,15,24,15,2,
2015-12-01,Thaddeus Young,BKN,PHX,F,35:37,0.226,0.222,0.0,0.5,0.143,0.143,0.167,0.0,0.0,0.083,0.129,14,0.214,0,0,0.0,4,0.5,4,2,0,0,2,1,8,-5,14.5,8,54,34,0.0588,9,0.0,84.3,94.0,-9.7,0.08,0.07,0.214,97.57,1.0,0.0,0.75,0.0,0.25,0.25,1.0,0.0,0.527,0.218,0.182,0.08,2,0,0,2,23,2,8,30,2,3,
2015-12-04,Thaddeus Young,BKN,NYK,F,32:47,0.301,0.311,0.0,0.0,0.355,0.125,0.3,0.2,0.0,0.0,0.321,19,0.474,0,0,0.0,0,0.0,11,1,1,0,3,0,18,-26,33.5,16,63,38,0.0263,12,0.5,85.9,118.0,-32.1,0.067,0.175,0.474,98.58,1.0,0.0,1.0,0.0,0.111,0.667,0.111,0.889,0.568,0.288,0.13,0.207,2,2,6,12,13,9,11,30,9,3,ESPN
2015-12-06,Thaddeus Young,BKN,GSW,F,35:22,0.277,0.279,0.091,0.353,0.378,0.0,0.2,0.0,0.0,0.214,0.362,19,0.579,0,1,0.0,6,0.5,14,0,0,0,2,3,25,-18,41.5,22,77,50,0.0,13,0.692,91.4,118.8,-27.4,0.0,0.192,0.579,100.92,0.947,0.053,0.88,0.0,0.08,0.8,0.636,0.364,0.602,0.328,0.096,0.206,2,2,4,20,16,6,23,38,6,3,
