DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Thomas Robinson,LAL,SAC,,7:23,0.255,0.231,0.0,0.667,0.583,0.0,0.0,0.0,0.0,0.25,0.381,3,1.0,0,0,0.0,4,0.5,7,0,0,0,0,1,8,10,16.75,0,0,0,,0,0.0,143.4,70.3,73.1,0.0,0.467,1.0,98.43,1.0,0.0,0.75,0.0,0.125,0.75,0.333,0.667,0.269,0.462,0.064,0.111,1,0,4,6,5,0,0,2,0,2,
2016-10-07,Thomas Robinson,LAL,DEN,,8:53,0.094,0.067,0.0,0.286,0.167,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,2,0.0,1,0,0,0,0,0,0,-14,1.25,0,0,0,,0,0.0,55.3,134.2,-78.9,0.0,0.05,0.0,97.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.1,0.056,0.5,0,0,0,0,4,6,2,8,6,2,NBA TV
2016-10-09,Thomas Robinson,LAL,DEN,,8:46,0.05,0.0,0.0,0.25,0.333,0.0,0.0,1.0,0.0,0.714,0.029,0,0.0,0,0,0.0,2,0.5,2,0,2,0,0,5,1,13,7.5,0,0,0,,0,0.0,199.8,120.4,79.4,0.0,0.154,0.0,98.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.533,0.8,0.109,0.4,1,0,0,0,2,2,2,8,2,1,NBA TV
2016-10-15,Thomas Robinson,LAL,GSW,,7:20,0.206,0.2,0.0,0.333,0.444,0.0,0.0,0.0,0.0,0.0,0.368,3,0.667,0,0,0.0,3,1.0,4,0,0,0,0,0,7,9,12.0,0,0,0,,0,0.0,119.0,78.4,40.7,0.0,0.4,0.667,93.99,1.0,0.0,0.571,0.0,0.286,0.571,0.0,1.0,0.625,0.5,0.235,0.0,2,0,7,4,2,0,0,10,0,4,NBA TV
2016-10-19,Thomas Robinson,LAL,GSW,,5:09,0.172,0.154,0.0,0.5,0.429,0.0,0.0,0.0,0.0,0.333,0.105,2,0.5,0,0,0.0,2,0.0,3,0,0,0,0,1,2,1,5.75,0,0,0,,0,0.0,138.1,135.1,2.9,0.0,0.3,0.5,126.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.682,0.273,0.075,0.0,0,0,2,2,6,0,3,6,0,1,ESPN
2016-10-21,Thomas Robinson,LAL,PHX,,7:50,0.199,0.2,0.0,0.25,0.625,0.0,0.167,0.0,1.0,0.2,0.182,3,0.667,0,0,0.0,2,0.0,5,0,0,1,1,1,4,-2,11.75,0,0,0,,0,0.0,112.7,118.8,-6.1,0.0,0.294,0.667,121.7,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.528,0.278,0.297,0.667,2,0,2,4,9,9,4,12,9,2,
2015-10-28,Thomas Robinson,BKN,CHI,,14:40,0.169,0.111,0.0,0.571,0.455,0.286,0.25,0.333,0.0,0.0,0.114,3,0.333,0,0,0.0,4,0.5,5,2,2,0,1,0,4,5,16.25,11,30,24,0.0833,2,0.5,116.4,94.5,21.9,0.143,0.25,0.333,101.19,1.0,0.0,0.5,0.0,1.0,0.5,0.0,1.0,0.659,0.182,0.283,0.125,4,2,2,2,5,2,0,16,2,2,
2015-10-30,Thomas Robinson,BKN,SAS,,15:20,0.094,0.08,0.0,0.0,0.333,0.0,0.25,0.0,0.4,0.5,0.074,2,0.5,0,0,0.0,0,0.0,4,0,0,2,1,1,2,3,10.5,11,26,22,0.0,1,1.0,86.9,75.3,11.6,0.0,0.133,0.5,98.55,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.407,0.074,0.282,0.313,2,0,0,2,5,4,4,12,4,1,
2015-10-31,Thomas Robinson,BKN,MEM,,15:05,0.222,0.185,0.0,0.125,0.632,0.0,0.667,0.0,0.333,0.25,0.286,5,0.8,0,0,0.0,1,0.0,12,0,0,1,2,1,8,-1,24.0,21,30,21,0.0,4,1.0,94.9,99.7,-4.9,0.0,0.343,0.8,93.29,1.0,0.0,1.0,0.0,0.25,1.0,0.75,0.25,0.397,0.241,0.103,0.286,2,0,2,8,4,8,2,12,8,2,
2015-11-02,Thomas Robinson,BKN,MIL,,9:11,0.156,0.133,0.0,0.0,0.25,0.5,0.5,0.0,0.0,0.667,0.0,2,0.0,0,0,0.0,0,0.0,2,1,0,0,1,2,0,-8,3.25,9,13,10,0.1,2,0.0,78.9,113.4,-34.4,0.25,0.133,0.0,85.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.5,0.17,0.0,0,0,0,0,4,0,0,8,0,0,
2015-11-04,Thomas Robinson,BKN,ATL,,10:22,0.044,0.056,0.0,0.0,0.125,0.0,0.0,0.333,1.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,1,0,1,1,0,0,0,-8,5.25,5,11,10,0.0,1,0.0,68.6,93.8,-25.2,0.0,0.056,0.0,107.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.533,0.245,0.0,0,0,0,0,4,0,6,12,0,0,
2015-11-06,Thomas Robinson,BKN,LAL,,11:60,0.267,0.261,0.0,0.25,0.778,0.0,0.333,0.0,0.0,0.25,0.409,6,0.667,0,0,0.0,2,0.5,7,0,0,0,1,2,9,1,17.25,9,31,21,0.0,5,0.6,79.9,82.3,-2.3,0.0,0.35,0.667,106.15,1.0,0.0,0.889,0.0,0.222,0.889,0.75,0.25,0.395,0.421,0.157,0.125,2,0,3,8,4,0,1,8,0,3,
2015-11-07,Thomas Robinson,BKN,MIL,,15:24,0.116,0.04,0.0,0.25,0.333,0.0,0.4,0.0,0.5,0.286,0.1,1,1.0,0,0,0.0,2,0.5,6,0,0,1,2,2,3,6,11.5,16,23,19,0.0,1,1.0,101.6,75.6,26.1,0.0,0.2,1.0,95.54,1.0,0.0,0.667,0.0,0.333,0.667,1.0,0.0,0.404,0.154,0.22,0.176,1,0,3,2,7,2,5,14,2,1,
2015-11-11,Thomas Robinson,BKN,HOU,,12:37,0.124,0.103,0.0,0.0,0.429,0.0,0.5,0.5,1.0,0.25,0.222,3,1.0,0,0,0.0,0,0.0,6,0,1,1,1,1,6,1,17.0,14,20,15,0.0,2,1.0,102.6,97.6,5.0,0.0,0.194,1.0,100.74,1.0,0.0,1.0,0.0,0.333,1.0,0.0,1.0,0.442,0.231,0.113,0.385,2,2,4,6,2,6,6,20,6,0,
2015-11-13,Thomas Robinson,BKN,SAC,,12:10,0.157,0.08,0.0,0.333,0.5,0.0,1.0,0.0,0.0,0.667,0.148,2,1.0,0,0,0.0,1,0.0,5,0,0,0,2,4,4,-6,9.25,13,22,19,0.0,2,1.0,106.6,121.9,-15.2,0.0,0.208,1.0,103.36,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.481,0.259,0.074,0.417,0,0,0,4,0,9,4,16,9,1,NBA TV
2015-11-14,Thomas Robinson,BKN,GSW,,0:07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-17,Thomas Robinson,BKN,ATL,,12:35,0.107,0.045,0.0,0.0,0.308,0.0,0.333,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,4,0,0,0,2,0,0,-1,4.0,8,17,12,0.0,0,0.0,68.0,68.4,-0.4,0.0,0.148,0.0,97.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.421,0.158,0.304,0.167,0,0,0,0,10,2,2,10,2,1,
2015-11-18,Thomas Robinson,BKN,CHA,,9:09,0.19,0.176,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.167,0.174,3,0.667,0,0,0.0,0,0.0,2,0,0,0,1,1,4,-1,6.0,2,14,10,0.0,3,0.667,109.5,120.2,-10.7,0.0,0.222,0.667,107.51,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.615,0.692,0.2,0.2,0,0,0,4,5,3,0,10,3,0,
