DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Tim Frazier,NOP,DAL,,28:03,0.111,0.114,0.154,0.333,0.222,0.429,0.0,0.0,0.0,0.118,0.132,5,0.8,1,2,0.5,3,0.333,6,9,0,0,0,2,10,24,29.25,0,0,0,,0,0.0,146.3,96.2,50.0,0.321,0.146,0.9,90.7,0.6,0.4,0.6,0.3,0.0,0.4,0.5,0.5,0.438,0.333,0.111,0.241,0,5,2,4,7,8,2,16,8,3,
2016-10-04,Tim Frazier,NOP,IND,G,23:17,0.148,0.135,0.167,0.095,0.125,0.583,0.286,0.0,0.0,0.375,0.173,5,0.6,1,2,0.5,2,1.0,3,7,0,0,2,3,9,-6,21.0,0,0,0,,0,0.0,101.5,108.6,-7.1,0.538,0.061,0.7,107.86,0.6,0.4,0.444,0.333,0.0,0.444,0.333,0.667,0.49,0.192,0.056,0.214,0,2,0,4,9,11,10,32,11,2,
2016-10-09,Tim Frazier,NOP,HOU,G,24:26,0.127,0.109,0.083,0.053,0.421,0.45,0.5,0.333,0.0,0.071,0.099,5,0.6,0,1,0.0,1,1.0,8,9,2,0,2,1,7,5,31.25,0,0,0,,0,0.0,126.0,117.3,8.7,0.391,0.211,0.6,110.64,0.8,0.2,0.857,0.0,0.0,0.571,0.0,1.0,0.636,0.273,0.213,0.227,0,0,0,4,10,4,8,24,4,1,NBA TV
2016-10-12,Tim Frazier,NOP,HOU,G,18:02,0.091,0.103,0.2,0.133,0.167,0.5,0.0,0.0,0.0,0.2,0.125,3,0.333,1,2,0.5,2,0.5,3,4,0,0,0,2,4,-4,13.25,0,0,0,,0,0.0,82.9,100.7,-17.8,0.5,0.091,0.5,98.96,0.333,0.667,0.0,0.75,0.0,0.0,1.0,0.0,0.485,0.121,0.112,0.176,0,0,3,0,9,2,4,16,2,1,NBA TV
2016-10-18,Tim Frazier,NOP,ATL,G,31:56,0.126,0.073,0.059,0.167,0.207,0.4,0.364,0.222,0.0,0.235,0.078,4,0.25,0,1,0.0,3,1.0,6,6,2,0,4,4,5,6,22.0,0,0,0,,0,0.0,90.2,83.2,7.1,0.286,0.092,0.25,105.7,0.75,0.25,0.4,0.0,0.4,0.4,0.0,1.0,0.417,0.217,0.186,0.257,2,2,0,2,14,13,2,34,13,4,NBA TV
2016-10-20,Tim Frazier,NOP,ORL,G,35:56,0.18,0.167,0.059,0.214,0.189,0.5,0.231,0.0,0.0,0.071,0.143,11,0.364,1,1,1.0,3,0.333,7,7,0,0,3,1,10,-8,26.5,0,0,0,,0,0.0,91.9,101.1,-9.2,0.292,0.097,0.409,102.39,0.909,0.091,0.6,0.3,0.0,0.2,0.25,0.75,0.472,0.194,0.104,0.243,0,0,0,2,18,11,13,36,11,3,
2015-10-30,Tim Frazier,POR,PHX,,2:24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0,0.0,0,0,0.0,0,0.0,0,1,1,0,0,1,0,1,3.25,0,9,9,0.1111,0,0.0,85.0,75.2,9.8,1.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.376,0.0,0,0,0,0,0,0,0,2,0,0,
2015-10-31,Tim Frazier,POR,PHX,,5:03,0.168,0.1,0.0,0.0,0.333,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,0,0,0.0,0,0.0,2,0,0,0,1,1,0,0,2.0,3,13,11,0.0,1,0.0,70.9,70.0,0.9,0.0,0.154,0.0,94.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292,0.0,0.0,0.333,0,0,0,0,0,0,0,4,0,0,
2015-11-05,Tim Frazier,POR,MEM,,3:34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-5,0.0,0,8,7,0.0,0,0.0,37.5,114.3,-76.8,0.0,0.0,0.0,100.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.286,0.333,0,0,0,0,6,3,2,0,3,1,TNT
2015-11-11,Tim Frazier,POR,SAS,,0:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-2,0.0,0,2,2,0.0,0,0.0,0.0,200.0,-200.0,0.0,0.0,0.0,78.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,ESPN
2015-11-15,Tim Frazier,POR,CHA,,1:08,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,2,1.25,0,4,4,0.25,1,0.0,100.0,0.0,100.0,1.0,0.0,0.0,84.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-18,Tim Frazier,POR,HOU,,5:52,0.078,0.0,0.0,0.0,0.125,0.75,0.5,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,1,3,1,0,1,0,0,11,6.5,1,11,10,0.3,0,0.0,139.4,36.8,102.6,0.6,0.067,0.0,88.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.143,0.092,0.455,0,0,0,0,2,2,0,2,2,0,
2015-11-20,Tim Frazier,POR,LAC,,0:29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,
