DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Timofey Mozgov,LAL,SAC,C,21:31,0.118,0.118,0.0,0.125,0.429,0.286,0.111,0.0,0.0,0.091,0.143,4,0.5,0,0,0.0,2,1.0,9,2,0,0,1,1,6,-2,19.25,0,0,0,,0,0.0,95.4,98.1,-2.8,0.182,0.237,0.5,99.14,1.0,0.0,0.667,0.0,0.0,0.667,1.0,0.0,0.53,0.333,0.223,0.167,0,0,0,4,7,3,10,12,3,3,
2016-10-07,Timofey Mozgov,LAL,DEN,C,20:34,0.224,0.2,0.0,0.0,0.25,0.1,0.364,0.0,0.0,0.364,0.105,7,0.286,0,0,0.0,0,0.0,5,1,0,0,4,4,4,-10,9.5,0,0,0,,0,0.0,79.0,94.0,-15.0,0.091,0.114,0.286,115.67,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.415,0.39,0.157,0.208,0,0,0,4,13,2,15,16,2,0,NBA TV
2016-10-09,Timofey Mozgov,LAL,DEN,C,13:47,0.128,0.115,0.0,0.0,0.286,0.0,0.333,0.2,0.0,0.1,0.071,3,0.333,0,0,0.0,0,0.0,2,0,1,0,1,1,2,-3,6.0,0,0,0,,0,0.0,89.7,100.3,-10.5,0.0,0.083,0.333,108.17,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.529,1.059,0.226,0.125,0,0,0,2,5,2,11,18,2,1,NBA TV
2016-10-11,Timofey Mozgov,LAL,POR,C,15:55,0.257,0.185,0.0,0.444,0.182,0.0,0.429,0.333,0.667,0.3,0.262,5,0.8,0,0,0.0,4,0.75,2,0,1,2,3,3,11,2,18.0,0,0,0,,0,0.0,120.1,114.8,5.3,0.0,0.08,0.8,105.25,1.0,0.0,0.727,0.0,0.364,0.727,0.75,0.25,0.536,0.393,0.201,0.385,4,4,2,8,8,6,2,14,6,4,NBA TV
2016-10-13,Timofey Mozgov,LAL,SAC,C,18:28,0.151,0.139,0.0,0.0,0.353,0.091,0.5,0.0,0.0,0.2,0.093,5,0.4,0,0,0.0,0,0.0,6,1,0,0,1,1,4,17,12.25,0,0,0,,0,0.0,120.2,73.0,47.3,0.067,0.182,0.4,92.79,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.411,0.214,0.224,0.188,2,2,2,4,4,4,2,8,4,3,
2016-10-15,Timofey Mozgov,LAL,GSW,C,22:08,0.178,0.152,0.0,0.286,0.267,0.143,0.2,0.2,0.333,0.455,0.27,5,0.6,0,0,0.0,4,1.0,4,1,1,1,2,5,10,-25,19.25,0,0,0,,0,0.0,78.5,128.4,-50.0,0.111,0.091,0.6,103.49,1.0,0.0,0.6,0.0,0.2,0.4,0.667,0.333,0.576,0.261,0.145,0.435,2,0,0,4,13,7,6,24,7,2,NBA TV
2016-10-19,Timofey Mozgov,LAL,GSW,C,14:40,0.102,0.1,0.0,0.0,0.2,0.1,0.143,0.0,1.0,0.0,0.111,3,0.667,0,0,0.0,0,0.0,2,1,0,2,1,0,4,-13,11.25,0,0,0,,0,0.0,99.4,135.4,-35.9,0.083,0.087,0.667,118.47,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.71,0.161,0.11,0.125,0,2,0,2,9,8,9,18,8,3,ESPN
2015-10-27,Timofey Mozgov,CLE,CHI,C,20:54,0.204,0.15,0.0,0.25,0.208,0.167,0.6,0.0,0.5,0.4,0.125,6,0.333,0,0,0.0,2,0.5,5,2,0,2,3,2,5,-1,16.25,11,40,31,0.0645,5,0.4,91.9,87.5,4.5,0.125,0.119,0.333,103.81,1.0,0.0,0.8,0.0,0.0,0.8,0.5,0.5,0.476,0.048,0.128,0.095,0,0,2,4,5,6,5,18,6,2,TNT
2015-10-28,Timofey Mozgov,CLE,MEM,C,25:04,0.2,0.186,0.056,0.333,0.16,0.0,0.25,0.0,0.0,0.222,0.2,8,0.5,0,1,0.0,1,1.0,4,0,0,0,2,2,9,3,13.0,9,42,31,0.0,3,0.667,97.2,94.1,3.1,0.0,0.087,0.5,87.09,0.875,0.125,0.889,0.0,0.333,0.889,1.0,0.0,0.451,0.146,0.112,0.174,3,0,3,8,7,2,7,24,2,4,
2015-10-30,Timofey Mozgov,CLE,MIA,C,18:04,0.179,0.171,0.0,0.125,0.263,0.0,0.333,0.0,0.5,0.222,0.25,6,0.667,0,0,0.0,1,1.0,5,0,0,1,1,2,9,0,16.75,13,25,18,0.0,6,0.667,101.4,103.3,-2.0,0.0,0.135,0.667,93.47,1.0,0.0,0.889,0.0,0.0,0.889,0.75,0.25,0.463,0.407,0.144,0.133,0,0,0,8,2,4,3,6,4,1,ESPN
