DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Tobias Harris,DET,BKN,F,26:48,0.212,0.241,0.385,0.0,0.088,0.1,0.167,0.0,0.0,0.231,0.263,13,0.462,3,5,0.6,0,0.0,3,1,0,0,2,3,15,2,20.5,0,0,0,,0,0.0,98.5,94.8,3.8,0.063,0.054,0.577,103.77,0.615,0.385,0.4,0.6,0.0,0.267,0.667,0.333,0.489,0.348,0.121,0.087,0,2,0,4,13,0,6,14,0,2,
2016-10-10,Tobias Harris,DET,SAS,F,29:41,0.162,0.148,0.167,0.286,0.138,0.143,0.2,0.143,0.0,0.1,0.212,8,0.625,0,2,0.0,2,0.5,4,2,1,0,2,1,11,-2,19.5,0,0,0,,0,0.0,83.8,87.3,-3.6,0.111,0.071,0.625,100.22,0.75,0.25,0.909,0.0,0.0,0.545,0.8,0.2,0.479,0.229,0.178,0.077,0,3,0,6,9,0,6,16,0,2,
2016-10-13,Tobias Harris,DET,ATL,F,31:33,0.317,0.351,0.222,0.143,0.28,0.222,0.222,0.2,0.0,0.133,0.243,20,0.4,0,2,0.0,2,1.0,7,4,1,0,2,2,18,3,32.75,0,0,0,,0,0.0,113.6,110.7,2.9,0.19,0.14,0.4,98.37,0.9,0.1,0.889,0.0,0.5,0.556,0.5,0.5,0.61,0.28,0.218,0.25,9,0,0,10,6,6,6,28,6,3,
2016-10-15,Tobias Harris,DET,PHI,F,29:07,0.249,0.271,0.2,0.0,0.286,0.133,0.286,0.1,0.0,0.2,0.269,13,0.615,2,3,0.667,0,0.0,6,2,1,0,2,2,18,25,30.0,0,0,0,,0,0.0,121.2,70.2,51.0,0.111,0.136,0.692,94.89,0.769,0.231,0.667,0.333,0.222,0.444,0.5,0.5,0.393,0.262,0.318,0.273,4,0,2,8,8,14,0,18,14,0,
2016-10-17,Tobias Harris,DET,MIL,F,33:04,0.259,0.264,0.143,0.1,0.212,0.125,0.3,0.0,0.0,0.071,0.219,14,0.5,1,3,0.333,1,1.0,7,2,0,0,3,1,16,14,26.25,0,0,0,,0,0.0,117.0,92.9,24.0,0.105,0.115,0.536,91.36,0.786,0.214,0.75,0.188,0.25,0.625,0.571,0.429,0.425,0.321,0.158,0.2,4,3,0,10,12,2,5,32,2,1,
2016-10-19,Tobias Harris,DET,TOR,F,26:20,0.167,0.128,0.182,0.889,0.235,0.167,0.0,0.0,0.0,0.176,0.264,6,0.5,0,2,0.0,8,1.0,4,2,0,0,0,3,14,-13,21.5,0,0,0,,0,0.0,94.7,116.2,-21.5,0.105,0.089,0.5,102.77,0.667,0.333,0.429,0.0,0.0,0.0,0.0,1.0,0.543,0.435,0.123,0.238,0,2,2,0,10,8,10,28,8,5,
2015-10-28,Tobias Harris,ORL,WAS,F,31:05,0.209,0.206,0.167,0.5,0.184,0.231,0.182,0.0,0.5,0.286,0.294,14,0.5,0,3,0.0,2,0.5,7,3,0,1,2,4,15,-1,28.5,16,69,53,0.0566,8,0.5,72.1,81.0,-9.0,0.188,0.101,0.5,104.16,0.786,0.214,0.933,0.0,0.4,0.667,0.429,0.571,0.415,0.264,0.187,0.2,6,3,4,10,10,4,9,22,4,2,
2015-10-30,Tobias Harris,ORL,OKC,F,46:17,0.26,0.218,0.154,0.414,0.237,0.19,0.385,0.0,0.143,0.12,0.268,19,0.474,2,4,0.5,12,0.833,9,4,0,1,5,3,30,-2,46.75,22,110,77,0.0519,11,0.545,109.0,113.5,-4.5,0.133,0.102,0.526,105.37,0.789,0.211,0.467,0.2,0.133,0.467,0.556,0.444,0.511,0.286,0.159,0.391,4,6,4,14,13,16,10,52,16,7,
2015-11-01,Tobias Harris,ORL,CHI,F,21:48,0.356,0.333,0.222,0.4,0.35,0.182,0.5,0.0,0.0,0.25,0.239,14,0.357,0,2,0.0,2,0.5,7,2,0,0,3,2,11,-2,20.75,11,50,33,0.0606,10,0.4,104.1,105.2,-1.1,0.133,0.2,0.357,98.91,0.857,0.143,0.909,0.0,0.0,0.909,0.6,0.4,0.512,0.146,0.088,0.125,0,2,2,10,8,9,0,18,9,2,
2015-11-03,Tobias Harris,ORL,NOP,F,29:23,0.171,0.193,0.231,0.0,0.371,0.067,0.091,0.25,0.0,0.364,0.158,11,0.364,1,3,0.333,0,0.0,13,1,1,0,1,4,9,-3,28.5,18,64,51,0.0196,8,0.375,91.6,93.7,-2.1,0.053,0.2,0.409,103.11,0.727,0.273,0.667,0.333,0.0,0.667,0.5,0.5,0.472,0.296,0.125,0.156,0,2,2,6,16,2,11,18,2,0,
