DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2015-10-28,Tony Allen,MEM,CLE,,22:39,0.168,0.162,0.0,0.0,0.333,0.222,0.222,0.667,0.5,0.143,0.162,6,0.5,0,0,0.0,0,0.0,7,2,2,1,2,1,6,-6,22.25,10,29,19,0.1053,6,0.5,86.5,94.9,-8.4,0.154,0.184,0.5,93.33,1.0,0.0,1.0,0.0,0.333,1.0,0.0,1.0,0.526,0.077,0.177,0.158,2,0,0,6,12,5,4,20,5,1,
2015-10-29,Tony Allen,MEM,IND,F,22:13,0.253,0.268,0.2,0.222,0.333,0.0,0.167,0.667,0.0,0.417,0.22,11,0.364,0,1,0.0,2,0.5,7,0,4,0,1,5,9,-7,25.25,10,29,16,0.0,9,0.444,95.4,102.5,-7.0,0.0,0.163,0.364,97.04,0.909,0.091,0.889,0.0,0.222,0.889,0.25,0.75,0.528,0.306,0.235,0.278,2,2,5,8,4,10,7,18,10,3,
2015-10-31,Tony Allen,MEM,BKN,F,28:48,0.103,0.136,0.091,0.0,0.28,0.118,0.0,0.4,0.0,0.444,0.098,6,0.5,0,1,0.0,0,0.0,7,2,2,0,0,4,6,6,21.25,16,28,20,0.1,2,0.5,115.0,98.8,16.2,0.111,0.149,0.5,90.58,0.833,0.167,1.0,0.0,0.0,1.0,1.0,0.0,0.531,0.122,0.162,0.2,0,0,0,6,6,6,6,40,6,0,
2015-11-02,Tony Allen,MEM,GSW,F,12:05,0.225,0.222,0.4,0.0,0.143,0.2,1.0,0.5,1.0,0.5,0.0,6,0.0,0,2,0.0,0,0.0,2,1,1,1,1,3,0,-8,7.25,8,19,12,0.0833,4,0.0,71.8,100.9,-29.2,0.167,0.063,0.0,100.98,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.19,0.194,0.2,0,0,0,0,2,2,13,8,2,0,NBA TV
2015-11-03,Tony Allen,MEM,SAC,F,20:07,0.068,0.088,0.167,0.0,0.222,0.133,0.0,0.0,0.0,0.4,0.096,3,0.667,1,1,1.0,0,0.0,4,2,0,0,0,4,5,13,13.0,6,18,15,0.1333,1,1.0,127.3,97.1,30.2,0.105,0.121,0.833,96.64,0.667,0.333,0.4,0.6,0.4,0.4,1.0,0.0,0.453,0.438,0.149,0.211,2,2,0,2,6,8,10,20,8,0,
2015-11-05,Tony Allen,MEM,POR,F,23:33,0.126,0.158,0.143,0.0,0.056,0.125,0.0,0.0,0.5,0.6,0.13,6,0.5,0,1,0.0,0,0.0,1,1,0,1,0,3,6,-11,10.5,6,33,27,0.037,2,1.0,105.2,131.3,-26.1,0.071,0.023,0.5,88.78,0.833,0.167,1.0,0.0,0.0,0.667,0.667,0.333,0.554,0.217,0.046,0.391,0,2,0,4,6,11,2,24,11,0,TNT
2015-11-07,Tony Allen,MEM,UTA,F,23:38,0.156,0.156,0.0,0.286,0.318,0.0,0.111,0.75,0.0,0.4,0.122,7,0.286,0,0,0.0,2,0.5,7,0,3,0,1,4,5,-3,19.25,10,27,17,0.0,6,0.167,78.7,90.7,-12.0,0.0,0.152,0.286,102.16,1.0,0.0,0.8,0.0,0.0,0.8,0.0,1.0,0.487,0.205,0.206,0.19,0,2,0,4,9,0,6,16,0,2,NBA TV
2015-11-09,Tony Allen,MEM,LAC,F,26:11,0.157,0.128,0.0,0.25,0.167,0.077,0.333,0.222,0.0,0.231,0.1,6,0.5,0,0,0.0,2,0.0,3,1,2,0,2,3,6,6,14.0,5,21,11,0.0909,4,0.75,118.8,102.9,15.9,0.043,0.081,0.5,94.44,1.0,0.0,1.0,0.0,0.333,1.0,0.333,0.667,0.513,0.447,0.248,0.333,2,2,0,6,6,6,6,18,6,2,
2015-11-11,Tony Allen,MEM,GSW,F,23:43,0.163,0.194,0.333,0.2,0.2,0.0,0.0,0.143,0.333,0.167,0.341,7,0.714,1,2,0.5,4,1.0,4,0,1,1,0,2,15,-5,24.5,7,32,22,0.0,4,0.75,94.0,101.0,-7.0,0.0,0.1,0.786,96.46,0.714,0.286,0.533,0.2,0.4,0.4,0.8,0.2,0.525,0.2,0.227,0.316,6,2,2,6,4,8,7,22,8,2,
2015-11-13,Tony Allen,MEM,POR,F,25:29,0.139,0.128,0.0,0.182,0.333,0.0,0.2,0.333,0.0,0.375,0.0,6,0.0,0,0,0.0,2,0.0,7,0,1,0,1,3,0,-7,10.25,9,27,19,0.0,5,0.0,92.3,110.0,-17.8,0.0,0.152,0.0,92.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526,0.368,0.187,0.263,0,0,0,0,3,6,8,24,6,1,
2015-11-15,Tony Allen,MEM,MIN,F,22:54,0.178,0.2,0.167,0.0,0.077,0.1,0.25,0.5,0.0,0.333,0.151,6,0.667,0,1,0.0,0,0.0,1,1,2,0,2,4,8,-11,13.5,4,19,10,0.1,3,1.0,120.3,134.8,-14.4,0.071,0.034,0.667,95.92,0.833,0.167,1.0,0.0,0.0,0.5,0.5,0.5,0.645,0.447,0.126,0.25,0,2,0,4,7,6,18,20,6,0,
2015-11-16,Tony Allen,MEM,OKC,G,27:06,0.097,0.122,0.0,0.0,0.05,0.133,0.0,0.5,0.0,0.333,0.091,6,0.5,0,0,0.0,0,0.0,1,2,3,0,0,3,6,0,15.75,5,23,17,0.1176,3,0.667,125.5,113.7,11.8,0.1,0.023,0.5,97.96,1.0,0.0,1.0,0.0,0.333,1.0,1.0,0.0,0.559,0.314,0.155,0.45,2,4,0,6,13,18,8,28,18,0,
2015-11-20,Tony Allen,MEM,HOU,G,14:37,0.241,0.25,0.167,0.5,0.25,0.25,0.0,0.167,0.0,0.5,0.308,7,0.429,1,1,1.0,2,0.5,3,2,1,0,0,4,8,-3,16.75,7,18,8,0.25,4,0.25,87.4,91.3,-3.9,0.286,0.103,0.5,101.01,0.857,0.143,0.5,0.375,0.25,0.25,1.0,0.0,0.542,0.167,0.283,0.25,2,1,0,2,2,0,5,12,0,2,
2015-11-21,Tony Allen,MEM,SAS,G,12:06,0.299,0.286,0.0,0.0,0.182,0.0,0.5,0.167,0.0,0.0,0.273,6,0.5,0,0,0.0,0,0.0,2,0,1,0,2,0,6,4,9.5,5,12,3,0.0,3,0.667,88.9,75.0,13.9,0.0,0.087,0.5,96.71,1.0,0.0,1.0,0.0,0.667,0.667,0.667,0.333,0.45,0.0,0.25,0.182,4,2,2,4,6,0,6,14,0,0,
2015-11-24,Tony Allen,MEM,DAL,G,30:37,0.133,0.089,0.143,0.333,0.16,0.077,0.2,0.4,0.0,0.083,0.153,5,0.4,1,2,0.5,8,0.75,4,1,2,0,1,1,11,6,21.25,7,34,28,0.0357,1,0.0,105.0,103.1,2.0,0.045,0.073,0.5,103.94,0.6,0.4,0.182,0.273,0.273,0.0,1.0,0.0,0.52,0.32,0.156,0.12,3,0,2,0,9,7,9,10,7,5,
2015-11-25,Tony Allen,MEM,HOU,G,28:27,0.2,0.222,0.0,0.0,0.192,0.077,0.182,0.333,0.5,0.2,0.179,10,0.5,0,0,0.0,0,0.0,5,1,2,1,2,3,10,13,22.5,11,27,14,0.0714,5,0.6,100.1,77.7,22.4,0.056,0.109,0.5,93.93,1.0,0.0,1.0,0.0,0.4,1.0,0.6,0.4,0.359,0.487,0.217,0.154,4,4,2,10,10,4,9,10,4,0,NBA TV
2015-11-27,Tony Allen,MEM,ATL,G,20:28,0.252,0.273,0.083,0.0,0.154,0.2,0.25,1.0,0.0,0.143,0.136,9,0.333,0,1,0.0,0,0.0,2,2,2,0,1,2,6,-10,14.5,3,27,17,0.1176,8,0.375,116.9,133.0,-16.1,0.154,0.063,0.333,91.75,0.889,0.111,1.0,0.0,0.333,1.0,0.333,0.667,0.603,0.441,0.099,0.267,2,0,0,6,6,7,3,12,7,0,
2015-11-29,Tony Allen,MEM,PHI,G,19:27,0.18,0.211,0.0,0.25,0.211,0.0,0.0,0.5,0.0,0.667,0.242,8,0.5,0,0,0.0,1,0.0,4,0,2,0,0,2,8,0,17.0,11,25,16,0.0,6,0.5,83.0,84.6,-1.6,0.0,0.108,0.5,97.18,1.0,0.0,1.0,0.0,0.0,1.0,0.25,0.75,0.5,0.0,0.231,0.2,0,2,2,8,11,0,7,18,0,1,NBA TV
2015-12-01,Tony Allen,MEM,NOP,G,14:53,0.102,0.107,0.2,0.167,0.231,0.4,0.0,1.0,0.0,1.0,0.103,3,0.333,0,1,0.0,1,1.0,3,2,1,0,0,3,3,-6,11.25,6,17,14,0.1429,1,1.0,104.9,125.5,-20.6,0.2,0.13,0.333,89.49,0.667,0.333,0.667,0.0,0.0,0.667,1.0,0.0,0.635,0.077,0.143,0.3,0,0,0,2,4,6,4,18,6,1,
2015-12-03,Tony Allen,MEM,SAS,G,16:42,0.089,0.1,0.0,0.0,0.118,0.0,0.0,0.0,0.0,0.25,0.0,3,0.0,0,0,0.0,0,0.0,2,0,0,0,0,1,0,-5,2.5,9,15,13,0.0,1,0.0,87.7,101.2,-13.5,0.0,0.057,0.0,86.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.466,0.207,0.098,0.235,0,0,0,0,0,4,9,10,4,0,TNT
2015-12-06,Tony Allen,MEM,PHX,G,8:00,0.317,0.444,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,4,0.0,0,0,0.0,0,0.0,0,0,1,0,1,0,0,-15,1.5,1,9,4,0.0,2,0.0,47.4,133.8,-86.4,0.0,0.0,0.0,93.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553,0.053,0.122,0.556,0,0,0,0,8,7,2,10,7,0,
2015-12-08,Tony Allen,MEM,OKC,G,14:16,0.223,0.24,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.333,0.222,6,0.333,0,0,0.0,0,0.0,2,1,0,0,1,2,4,-16,7.25,8,22,12,0.0833,6,0.333,68.4,127.6,-59.2,0.167,0.077,0.333,89.09,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.625,0.25,0.15,0.444,0,0,2,4,4,2,0,18,2,0,
2015-12-09,Tony Allen,MEM,DET,G,22:07,0.152,0.162,0.333,0.0,0.261,0.083,0.111,0.5,0.0,0.286,0.093,6,0.333,0,1,0.0,0,0.0,6,1,1,0,1,2,4,4,14.25,8,19,12,0.0833,4,0.25,102.4,94.7,7.7,0.053,0.158,0.333,90.27,0.833,0.167,1.0,0.0,0.0,1.0,0.5,0.5,0.462,0.128,0.097,0.174,0,0,0,4,7,7,4,22,7,0,
2015-12-11,Tony Allen,MEM,CHA,G,29:56,0.204,0.22,0.1,0.0,0.143,0.083,0.286,0.2,0.25,0.364,0.154,11,0.455,0,1,0.0,0,0.0,3,1,1,1,2,4,10,-13,18.0,7,35,21,0.0476,7,0.429,112.8,132.8,-20.0,0.053,0.07,0.455,93.26,0.909,0.091,1.0,0.0,0.2,0.8,0.8,0.2,0.673,0.265,0.153,0.25,2,2,0,8,8,13,7,14,13,1,
2015-12-22,Tony Allen,MEM,PHI,,16:34,0.187,0.147,0.167,0.4,0.231,0.0,0.333,0.125,0.0,0.143,0.024,5,0.0,0,1,0.0,4,0.25,3,0,1,0,1,1,1,11,6.25,4,22,13,0.0,2,0.0,115.4,89.8,25.6,0.0,0.12,0.0,102.74,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.4,0.377,0.2,0,0,0,0,2,3,3,14,3,3,
2015-12-23,Tony Allen,MEM,WAS,,21:34,0.2,0.071,0.0,0.333,0.231,0.167,0.75,0.25,0.25,0.25,0.106,2,0.5,0,0,0.0,8,0.375,3,1,2,1,3,3,5,-3,14.5,6,19,10,0.1,1,1.0,115.9,109.6,6.2,0.071,0.097,0.5,95.88,1.0,0.0,0.4,0.0,0.8,0.4,1.0,0.0,0.528,0.417,0.197,0.353,4,2,1,2,11,8,1,18,8,6,
2015-12-26,Tony Allen,MEM,CHA,,27:50,0.068,0.085,0.0,0.0,0.154,0.1,0.0,0.286,0.0,0.313,0.08,4,0.5,0,0,0.0,0,0.0,4,1,2,0,0,5,4,4,14.25,11,19,14,0.0714,3,0.333,94.4,84.4,10.0,0.053,0.075,0.5,92.63,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.413,0.425,0.239,0.231,0,0,2,2,9,8,13,10,8,0,
2015-12-27,Tony Allen,MEM,LAL,,19:09,0.169,0.176,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.333,0.098,6,0.333,0,0,0.0,0,0.0,2,0,0,0,1,3,4,4,6.0,3,18,11,0.0,3,0.333,103.7,98.6,5.1,0.0,0.059,0.333,96.59,1.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.453,0.25,0.213,0.3,2,2,0,4,5,2,10,12,2,0,
2015-12-29,Tony Allen,MEM,MIA,,36:28,0.128,0.143,0.0,0.0,0.241,0.0,0.125,0.667,0.25,0.231,0.097,8,0.375,0,0,0.0,0,0.0,7,0,2,1,1,3,6,1,20.25,15,32,22,0.0,6,0.333,104.8,91.8,13.0,0.0,0.13,0.375,82.7,1.0,0.0,1.0,0.0,0.0,0.667,0.667,0.333,0.51,0.333,0.211,0.25,0,0,2,4,13,9,3,26,9,2,
2016-01-02,Tony Allen,MEM,UTA,F,36:23,0.142,0.167,0.091,0.136,0.286,0.154,0.0,0.375,0.0,0.333,0.186,9,0.556,1,1,1.0,3,0.667,8,2,3,0,0,4,13,14,32.0,11,37,25,0.08,6,0.5,105.0,84.8,20.2,0.095,0.151,0.611,87.56,0.889,0.111,0.615,0.231,0.231,0.615,0.4,0.6,0.469,0.333,0.227,0.154,3,2,3,8,8,2,8,22,2,3,
