DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Trevor Booker,BKN,DET,F,18:22,0.154,0.143,0.0,0.167,0.313,0.333,0.2,0.667,0.0,0.2,0.109,4,0.5,0,0,0.0,2,0.5,5,3,2,0,1,1,5,11,18.5,0,0,0,,0,0.0,123.4,91.1,32.3,0.231,0.143,0.5,98.94,1.0,0.0,0.8,0.0,0.8,0.8,0.0,1.0,0.436,0.026,0.182,0.348,4,4,0,4,9,6,0,14,6,2,
2016-10-08,Trevor Booker,BKN,NYK,F,20:55,0.111,0.111,0.0,0.182,0.263,0.0,0.0,0.0,0.0,0.0,0.161,4,0.5,0,0,0.0,2,0.5,5,0,0,0,0,0,5,-15,11.25,0,0,0,,0,0.0,79.8,111.4,-31.6,0.0,0.116,0.5,91.93,1.0,0.0,0.8,0.0,0.8,0.8,0.5,0.5,0.586,0.343,0.145,0.263,4,0,0,4,4,2,9,16,2,2,
2016-10-11,Trevor Booker,BKN,MIA,F,23:17,0.141,0.184,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.143,0.085,7,0.286,0,0,0.0,0,0.0,8,1,0,0,0,2,4,-15,15.25,0,0,0,,0,0.0,98.5,126.6,-28.1,0.071,0.195,0.286,99.66,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.622,0.2,0.041,0.1,0,0,0,4,7,4,2,30,4,0,NBA TV
2016-10-13,Trevor Booker,BKN,BOS,F,29:50,0.137,0.111,0.105,0.0,0.387,0.182,0.4,0.0,0.0,0.273,0.2,6,0.833,1,2,0.5,0,0.0,12,2,0,0,4,3,11,-8,27.0,0,0,0,,0,0.0,83.0,96.4,-13.4,0.154,0.19,0.917,105.89,0.667,0.333,0.727,0.273,0.182,0.727,0.4,0.6,0.452,0.365,0.153,0.172,2,2,2,8,7,4,13,26,4,0,
2016-10-20,Trevor Booker,BKN,NYK,F,15:03,0.122,0.115,0.0,0.0,0.4,0.0,0.2,0.0,1.0,0.25,0.057,3,0.333,0,0,0.0,0,0.0,4,0,0,1,1,1,2,-1,8.5,0,0,0,,0,0.0,106.8,109.5,-2.7,0.0,0.167,0.333,104.68,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.547,0.063,0.091,0.231,0,0,0,2,8,2,9,20,2,1,NBA TV
2015-10-30,Trevor Booker,UTA,PHI,,17:55,0.132,0.143,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.25,0.063,5,0.2,0,0,0.0,0,0.0,3,0,0,0,0,2,2,5,5.75,5,36,31,0.0,3,0.333,97.3,83.3,14.0,0.0,0.088,0.2,87.44,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.396,0.417,0.185,0.125,0,0,0,2,5,2,5,8,2,1,
2015-10-31,Trevor Booker,UTA,IND,,27:43,0.103,0.132,0.091,0.0,0.192,0.0,0.0,0.0,0.0,0.188,0.071,7,0.286,0,1,0.0,0,0.0,5,0,0,0,0,3,4,10,10.25,10,59,51,0.0,6,0.333,93.4,84.2,9.1,0.0,0.111,0.286,99.2,0.857,0.143,1.0,0.0,0.5,1.0,0.5,0.5,0.473,0.405,0.256,0.143,2,2,2,4,12,7,7,16,7,0,
2015-11-04,Trevor Booker,UTA,POR,,12:60,0.169,0.2,0.0,0.0,0.176,0.0,0.0,0.4,1.0,0.2,0.0,6,0.0,0,0,0.0,0,0.0,3,0,2,1,0,1,0,10,9.75,11,30,21,0.0,5,0.0,91.2,58.8,32.3,0.0,0.103,0.0,102.91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.389,0.278,0.331,0.167,0,0,0,0,0,1,0,8,1,0,
2015-11-05,Trevor Booker,UTA,DEN,,28:28,0.161,0.184,0.063,0.0,0.31,0.214,0.111,0.333,0.2,0.214,0.206,9,0.667,1,1,1.0,0,0.0,9,3,1,1,1,3,13,15,32.0,17,53,43,0.0698,4,0.5,110.6,86.7,23.9,0.167,0.164,0.722,94.7,0.889,0.111,0.769,0.231,0.0,0.615,0.667,0.333,0.38,0.413,0.126,0.2,0,0,2,8,8,6,4,16,6,0,
2015-11-07,Trevor Booker,UTA,MEM,,19:25,0.163,0.171,0.077,0.0,0.3,0.222,0.143,0.0,0.25,0.364,0.0,6,0.0,0,1,0.0,0,0.0,6,2,0,1,1,4,0,3,11.5,11,33,27,0.0741,3,0.0,95.2,83.7,11.5,0.143,0.154,0.0,98.32,0.833,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.378,0.162,0.123,0.2,0,0,0,0,10,4,10,14,4,0,NBA TV
2015-11-10,Trevor Booker,UTA,CLE,,19:19,0.115,0.088,0.111,0.0,0.25,0.083,0.286,0.0,0.0,0.25,0.056,3,0.333,0,1,0.0,0,0.0,5,1,0,0,2,4,2,-6,8.5,9,40,35,0.0286,2,0.5,101.0,117.3,-16.3,0.071,0.139,0.333,88.75,0.667,0.333,1.0,0.0,0.0,1.0,1.0,0.0,0.467,0.667,0.084,0.333,0,0,0,2,4,4,5,14,4,1,
2015-11-12,Trevor Booker,UTA,MIA,,16:09,0.092,0.08,0.0,0.0,0.273,0.0,0.25,0.333,0.333,0.667,0.0,2,0.0,0,0,0.0,0,0.0,3,0,1,1,1,6,0,-6,7.25,11,24,21,0.0,0,0.0,92.0,112.8,-20.8,0.0,0.103,0.0,92.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462,0.615,0.097,0.333,0,0,0,0,7,7,6,14,7,1,
2015-11-13,Trevor Booker,UTA,ORL,,25:58,0.168,0.191,0.182,0.0,0.368,0.083,0.182,0.5,0.5,0.231,0.113,9,0.333,0,2,0.0,0,0.0,7,1,4,1,2,3,6,-11,25.0,16,60,45,0.0222,8,0.375,93.8,115.1,-21.3,0.063,0.189,0.333,103.59,0.778,0.222,1.0,0.0,0.333,1.0,0.667,0.333,0.595,0.357,0.216,0.333,2,2,2,6,16,8,8,22,8,0,
