DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Trey Lyles,UTA,POR,,20:40,0.236,0.259,0.5,0.182,0.267,0.111,0.2,0.0,0.0,0.3,0.237,7,0.429,2,4,0.5,2,0.5,4,1,0,0,2,3,9,-7,15.25,0,0,0,,0,0.0,95.4,107.6,-12.2,0.1,0.143,0.571,94.87,0.429,0.571,0.222,0.667,0.333,0.0,1.0,0.0,0.617,0.367,0.215,0.133,3,0,0,0,10,1,6,12,1,1,NBA TV
2016-10-05,Trey Lyles,UTA,PHX,,23:44,0.258,0.286,0.625,0.313,0.28,0.111,0.154,0.0,0.333,0.0,0.32,10,0.6,2,5,0.4,5,0.4,7,1,0,2,2,0,16,4,30.0,0,0,0,,0,0.0,102.0,90.7,11.3,0.083,0.146,0.7,100.88,0.5,0.5,0.5,0.375,0.125,0.5,0.333,0.667,0.34,0.26,0.158,0.406,2,5,5,8,12,13,0,20,13,2,NBA TV
2016-10-10,Trey Lyles,UTA,LAC,,18:15,0.205,0.214,0.5,0.25,0.348,0.5,0.143,0.0,0.0,0.429,0.222,6,0.5,0,2,0.0,2,1.0,8,1,0,0,1,6,8,13,18.75,0,0,0,,0,0.0,107.4,70.3,37.1,0.083,0.258,0.5,87.11,0.667,0.333,0.75,0.0,0.0,0.25,0.0,1.0,0.3,0.52,0.092,0.053,0,0,2,2,0,0,3,8,0,3,NBA TV
2016-10-12,Trey Lyles,UTA,PHX,,20:39,0.206,0.267,0.364,0.111,0.333,0.0,0.1,0.0,0.25,0.2,0.204,8,0.375,2,4,0.5,2,1.0,6,0,0,1,1,4,10,1,20.0,0,0,0,,0,0.0,106.7,94.6,12.1,0.0,0.176,0.5,112.36,0.5,0.5,0.2,0.6,0.0,0.0,0.667,0.333,0.417,0.806,0.099,0.158,0,0,0,0,14,5,13,22,5,2,NBA TV
2016-10-17,Trey Lyles,UTA,LAC,,15:30,0.24,0.269,0.3,0.0,0.4,0.0,0.25,0.0,0.0,0.143,0.182,7,0.286,2,3,0.667,0,0.0,6,0,0,0,2,1,6,8,13.5,0,0,0,,0,0.0,90.4,73.4,17.0,0.0,0.214,0.429,109.32,0.571,0.429,0.0,1.0,0.5,0.0,1.0,0.0,0.365,0.269,0.235,0.176,3,0,0,0,4,3,2,12,3,0,
2016-10-19,Trey Lyles,UTA,POR,,22:27,0.196,0.243,0.429,0.0,0.381,0.0,0.0,0.25,0.0,0.0,0.275,9,0.444,3,6,0.5,0,0.0,8,0,1,0,0,0,11,4,24.5,0,0,0,,0,0.0,93.1,84.4,8.7,0.0,0.182,0.611,91.51,0.333,0.667,0.182,0.818,0.0,0.0,1.0,0.0,0.419,0.162,0.141,0.143,0,0,0,0,5,0,4,18,0,1,
2015-10-28,Trey Lyles,UTA,DET,,8:14,0.055,0.071,0.0,0.0,0.143,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,1,1,0,0,0,0,0,-15,2.5,2,14,13,0.0769,0,0.0,43.2,141.8,-98.5,0.5,0.056,0.0,92.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583,0.667,0.064,0.167,0,0,0,0,2,2,2,8,2,0,
2015-10-30,Trey Lyles,UTA,PHI,,7:33,0.237,0.2,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.4,0.0,3,0.0,0,0,0.0,0,0.0,2,0,0,0,1,2,0,3,2.0,2,13,9,0.0,1,0.0,81.9,74.0,7.9,0.0,0.143,0.0,93.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.148,0.0,0,0,0,0,2,0,0,4,0,0,
2015-10-31,Trey Lyles,UTA,IND,,4:31,0.405,0.222,0.0,1.0,0.667,0.0,1.0,0.0,0.0,0.333,0.286,2,0.0,0,0,0.0,4,0.5,4,0,0,0,1,1,2,2,6.5,5,9,5,0.0,2,0.0,79.9,57.1,22.8,0.0,0.364,0.0,93.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.342,0.25,0,0,2,0,0,3,2,2,3,2,
2015-11-04,Trey Lyles,UTA,POR,,9:07,0.092,0.111,0.167,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,2,0.0,0,1,0.0,0,0.0,0,1,0,0,0,1,0,-8,1.25,7,16,14,0.0714,0,0.0,68.0,107.3,-39.3,0.25,0.0,0.0,95.53,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.643,0.429,0.161,0.2,0,0,0,0,0,4,3,8,4,0,
