DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Troy Daniels,MEM,ORL,G,8:00,0.125,0.143,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,1,0.0,0,0.0,0,0,0,0,0,0,0,-8,0.0,0,0,0,,0,0.0,53.3,107.5,-54.2,0.0,0.0,0.0,89.64,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.167,0.269,0.4,0,0,0,0,2,0,0,2,0,0,
2016-10-06,Troy Daniels,MEM,ATL,,3:36,0.113,0.0,0.0,0.0,0.333,0.0,0.5,0.0,0.0,0.6,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0,0,1,3,0,-3,0.75,0,0,0,,0,0.0,116.3,144.0,-27.7,0.0,0.2,0.0,96.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0,0,0,0,4,3,4,4,3,0,
2016-10-11,Troy Daniels,MEM,PHI,,13:22,0.235,0.3,0.25,0.0,0.059,0.0,0.0,0.0,0.0,0.333,0.103,9,0.222,0,3,0.0,0,0.0,1,0,0,0,0,4,4,17,5.25,0,0,0,,0,0.0,113.8,63.0,50.8,0.0,0.034,0.222,124.25,0.667,0.333,1.0,0.0,0.0,0.5,0.5,0.5,0.294,1.059,0.286,0.0,0,0,0,2,1,2,8,6,2,0,
2016-10-15,Troy Daniels,MEM,HOU,,17:24,0.214,0.25,0.286,0.0,0.095,0.222,0.2,0.2,0.0,0.111,0.057,9,0.111,0,4,0.0,0,0.0,2,2,1,0,1,1,2,-9,8.5,0,0,0,,0,0.0,90.4,107.7,-17.3,0.182,0.047,0.111,109.74,0.556,0.444,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.314,0.171,0.316,0,0,0,2,2,12,8,24,12,1,
2015-11-03,Troy Daniels,CHA,CHI,,5:41,0.254,0.273,0.667,0.0,0.167,0.0,0.333,0.0,0.0,1.0,0.273,3,0.333,1,2,0.5,0,0.0,1,0,0,0,1,1,3,-5,4.25,1,7,3,0.0,1,0.0,86.2,114.3,-28.1,0.0,0.1,0.5,113.0,0.333,0.667,0.0,1.0,0.0,0.0,1.0,0.0,0.571,0.0,0.071,0.25,0,0,0,0,6,2,2,12,2,0,
2015-11-05,Troy Daniels,CHA,DAL,,2:48,0.333,0.333,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,1,0.0,0,0.0,2,0,0,0,0,0,0,-4,2.5,2,6,4,0.0,0,0.0,50.0,119.0,-69.0,0.0,0.286,0.0,101.83,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0,0,0,0,0,0,0,2,0,0,
2015-11-07,Troy Daniels,CHA,SAS,,3:51,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,4,1.25,0,2,2,0.5,0,0.0,133.0,85.7,47.3,0.5,0.0,0.0,90.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.143,0.5,0,0,0,0,0,4,0,6,4,0,
2015-11-13,Troy Daniels,CHA,CHI,,2:03,0.485,0.333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1,1,1.0,2,0.5,0,0,0,0,0,0,4,1,4.5,0,5,2,0.0,0,0.0,103.1,77.3,25.8,0.0,0.0,1.5,90.85,0.0,1.0,0.0,0.75,0.0,0.0,0.0,1.0,0.5,1.0,0.258,0.0,0,0,0,0,0,0,0,0,0,1,
2015-11-20,Troy Daniels,CHA,PHI,,2:22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,7,0.0,0,0,0,,0,0.0,175.0,0.0,175.0,0.0,0.0,0.0,91.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0,0,0,0,0,0,0,0,0,0,
2015-12-02,Troy Daniels,CHA,GSW,,8:22,0.296,0.357,0.75,0.182,0.167,0.0,0.0,0.2,0.0,0.0,0.25,5,0.2,1,3,0.333,2,1.0,1,0,1,0,0,0,5,9,8.75,1,11,5,0.0,2,0.0,100.8,55.3,45.5,0.0,0.056,0.3,113.94,0.4,0.6,0.0,0.6,1.0,0.0,1.0,0.0,0.321,0.143,0.352,0.25,5,0,0,0,0,2,0,4,2,1,
2015-12-07,Troy Daniels,CHA,DET,,3:44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,-2,0.0,2,4,4,0.0,0,0.0,44.4,74.0,-29.6,0.0,0.0,0.0,86.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2015-12-09,Troy Daniels,CHA,MIA,,8:52,0.194,0.308,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.125,0.333,4,0.5,1,3,0.333,0,0.0,0,1,1,0,0,1,5,-12,8.75,0,13,8,0.125,2,1.0,76.4,130.3,-53.9,0.25,0.0,0.625,109.25,0.25,0.75,0.4,0.6,0.0,0.0,0.5,0.5,0.727,1.182,0.241,0.333,0,0,0,0,6,0,10,8,0,0,
2015-12-11,Troy Daniels,CHA,MEM,,3:31,0.381,0.333,0.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,2,0.5,1,1,1.0,0,0.0,0,0,0,0,1,0,3,-1,3.0,0,8,5,0.0,1,0.0,152.3,162.5,-10.2,0.0,0.0,0.75,108.38,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.722,0.0,0.0,0.25,0,0,0,0,3,0,6,2,0,0,
2015-12-16,Troy Daniels,CHA,ORL,,6:40,0.282,0.364,0.75,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.429,4,0.75,3,3,1.0,0,0.0,1,0,0,0,0,1,9,5,11.75,2,7,3,0.0,2,0.5,159.1,117.3,41.8,0.0,0.111,1.125,96.62,0.25,0.75,0.0,1.0,0.333,0.0,1.0,0.0,0.556,0.667,0.22,0.2,3,3,0,0,0,2,0,4,2,0,
2015-12-17,Troy Daniels,CHA,TOR,,12:02,0.117,0.105,0.143,0.0,0.0,0.2,0.25,0.0,0.0,0.1,0.0,2,0.0,0,1,0.0,0,0.0,0,1,0,0,1,1,0,-4,0.75,3,9,7,0.1429,1,0.0,89.7,119.5,-29.8,0.111,0.0,0.0,96.19,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.425,0.75,0.044,0.385,0,0,0,0,3,3,2,12,3,0,
