DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Ty Lawson,SAC,LAL,,22:06,0.153,0.108,0.1,0.118,0.136,0.222,0.429,0.0,0.0,0.176,0.095,4,0.25,0,1,0.0,2,1.0,3,2,0,0,3,3,4,3,8.75,0,0,0,,0,0.0,88.5,82.0,6.5,0.167,0.062,0.25,103.21,0.75,0.25,0.5,0.0,0.5,0.5,1.0,0.0,0.3,0.686,0.189,0.28,2,0,0,2,2,6,3,16,6,2,
2016-10-06,Ty Lawson,SAC,GSW,G,20:37,0.121,0.105,0.083,0.0,0.048,0.231,0.2,0.25,0.0,0.067,0.156,4,0.75,1,1,1.0,0,0.0,1,3,2,0,2,1,7,-2,15.5,0,0,0,,0,0.0,96.2,101.4,-5.1,0.188,0.027,0.875,108.4,0.75,0.25,0.571,0.429,0.286,0.571,0.667,0.333,0.552,0.655,0.216,0.053,2,2,0,4,18,0,19,10,0,2,
2016-10-10,Ty Lawson,SAC,MAC,G,18:23,0.215,0.194,0.0,0.3,0.412,0.667,0.25,0.6,0.0,0.182,0.224,6,0.833,0,0,0.0,3,1.0,7,8,3,0,2,2,13,27,36.75,0,0,0,,0,0.0,143.6,79.7,63.8,0.471,0.269,0.833,103.5,1.0,0.0,0.769,0.0,0.154,0.615,0.0,1.0,0.468,0.065,0.257,0.176,2,5,0,8,9,6,0,10,6,2,
2016-10-18,Ty Lawson,SAC,LAC,,24:09,0.154,0.14,0.154,0.154,0.091,0.4,0.222,0.3,0.0,0.2,0.119,6,0.167,1,2,0.5,2,1.0,2,4,3,0,2,2,5,-1,18.0,0,0,0,,0,0.0,79.7,90.9,-11.2,0.308,0.044,0.25,99.42,0.667,0.333,0.0,0.6,0.4,0.0,1.0,0.0,0.569,0.083,0.254,0.105,2,2,3,0,6,4,4,14,4,2,ESPN
2015-10-28,Ty Lawson,HOU,DEN,G,36:42,0.185,0.156,0.12,0.4,0.143,0.4,0.214,0.0,0.0,0.0,0.185,10,0.3,2,3,0.667,6,0.667,4,6,0,0,3,0,12,-16,24.0,10,73,54,0.1111,5,0.2,83.8,104.0,-20.2,0.273,0.061,0.4,101.7,0.7,0.3,0.167,0.5,0.333,0.167,0.667,0.333,0.575,0.3,0.231,0.276,4,2,0,2,11,6,5,34,6,4,
2015-10-30,Ty Lawson,HOU,GSW,G,35:31,0.158,0.131,0.188,0.281,0.105,0.333,0.154,0.0,0.25,0.143,0.149,8,0.25,1,3,0.333,9,0.667,4,5,0,1,2,2,11,-11,23.75,6,66,50,0.1,4,0.25,96.0,114.1,-18.1,0.238,0.058,0.313,102.42,0.625,0.375,0.182,0.273,0.0,0.182,1.0,0.0,0.537,0.25,0.067,0.182,0,6,0,2,17,12,17,42,12,5,ESPN
2015-11-01,Ty Lawson,HOU,MIA,G,37:27,0.083,0.05,0.0,0.125,0.16,0.267,0.188,0.167,0.0,0.188,0.061,3,0.333,0,0,0.0,2,1.0,4,4,1,0,3,3,4,-23,14.5,6,74,67,0.0597,1,0.0,81.4,117.9,-36.5,0.182,0.063,0.333,100.31,1.0,0.0,0.5,0.0,0.5,0.5,0.0,1.0,0.559,0.25,0.132,0.303,2,4,0,2,20,14,14,48,14,1,
2015-11-02,Ty Lawson,HOU,OKC,G,36:49,0.196,0.145,0.095,0.304,0.192,0.647,0.5,0.333,0.0,0.214,0.171,10,0.6,0,2,0.0,7,0.286,5,11,4,0,4,3,14,-1,40.0,6,75,56,0.1964,5,0.8,99.9,109.6,-9.8,0.44,0.07,0.6,102.88,0.8,0.2,0.857,0.0,0.5,0.714,0.167,0.833,0.569,0.2,0.211,0.344,7,4,1,10,9,17,9,40,17,5,NBA TV
2015-11-04,Ty Lawson,HOU,ORL,G,41:20,0.218,0.2,0.25,0.154,0.098,0.381,0.357,0.143,0.0,0.067,0.182,14,0.357,2,7,0.286,4,1.0,4,8,1,0,5,1,16,15,31.5,8,82,57,0.1404,5,0.2,106.7,88.9,17.9,0.296,0.055,0.429,95.57,0.5,0.5,0.375,0.375,0.313,0.25,0.2,0.8,0.443,0.2,0.17,0.222,5,0,0,4,8,6,10,42,6,3,
2015-11-06,Ty Lawson,HOU,SAC,G,40:55,0.153,0.162,0.182,0.0,0.114,0.095,0.2,0.286,0.0,0.182,0.124,12,0.417,3,6,0.5,0,0.0,5,2,2,0,3,4,13,15,25.75,7,63,46,0.0435,7,0.286,121.8,101.0,20.8,0.063,0.065,0.542,102.86,0.5,0.5,0.308,0.692,0.154,0.308,0.8,0.2,0.487,0.307,0.146,0.22,2,5,0,4,26,10,21,42,10,0,ESPN
2015-11-07,Ty Lawson,HOU,LAC,G,40:51,0.125,0.155,0.12,0.087,0.079,0.267,0.0,0.143,0.0,0.16,0.071,11,0.182,0,3,0.0,2,1.0,3,4,1,0,0,4,6,-5,16.75,7,74,54,0.0741,6,0.167,97.5,105.3,-7.7,0.148,0.039,0.182,100.28,0.727,0.273,0.667,0.0,0.0,0.333,0.5,0.5,0.493,0.324,0.13,0.275,0,0,0,2,20,12,5,52,12,3,
2015-11-11,Ty Lawson,HOU,BKN,G,37:35,0.146,0.139,0.074,0.2,0.118,0.263,0.2,0.286,0.0,0.083,0.108,11,0.273,0,2,0.0,2,1.0,4,5,2,0,1,1,8,-10,22.75,5,67,52,0.0962,6,0.5,95.6,110.3,-14.7,0.172,0.049,0.273,98.06,0.818,0.182,0.75,0.0,0.25,0.75,0.0,1.0,0.48,0.184,0.105,0.378,2,2,0,6,8,29,8,34,29,1,
2015-11-13,Ty Lawson,HOU,DEN,G,34:05,0.1,0.117,0.1,0.0,0.0,0.5,0.091,0.143,0.125,0.133,0.0,7,0.0,0,2,0.0,0,0.0,0,7,1,1,1,2,0,-7,12.25,4,70,58,0.1207,3,0.0,94.8,100.7,-6.0,0.292,0.0,0.0,104.38,0.714,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.426,0.172,0.294,0,0,0,0,15,13,13,28,13,1,
2015-11-14,Ty Lawson,HOU,DAL,G,30:22,0.141,0.143,0.25,0.0,0.103,0.357,0.25,0.2,0.0,0.091,0.127,8,0.375,1,4,0.25,0,0.0,3,5,1,0,2,1,7,-13,18.5,4,50,39,0.1282,1,0.0,87.2,111.3,-24.1,0.294,0.05,0.438,98.1,0.5,0.5,0.571,0.429,0.0,0.0,0.667,0.333,0.553,0.123,0.098,0.192,0,0,0,0,8,7,6,38,7,1,
2015-11-16,Ty Lawson,HOU,BOS,G,26:31,0.146,0.104,0.056,0.154,0.074,0.385,0.286,0.167,0.0,0.0,0.127,5,0.6,0,1,0.0,2,0.5,2,5,1,0,4,0,7,-12,15.75,4,60,47,0.1064,2,1.0,95.3,116.5,-21.2,0.278,0.038,0.6,104.3,0.8,0.2,0.857,0.0,0.286,0.571,0.0,1.0,0.587,0.154,0.191,0.346,2,2,0,4,30,12,10,36,12,2,
2015-11-18,Ty Lawson,HOU,POR,,20:23,0.22,0.235,0.125,0.0,0.0,0.125,0.286,0.25,0.0,0.2,0.063,8,0.125,0,2,0.0,0,0.0,0,1,1,0,2,1,2,-6,4.25,1,39,28,0.0357,3,0.0,77.3,94.8,-17.5,0.111,0.0,0.125,95.91,0.75,0.25,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.212,0.25,0.375,2,0,2,2,4,6,2,12,6,1,
2015-11-20,Ty Lawson,HOU,MEM,,16:01,0.278,0.25,0.111,0.462,0.1,1.0,0.2,0.667,0.5,0.286,0.308,6,0.333,0,1,0.0,6,0.667,1,4,2,1,1,2,8,-16,19.75,2,38,26,0.1538,4,0.25,77.1,125.3,-48.2,0.571,0.034,0.333,100.76,0.833,0.167,0.5,0.0,0.0,0.25,0.0,1.0,0.586,0.276,0.089,0.182,0,6,0,2,11,4,10,26,4,3,
2015-11-21,Ty Lawson,HOU,NYK,,16:49,0.118,0.031,0.0,0.0,0.1,0.667,0.571,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,2,2,0,0,4,0,0,0,3.0,3,29,23,0.087,1,0.0,101.4,110.2,-8.8,0.167,0.059,0.0,91.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397,0.379,0.097,0.353,0,0,0,0,0,2,2,4,2,0,
2015-11-25,Ty Lawson,HOU,MEM,,2:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-6,0.0,0,5,4,0.0,0,0.0,40.0,160.0,-120.0,0.0,0.0,0.0,89.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.5,0,0,0,0,2,2,0,4,2,0,NBA TV
2015-11-27,Ty Lawson,HOU,PHI,,15:55,0.149,0.115,0.0,0.0,0.0,0.5,0.3,1.0,0.0,0.0,0.1,3,0.667,0,0,0.0,0,0.0,0,3,1,0,3,0,4,8,8.25,1,33,26,0.1154,0,0.0,109.9,100.1,9.8,0.25,0.0,0.667,103.08,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.333,0.094,0.125,0,0,0,2,8,5,4,16,5,0,
2015-11-30,Ty Lawson,HOU,DET,,18:42,0.184,0.2,0.3,0.0,0.136,0.375,0.25,0.25,0.0,0.0,0.275,8,0.5,3,3,1.0,0,0.0,3,3,1,0,1,0,11,-7,21.5,5,43,32,0.0938,4,0.25,95.6,110.0,-14.4,0.333,0.065,0.688,108.56,0.625,0.375,0.182,0.818,0.182,0.182,0.5,0.5,0.566,0.342,0.094,0.25,2,0,3,2,6,11,6,26,11,1,
2015-12-02,Ty Lawson,HOU,NOP,,29:25,0.163,0.115,0.059,0.208,0.0,0.375,0.5,0.0,0.0,0.154,0.148,6,0.667,1,1,1.0,5,0.6,0,6,0,0,3,2,12,23,18.5,2,60,44,0.1364,4,0.75,121.7,82.2,39.5,0.261,0.0,0.75,111.9,0.833,0.167,0.5,0.25,0.167,0.5,0.75,0.25,0.407,0.278,0.269,0.3,2,0,0,6,2,6,5,22,6,5,NBA TV
