DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-02,Tyler Ennis,HOU,SDS,,11:00,0.262,0.25,0.222,0.0,0.063,0.333,0.4,0.0,0.0,0.0,0.286,5,0.6,0,2,0.0,0,0.0,1,2,0,0,2,0,6,4,8.75,0,0,0,,0,0.0,88.4,67.1,21.2,0.333,0.042,0.6,107.08,0.6,0.4,1.0,0.0,0.667,1.0,0.667,0.333,0.375,0.15,0.158,0.0,4,2,0,6,4,0,2,8,0,0,NBA TV
2016-10-04,Tyler Ennis,HOU,NYK,,4:29,0.182,0.0,0.0,0.0,0.0,0.5,0.286,0.0,0.0,0.25,0.0,0,0.0,0,0,0.0,0,0.0,0,1,0,0,2,1,0,-5,0.25,0,0,0,,0,0.0,60.0,106.6,-46.6,0.5,0.0,0.0,108.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.333,0.194,0.5,0,0,0,0,8,2,0,4,2,0,ESPN
2016-10-12,Tyler Ennis,HOU,NOP,,10:59,0.172,0.16,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.182,4,0.75,0,0,0.0,0,0.0,0,1,0,0,1,0,6,-3,6.75,0,0,0,,0,0.0,137.0,143.5,-6.5,0.111,0.0,0.75,107.42,1.0,0.0,1.0,0.0,0.0,0.667,0.0,1.0,0.659,0.318,0.04,0.125,0,0,2,4,3,2,2,18,2,0,NBA TV
2016-10-15,Tyler Ennis,HOU,MEM,,32:56,0.255,0.206,0.211,0.5,0.15,0.364,0.308,0.5,0.0,0.267,0.222,13,0.308,0,4,0.0,11,0.727,6,4,1,0,4,4,16,3,28.5,0,0,0,,0,0.0,99.1,99.0,0.0,0.19,0.085,0.308,103.74,0.692,0.308,0.5,0.0,0.125,0.375,0.0,1.0,0.429,0.349,0.115,0.289,2,3,0,6,15,14,9,28,14,5,
2016-10-19,Tyler Ennis,HOU,DAL,,16:35,0.178,0.143,0.0,0.5,0.067,0.75,0.0,0.0,0.0,0.143,0.2,4,0.25,0,0,0.0,6,0.833,1,3,0,0,0,1,7,3,12.0,0,0,0,,0,0.0,105.2,93.9,11.3,0.3,0.029,0.25,97.45,1.0,0.0,0.286,0.0,0.0,0.286,0.0,1.0,0.403,0.226,0.205,0.389,0,2,0,2,2,4,10,12,4,4,
2016-10-21,Tyler Ennis,HOU,SAS,G,21:28,0.184,0.194,0.111,0.143,0.211,0.167,0.167,0.25,0.0,0.0,0.154,7,0.286,0,1,0.0,2,1.0,4,1,1,0,1,0,6,-12,13.75,0,0,0,,0,0.0,88.3,103.7,-15.3,0.083,0.098,0.286,104.38,0.857,0.143,0.667,0.0,0.0,0.333,0.0,1.0,0.522,0.111,0.102,0.167,0,0,0,2,9,5,8,28,5,2,
2015-11-04,Tyler Ennis,MIL,PHI,,8:26,0.178,0.154,0.0,0.0,0.25,0.5,0.333,0.0,0.0,0.5,0.2,2,0.5,0,0,0.0,0,0.0,2,1,0,0,1,2,2,-7,5.25,4,19,15,0.0667,2,0.5,59.2,90.6,-31.4,0.333,0.105,0.5,101.43,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.382,0.235,0.107,0.2,0,0,0,2,5,2,6,10,2,0,
2015-11-06,Tyler Ennis,MIL,NYK,G,17:27,0.157,0.143,0.0,0.25,0.333,0.5,0.167,0.0,0.0,0.5,0.138,4,0.25,0,0,0.0,2,1.0,4,3,0,0,1,3,4,-1,12.25,7,42,34,0.0882,4,0.25,81.6,83.1,-1.5,0.333,0.125,0.25,98.47,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.431,0.241,0.277,0.375,0,2,0,2,7,8,0,14,8,2,
2015-11-07,Tyler Ennis,MIL,BKN,G,16:22,0.29,0.346,0.25,0.0,0.083,0.091,0.2,0.333,0.0,0.333,0.257,9,0.444,1,1,1.0,0,0.0,1,1,1,0,1,2,9,-1,13.5,4,43,32,0.0313,7,0.429,111.0,117.5,-6.5,0.111,0.036,0.5,91.15,0.889,0.111,0.667,0.333,0.444,0.667,0.5,0.5,0.534,0.207,0.163,0.4,4,4,0,6,8,10,1,24,10,0,
2015-11-10,Tyler Ennis,MIL,BOS,G,23:40,0.102,0.103,0.0,0.0,0.0,0.286,0.167,0.25,0.0,0.125,0.095,4,0.5,0,0,0.0,0,0.0,0,2,1,0,1,1,4,2,8.0,3,48,40,0.05,2,1.0,93.4,84.2,9.2,0.143,0.0,0.5,93.78,1.0,0.0,1.0,0.0,0.5,1.0,0.0,1.0,0.386,0.182,0.126,0.222,2,2,0,4,4,8,7,20,8,1,
2015-11-11,Tyler Ennis,MIL,DEN,G,15:10,0.2,0.16,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.167,0.212,4,0.75,1,2,0.5,0,0.0,0,0,0,0,2,1,7,-6,6.5,0,35,28,0.0,2,1.0,122.2,140.5,-18.3,0.0,0.0,0.875,86.65,0.5,0.5,0.571,0.429,0.0,0.286,0.667,0.333,0.625,0.143,0.036,0.3,0,0,0,2,6,2,6,14,2,0,
2015-11-17,Tyler Ennis,MIL,WAS,,6:33,0.297,0.125,0.0,0.667,0.4,1.0,0.5,0.0,0.0,0.0,0.25,1,0.0,0,0,0.0,4,0.75,2,2,0,0,1,0,3,-5,7.5,2,18,14,0.1429,1,0.0,94.9,134.5,-39.6,0.667,0.167,0.0,92.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778,0.667,0.158,0.167,0,0,0,0,2,0,3,2,0,2,NBA TV
2015-11-29,Tyler Ennis,MIL,CHA,,3:36,0.111,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0.0,0,0.0,0,0,0,0,0,0,0,-2,0.0,0,9,8,0.0,0,0.0,85.7,120.5,-34.8,0.0,0.0,0.0,90.93,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.301,0.0,0,0,0,0,2,0,2,0,0,0,
2015-11-30,Tyler Ennis,MIL,DEN,,3:33,0.32,0.25,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.333,1,0.0,0,0,0.0,2,0.5,3,1,0,0,0,0,1,-4,6.0,3,11,8,0.125,1,0.0,61.5,140.0,-78.5,1.0,0.429,0.0,66.79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0,0,1,0,0,5,0,4,5,1,
2015-12-02,Tyler Ennis,MIL,SAS,G,23:53,0.191,0.205,0.429,0.0,0.12,0.143,0.25,0.0,0.25,0.333,0.121,8,0.25,0,3,0.0,0,0.0,3,1,0,1,2,2,4,-12,10.0,5,54,41,0.0244,4,0.5,68.4,93.0,-24.6,0.111,0.057,0.25,97.15,0.625,0.375,1.0,0.0,0.5,1.0,0.5,0.5,0.433,0.222,0.103,0.222,2,2,0,4,11,11,4,26,11,1,
2015-12-15,Tyler Ennis,MIL,LAL,,3:44,0.143,0.167,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.333,1,1.0,0,0,0.0,0,0.0,1,0,1,0,0,1,2,-1,5.25,2,8,6,0.0,1,1.0,85.7,110.8,-25.0,0.0,0.2,1.0,85.63,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4,0.6,0.158,0.5,2,2,0,2,0,0,2,4,0,0,
2015-12-16,Tyler Ennis,MIL,LAC,,8:46,0.144,0.118,0.333,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,2,0.0,0,1,0.0,0,0.0,0,0,0,0,1,0,0,1,-0.5,0,16,13,0.0,1,0.0,100.8,100.0,0.8,0.0,0.0,0.0,84.54,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.469,0.0,0.067,0.222,0,0,0,0,6,4,0,10,4,0,
2015-12-20,Tyler Ennis,MIL,PHX,,5:15,0.329,0.167,0.0,0.5,0.25,0.0,1.0,0.0,0.0,0.0,0.6,1,1.0,0,0,0.0,2,0.5,1,0,0,0,1,0,3,-8,3.75,1,14,11,0.0,1,1.0,57.1,113.6,-56.6,0.0,0.091,1.0,92.34,1.0,0.0,0.667,0.0,0.0,0.0,0.0,1.0,0.5,0.083,0.0,0.2,0,0,0,0,2,2,4,10,2,1,
2015-12-23,Tyler Ennis,MIL,PHI,,7:52,0.412,0.462,0.6,0.0,0.0,0.143,0.25,0.0,0.0,0.167,0.556,6,0.667,2,3,0.667,0,0.0,0,1,0,0,1,1,10,-4,11.75,0,27,18,0.0556,3,0.667,112.5,120.4,-7.9,0.25,0.0,0.833,104.58,0.5,0.5,0.4,0.6,0.4,0.4,0.75,0.25,0.577,0.923,0.164,0.375,4,4,0,4,6,4,7,4,4,1,
2015-12-26,Tyler Ennis,MIL,TOR,,7:33,0.239,0.286,0.0,0.0,0.25,0.143,0.0,1.0,0.0,0.333,0.286,4,0.75,0,0,0.0,0,0.0,1,1,1,0,0,1,6,-1,10.5,1,19,15,0.0667,4,0.75,133.2,147.8,-14.6,0.167,0.1,0.75,97.4,1.0,0.0,1.0,0.0,0.0,0.667,0.333,0.667,0.714,0.143,0.067,0.25,0,0,0,4,2,2,2,8,2,0,
