DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Tyler Johnson,MIA,WAS,G,17:20,0.179,0.207,0.125,0.25,0.095,0.111,0.0,0.5,0.0,0.0,0.158,6,0.333,0,1,0.0,2,1.0,2,1,1,0,0,0,6,4,11.75,0,0,0,,0,0.0,107.0,87.5,19.4,0.077,0.053,0.333,102.96,0.833,0.167,0.667,0.0,0.333,0.0,0.0,1.0,0.365,0.297,0.077,0.25,2,2,0,0,5,7,0,18,7,1,
2016-10-08,Tyler Johnson,MIA,MIN,G,20:49,0.122,0.171,0.0,0.0,0.105,0.125,0.0,0.333,0.0,0.091,0.133,6,0.5,0,0,0.0,0,0.0,2,1,1,0,0,1,6,-2,11.75,0,0,0,,0,0.0,95.7,95.6,0.1,0.071,0.051,0.5,110.91,1.0,0.0,1.0,0.0,0.333,1.0,0.333,0.667,0.5,0.378,0.183,0.15,2,0,0,6,6,9,12,18,9,0,
2016-10-11,Tyler Johnson,MIA,BKN,,20:44,0.226,0.2,0.0,0.533,0.048,0.3,0.0,0.0,0.0,0.222,0.286,7,0.571,0,0,0.0,8,0.75,1,3,0,0,0,2,14,2,19.0,0,0,0,,0,0.0,107.5,104.5,2.9,0.231,0.029,0.571,104.83,1.0,0.0,0.571,0.0,0.214,0.429,0.5,0.5,0.541,0.243,0.089,0.0,3,0,0,6,2,0,0,16,0,6,NBA TV
2016-10-14,Tyler Johnson,MIA,SAS,,20:54,0.191,0.205,0.308,0.154,0.222,0.455,0.143,0.333,0.25,0.2,0.298,8,0.75,4,4,1.0,2,0.5,4,5,1,1,1,2,17,14,33.75,0,0,0,,0,0.0,122.0,94.3,27.7,0.333,0.1,1.0,106.01,0.5,0.5,0.235,0.706,0.294,0.118,0.5,0.5,0.41,0.385,0.197,0.409,5,3,2,2,11,7,8,18,7,2,
2016-10-18,Tyler Johnson,MIA,ORL,,23:35,0.205,0.231,0.2,0.286,0.15,0.444,0.0,0.25,0.2,0.25,0.306,9,0.667,1,2,0.5,2,1.0,3,4,1,1,0,3,15,3,28.25,0,0,0,,0,0.0,108.7,89.9,18.8,0.308,0.077,0.722,97.94,0.778,0.222,0.667,0.2,0.133,0.533,0.333,0.667,0.449,0.359,0.176,0.15,2,2,2,8,9,4,8,26,4,2,
2016-10-21,Tyler Johnson,MIA,PHI,,18:58,0.276,0.25,0.091,0.286,0.111,0.0,0.5,0.0,0.5,0.364,0.195,9,0.444,0,1,0.0,4,0.0,2,0,0,1,2,4,8,-4,11.5,0,0,0,,0,0.0,102.1,116.2,-14.1,0.0,0.051,0.444,99.81,0.889,0.111,1.0,0.0,0.0,0.25,0.25,0.75,0.515,0.394,0.155,0.333,0,2,0,2,9,10,5,22,10,4,
2015-10-30,Tyler Johnson,MIA,CLE,,1:28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,4,0.0,0,0,0,,0,0.0,203.5,100.0,103.5,0.0,0.0,0.0,105.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.333,0.0,0,0,0,0,0,0,0,0,0,0,ESPN
2015-11-01,Tyler Johnson,MIA,HOU,,21:12,0.161,0.179,0.154,0.143,0.381,0.231,0.0,0.2,0.333,0.0,0.208,7,0.714,1,2,0.5,1,0.0,8,3,1,1,0,0,11,25,29.25,12,32,25,0.12,4,1.0,126.0,63.3,62.6,0.188,0.229,0.786,97.68,0.714,0.286,0.727,0.273,0.364,0.727,0.4,0.6,0.379,0.152,0.204,0.0,4,2,6,8,2,2,0,10,2,1,
2015-11-03,Tyler Johnson,MIA,ATL,,20:36,0.157,0.162,0.077,0.4,0.087,0.2,0.091,0.333,0.0,0.083,0.241,6,0.5,0,1,0.0,2,0.5,2,1,2,0,1,1,7,-7,14.25,6,41,32,0.0313,4,0.5,65.6,79.3,-13.7,0.111,0.045,0.5,104.39,0.833,0.167,0.857,0.0,0.286,0.571,0.333,0.667,0.386,0.286,0.22,0.19,2,0,0,4,5,4,4,16,4,1,NBA TV
2015-11-05,Tyler Johnson,MIA,MIN,,25:26,0.143,0.129,0.25,0.211,0.25,0.429,0.125,0.0,0.0,0.385,0.174,4,0.5,1,2,0.5,4,0.75,4,3,0,0,1,5,8,-7,16.75,9,44,36,0.0833,2,0.5,99.2,102.7,-3.5,0.25,0.098,0.625,92.44,0.5,0.5,0.25,0.375,0.25,0.25,1.0,0.0,0.443,0.341,0.155,0.318,2,2,0,2,8,11,4,24,11,3,
