DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Tyler Zeller,BOS,PHI,,19:59,0.226,0.2,0.0,0.5,0.412,0.429,0.286,0.333,0.0,0.5,0.2,7,0.286,0,0,0.0,2,1.0,7,3,1,0,2,4,6,-14,19.5,0,0,0,,0,0.0,73.6,103.2,-29.6,0.273,0.184,0.286,100.16,1.0,0.0,0.667,0.0,0.0,0.667,0.5,0.5,0.542,0.167,0.211,0.263,0,2,0,4,11,12,2,22,12,3,
2016-10-06,Tyler Zeller,BOS,CHA,,16:14,0.158,0.161,0.0,0.0,0.385,0.0,0.167,0.0,0.0,0.167,0.071,5,0.2,0,0,0.0,0,0.0,5,0,0,0,1,2,2,-12,7.75,0,0,0,,0,0.0,80.3,120.9,-40.6,0.0,0.192,0.2,100.47,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.692,0.269,0.121,0.0,0,0,2,2,4,0,2,18,0,0,
2016-10-08,Tyler Zeller,BOS,CHA,C,23:31,0.161,0.163,0.0,0.4,0.2,0.333,0.0,0.0,0.5,0.3,0.255,7,0.714,0,0,0.0,4,1.0,3,3,0,1,0,3,14,13,23.5,0,0,0,,0,0.0,105.0,83.5,21.4,0.188,0.077,0.714,104.79,1.0,0.0,0.714,0.0,0.143,0.143,0.8,0.2,0.369,0.286,0.199,0.35,2,2,2,2,2,6,3,20,6,2,NBA TV
2016-10-13,Tyler Zeller,BOS,BKN,,10:58,0.31,0.357,0.0,0.2,0.25,0.0,0.286,0.0,1.0,0.143,0.15,5,0.2,0,0,0.0,2,0.5,2,0,0,1,2,1,3,-11,6.5,0,0,0,,0,0.0,82.0,128.7,-46.8,0.0,0.105,0.2,106.1,1.0,0.0,0.667,0.0,0.0,0.667,0.0,1.0,0.65,0.35,0.125,0.222,0,0,2,2,8,3,5,14,3,2,
2016-10-15,Tyler Zeller,BOS,NYK,,16:00,0.171,0.136,0.0,0.2,0.091,0.167,0.25,0.0,0.0,0.4,0.161,3,0.667,0,0,0.0,2,0.5,1,1,0,0,2,2,5,-10,6.5,0,0,0,,0,0.0,92.8,122.6,-29.8,0.111,0.034,0.667,100.26,1.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.556,0.028,0.15,0.444,0,0,0,0,14,8,4,12,8,1,NBA TV
2016-10-17,Tyler Zeller,BOS,BKN,,15:00,0.133,0.136,0.0,0.133,0.333,0.286,0.125,0.0,1.0,0.222,0.122,3,0.667,0,0,0.0,2,0.5,5,2,0,2,1,2,5,5,17.25,0,0,0,,0,0.0,122.0,103.3,18.7,0.2,0.208,0.667,109.5,1.0,0.0,0.8,0.0,0.0,0.4,0.5,0.5,0.5,0.367,0.115,0.25,0,0,0,2,10,2,6,12,2,1,
2016-10-19,Tyler Zeller,BOS,NYK,,21:02,0.194,0.194,0.0,0.154,0.154,0.125,0.222,0.0,0.5,0.0,0.211,6,0.5,0,0,0.0,2,1.0,2,1,0,1,2,0,8,-19,12.75,0,0,0,,0,0.0,86.9,130.0,-43.1,0.091,0.05,0.5,99.91,1.0,0.0,0.75,0.0,0.0,0.75,0.667,0.333,0.532,0.234,0.091,0.522,0,0,2,6,12,12,10,26,12,4,ESPN
2015-10-28,Tyler Zeller,BOS,PHI,C,10:39,0.24,0.25,0.0,0.25,0.1,0.0,0.2,0.0,0.5,0.375,0.25,4,0.5,0,0,0.0,2,1.0,1,0,0,1,1,3,6,-6,8.75,4,18,13,0.0,1,1.0,111.5,135.9,-24.3,0.0,0.056,0.5,98.25,1.0,0.0,0.667,0.0,0.0,0.333,1.0,0.0,0.548,0.333,0.045,0.3,0,2,0,2,6,4,0,20,4,1,
2015-10-30,Tyler Zeller,BOS,TOR,C,16:29,0.231,0.258,0.0,0.25,0.0,0.111,0.0,0.0,0.0,0.375,0.278,8,0.5,0,0,0.0,2,1.0,0,1,0,0,0,3,10,-7,11.25,8,35,22,0.0455,6,0.667,98.6,117.1,-18.5,0.111,0.0,0.5,106.64,1.0,0.0,0.8,0.0,0.0,0.8,1.0,0.0,0.554,0.464,0.163,0.25,0,2,0,8,5,4,6,10,4,4,
2015-11-01,Tyler Zeller,BOS,SAS,C,6:28,0.231,0.2,0.0,0.0,0.143,0.5,0.333,0.0,0.0,0.0,0.0,2,0.0,0,0,0.0,0,0.0,1,1,0,0,1,0,0,-3,2.0,3,12,8,0.125,1,0.0,30.8,54.3,-23.6,0.5,0.071,0.0,96.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.182,0.155,0.125,0,0,0,0,2,0,0,4,0,0,
2015-11-04,Tyler Zeller,BOS,IND,,3:29,0.222,0.25,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0,0.0,0,0.0,1,1,0,0,0,0,0,-1,2.5,3,8,5,0.2,2,0.0,62.5,85.7,-23.2,0.5,0.1,0.0,103.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.4,0,0,0,0,0,2,0,2,2,0,
2015-11-06,Tyler Zeller,BOS,WAS,,4:32,0.341,0.308,0.0,0.667,0.286,0.0,0.0,0.0,0.0,0.4,0.7,4,0.75,0,0,0.0,2,0.5,2,0,0,0,0,2,7,-4,9.5,4,12,7,0.0,3,0.667,96.9,127.7,-30.8,0.0,0.182,0.75,112.66,1.0,0.0,0.857,0.0,0.0,0.571,0.333,0.667,0.5,1.286,0.0,0.0,0,0,2,4,0,0,7,4,0,1,
2015-11-13,Tyler Zeller,BOS,ATL,,6:17,0.225,0.154,0.0,0.333,0.286,0.25,1.0,0.0,0.0,0.0,0.333,2,1.0,0,0,0.0,1,1.0,2,1,0,0,1,0,5,4,8.25,3,11,8,0.125,1,1.0,112.6,91.7,20.9,0.333,0.143,1.0,96.71,1.0,0.0,0.8,0.0,0.6,0.4,0.5,0.5,0.458,0.0,0.167,0.286,3,0,0,2,2,0,0,6,0,1,
2015-11-16,Tyler Zeller,BOS,HOU,,13:41,0.274,0.24,0.0,0.667,0.333,0.0,0.25,0.333,0.0,0.222,0.429,6,0.5,0,0,0.0,4,0.75,5,0,1,0,2,2,9,-18,16.25,12,28,17,0.0,4,0.5,66.4,117.2,-50.8,0.0,0.167,0.5,113.87,1.0,0.0,0.667,0.0,0.0,0.667,0.667,0.333,0.571,0.429,0.09,0.214,0,2,0,6,17,2,15,20,2,2,
2015-11-20,Tyler Zeller,BOS,BKN,,9:26,0.209,0.278,0.0,0.0,0.364,0.143,0.0,0.0,0.0,0.0,0.25,5,0.6,0,0,0.0,0,0.0,4,1,0,0,0,0,6,2,12.25,5,19,14,0.0714,3,0.667,109.7,103.8,5.9,0.125,0.211,0.6,109.6,1.0,0.0,1.0,0.0,0.0,1.0,0.667,0.333,0.5,0.263,0.142,0.25,0,0,4,6,8,4,0,8,4,0,
2015-11-22,Tyler Zeller,BOS,BKN,,7:01,0.186,0.182,0.0,0.25,0.125,0.25,0.0,0.0,0.0,0.333,0.217,2,1.0,0,0,0.0,2,0.5,1,1,0,0,0,1,5,9,7.5,3,9,6,0.1667,2,1.0,170.1,95.6,74.5,0.2,0.083,1.0,96.32,1.0,0.0,0.8,0.0,0.0,0.8,0.5,0.5,0.333,0.5,0.137,0.25,0,1,0,4,0,0,0,4,0,1,
2015-11-24,Tyler Zeller,BOS,ATL,,5:24,0.076,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.133,0,0.0,0,0,0.0,2,1.0,0,0,0,0,0,0,2,-3,2.0,3,6,5,0.0,0,0.0,130.2,153.1,-22.9,0.0,0.0,0.0,103.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.938,0.5,0.255,0.5,0,0,0,0,5,2,0,4,2,1,TNT
