DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2015-12-01,Tyreke Evans,NOP,MEM,G,31:19,0.213,0.222,0.294,0.19,0.179,0.667,0.167,0.0,0.143,0.0,0.286,12,0.583,2,5,0.4,4,1.0,5,10,0,1,1,0,20,3,41.25,8,82,63,0.1587,8,0.625,112.5,109.5,2.9,0.588,0.094,0.667,94.59,0.583,0.417,0.5,0.3,0.0,0.5,0.143,0.857,0.491,0.255,0.065,0.16,0,0,4,10,6,6,2,22,6,4,
2015-12-02,Tyreke Evans,NOP,HOU,G,32:08,0.193,0.161,0.071,0.381,0.167,0.533,0.2,0.333,0.2,0.045,0.145,9,0.222,0,1,0.0,8,0.75,6,8,1,1,3,1,10,-9,30.0,13,91,73,0.1096,8,0.25,98.2,109.7,-11.5,0.364,0.094,0.222,105.55,0.889,0.111,0.4,0.0,0.0,0.4,0.5,0.5,0.458,0.533,0.056,0.212,0,2,0,4,19,11,10,38,11,4,NBA TV
2015-12-04,Tyreke Evans,NOP,CLE,G,35:13,0.26,0.232,0.133,0.25,0.219,0.588,0.444,0.0,0.0,0.25,0.187,13,0.385,0,2,0.0,5,0.8,7,10,0,0,4,4,14,0,33.25,12,88,65,0.1538,9,0.556,112.3,112.8,-0.5,0.417,0.119,0.385,90.83,0.846,0.154,0.714,0.0,0.0,0.714,0.0,1.0,0.508,0.283,0.105,0.242,0,6,0,10,17,6,9,32,6,4,ESPN
2015-12-07,Tyreke Evans,NOP,BOS,G,17:33,0.263,0.172,0.0,0.0,0.167,0.333,0.833,0.25,0.0,0.333,0.0,5,0.0,0,0,0.0,0,0.0,2,3,1,0,5,2,0,-15,5.75,2,49,37,0.0811,4,0.0,88.7,128.7,-40.0,0.25,0.071,0.0,99.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.276,0.192,0.231,0,0,0,0,5,6,9,16,6,0,NBA TV
2015-12-11,Tyreke Evans,NOP,WAS,G,33:37,0.324,0.333,0.3,0.286,0.226,0.25,0.3,0.222,0.0,0.2,0.365,18,0.556,5,6,0.833,4,0.5,7,4,2,0,3,2,27,9,45.75,11,89,59,0.0678,8,0.375,113.6,98.5,15.0,0.25,0.132,0.694,93.61,0.667,0.333,0.37,0.556,0.111,0.148,0.5,0.5,0.545,0.161,0.152,0.133,3,2,5,4,12,2,8,18,2,5,
2015-12-12,Tyreke Evans,NOP,CHI,G,36:02,0.295,0.328,0.5,0.0,0.103,0.471,0.125,0.0,0.0,0.2,0.361,22,0.455,2,6,0.333,0,0.0,3,8,0,0,1,3,22,-13,36.25,8,98,73,0.1096,13,0.462,82.3,102.3,-19.9,0.5,0.046,0.5,97.54,0.727,0.273,0.727,0.273,0.182,0.545,0.3,0.7,0.509,0.333,0.138,0.107,4,4,4,12,5,6,1,36,6,0,
2015-12-14,Tyreke Evans,NOP,POR,G,38:23,0.235,0.227,0.105,0.2,0.364,0.417,0.333,0.444,0.125,0.211,0.218,15,0.467,1,2,0.5,5,0.8,12,5,4,1,3,4,19,1,49.25,14,92,68,0.0735,9,0.556,107.4,107.7,-0.3,0.208,0.164,0.5,100.59,0.867,0.133,0.632,0.158,0.0,0.526,0.0,1.0,0.516,0.429,0.175,0.243,0,5,2,10,11,8,6,22,8,3,
2015-12-16,Tyreke Evans,NOP,UTA,G,35:23,0.223,0.222,0.267,0.095,0.138,0.556,0.375,0.333,0.0,0.176,0.149,12,0.333,1,4,0.25,2,1.0,4,5,2,0,3,3,11,9,25.25,8,105,83,0.0602,7,0.429,113.4,101.2,12.2,0.25,0.075,0.375,87.82,0.667,0.333,0.545,0.273,0.273,0.545,0.25,0.75,0.5,0.438,0.14,0.08,3,2,2,6,11,3,5,20,3,1,
2015-12-18,Tyreke Evans,NOP,PHX,G,24:26,0.261,0.263,0.111,0.235,0.182,0.143,0.273,0.5,0.333,0.25,0.25,10,0.4,0,1,0.0,4,1.0,4,1,2,1,3,4,12,1,22.75,7,56,40,0.025,7,0.571,97.0,98.2,-1.2,0.091,0.095,0.4,95.59,0.9,0.1,0.667,0.0,0.167,0.667,0.0,1.0,0.513,0.275,0.167,0.25,2,2,0,8,11,9,3,28,9,2,ESPN
2015-12-20,Tyreke Evans,NOP,DEN,G,32:48,0.267,0.26,0.133,0.286,0.276,0.588,0.286,0.333,0.125,0.188,0.236,13,0.538,1,2,0.5,8,0.75,8,10,1,1,2,3,21,14,47.0,15,86,61,0.1639,10,0.6,140.6,111.9,28.7,0.435,0.14,0.577,95.39,0.846,0.154,0.571,0.143,0.19,0.571,0.0,1.0,0.455,0.239,0.06,0.324,4,0,3,12,9,11,6,38,11,5,
