DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Tyson Chandler,PHX,SAS,C,19:38,0.196,0.125,0.0,0.308,0.444,0.0,0.429,0.0,0.5,0.167,0.263,4,0.75,0,0,0.0,4,1.0,8,0,0,1,3,1,10,6,20.5,0,0,0,,0,0.0,98.1,80.7,17.4,0.0,0.242,0.75,95.79,1.0,0.0,0.6,0.0,0.2,0.6,0.667,0.333,0.518,0.214,0.303,0.2,2,2,4,6,8,2,5,12,2,2,
2016-10-21,Tyson Chandler,PHX,LAL,C,23:52,0.169,0.146,0.0,0.421,0.407,0.125,0.0,0.143,0.0,0.133,0.213,6,0.5,0,0,0.0,8,0.5,11,1,1,0,0,2,10,4,27.0,0,0,0,,0,0.0,99.2,85.9,13.3,0.077,0.22,0.5,97.96,1.0,0.0,0.6,0.0,0.0,0.6,0.333,0.667,0.434,0.421,0.22,0.25,0,0,8,6,5,3,9,16,3,4,
2015-10-28,Tyson Chandler,PHX,DAL,C,17:01,0.113,0.063,0.0,0.167,0.353,0.25,0.333,0.0,1.0,0.231,0.107,2,0.5,0,0,0.0,2,0.5,6,1,0,1,2,3,3,-23,12.75,13,35,28,0.0357,2,0.5,73.1,136.8,-63.7,0.111,0.158,0.5,106.57,1.0,0.0,0.667,0.0,0.0,0.667,0.0,1.0,0.636,0.364,0.054,0.2,0,0,3,2,4,6,14,18,6,2,
2015-10-30,Tyson Chandler,PHX,POR,C,25:54,0.204,0.156,0.0,0.4,0.464,0.125,0.143,0.111,0.5,0.222,0.231,7,0.429,0,0,0.0,12,0.75,13,1,1,1,1,2,15,14,36.0,18,49,37,0.027,6,0.5,111.7,89.5,22.1,0.063,0.26,0.429,106.71,1.0,0.0,0.4,0.0,0.267,0.4,1.0,0.0,0.489,0.205,0.246,0.192,4,2,5,6,10,7,8,22,7,6,
2015-10-31,Tyson Chandler,PHX,POR,C,32:30,0.12,0.082,0.048,0.143,0.344,0.111,0.429,0.25,0.5,0.333,0.072,5,0.4,0,1,0.0,2,0.5,11,1,2,2,3,4,5,2,26.5,20,44,35,0.0286,2,0.0,102.7,101.5,1.3,0.04,0.183,0.4,98.36,0.8,0.2,0.8,0.0,0.0,0.8,1.0,0.0,0.5,0.281,0.136,0.219,0,2,1,4,6,8,8,20,8,2,
2015-11-02,Tyson Chandler,PHX,LAC,C,35:59,0.117,0.137,0.0,0.059,0.436,0.063,0.0,0.0,0.0,0.214,0.197,10,0.7,0,0,0.0,1,0.0,17,1,0,0,0,3,14,-13,36.5,30,66,53,0.0189,4,0.5,90.5,110.6,-20.2,0.05,0.221,0.7,103.0,1.0,0.0,1.0,0.0,0.143,1.0,0.857,0.143,0.548,0.29,0.119,0.097,2,4,2,14,11,4,13,28,4,1,
2015-11-04,Tyson Chandler,PHX,SAC,C,25:50,0.098,0.07,0.0,0.4,0.55,0.0,0.0,0.167,0.0,0.0,0.113,3,0.333,0,0,0.0,6,0.833,11,0,1,0,0,0,7,9,22.75,19,46,37,0.0,3,0.333,115.7,97.8,17.9,0.0,0.262,0.333,100.15,1.0,0.0,0.286,0.0,0.286,0.286,1.0,0.0,0.521,0.104,0.185,0.273,2,1,0,2,7,6,11,28,6,3,
2015-11-06,Tyson Chandler,PHX,DET,C,34:57,0.05,0.046,0.0,0.0,0.333,0.0,0.083,0.125,0.0,0.238,0.058,3,0.667,0,0,0.0,0,0.0,10,0,1,0,1,5,4,-6,18.0,19,56,49,0.0,2,1.0,91.4,99.4,-8.1,0.0,0.152,0.667,103.69,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.565,0.481,0.199,0.167,0,0,2,4,12,6,9,34,6,3,
2015-11-08,Tyson Chandler,PHX,OKC,C,24:18,0.103,0.073,0.0,0.286,0.381,0.0,0.154,0.5,0.0,0.222,0.028,3,0.0,0,0,0.0,2,0.5,8,0,1,0,2,2,1,-25,12.0,18,27,20,0.0,1,0.0,66.6,116.4,-49.8,0.0,0.151,0.0,105.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482,0.182,0.076,0.379,0,0,0,0,15,16,18,28,16,1,
2015-11-12,Tyson Chandler,PHX,LAC,C,27:59,0.084,0.057,0.0,0.364,0.258,0.083,0.091,0.25,1.0,0.188,0.064,3,0.333,0,0,0.0,4,0.75,8,1,2,1,1,3,5,19,21.75,15,31,25,0.04,1,0.0,126.1,96.2,30.0,0.034,0.163,0.333,105.66,1.0,0.0,0.4,0.0,0.0,0.4,1.0,0.0,0.51,0.396,0.163,0.172,0,0,0,2,8,9,5,24,9,2,TNT
2015-11-14,Tyson Chandler,PHX,DEN,C,24:58,0.126,0.128,0.0,0.091,0.267,0.091,0.143,0.0,1.0,0.167,0.172,6,0.833,0,0,0.0,1,1.0,8,1,0,1,1,1,11,27,23.75,19,25,19,0.0526,4,1.0,121.1,65.2,55.9,0.053,0.154,0.833,105.36,1.0,0.0,0.909,0.0,0.636,0.909,0.6,0.4,0.324,0.078,0.176,0.2,7,0,8,10,9,9,8,16,9,1,NBA TV
2015-11-16,Tyson Chandler,PHX,LAL,C,22:36,0.037,0.048,0.0,0.0,0.391,0.0,0.0,0.2,1.0,0.222,0.0,2,0.0,0,0,0.0,0,0.0,9,0,1,2,0,2,0,1,17.25,17,26,24,0.0,2,0.0,109.3,113.2,-3.9,0.0,0.214,0.0,92.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588,0.294,0.165,0.176,0,0,0,0,6,4,0,14,4,3,
