DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Victor Oladipo,OKC,RMD,G,32:52,0.375,0.358,0.368,0.3,0.091,0.313,0.667,0.25,0.0,0.235,0.366,24,0.583,1,7,0.143,6,0.833,2,5,2,0,4,4,34,-3,45.25,0,0,0,,0,0.0,127.7,136.0,-8.2,0.217,0.044,0.604,104.74,0.708,0.292,0.765,0.088,0.324,0.588,0.214,0.786,0.798,0.288,0.212,0.188,11,2,2,20,6,5,11,30,5,8,NBA TV
2016-10-05,Victor Oladipo,OKC,FCB,G,29:38,0.193,0.19,0.4,0.25,0.136,0.182,0.176,0.125,1.0,0.083,0.175,8,0.375,1,4,0.25,4,0.75,3,2,1,2,3,1,10,8,21.25,0,0,0,,0,0.0,93.4,83.9,9.5,0.111,0.07,0.438,96.73,0.5,0.5,0.4,0.3,0.2,0.0,0.333,0.667,0.5,0.238,0.291,0.227,2,2,0,0,10,4,1,18,4,3,NBA TV
2016-10-11,Victor Oladipo,OKC,DAL,G,25:31,0.231,0.192,0.125,0.385,0.241,0.4,0.375,0.4,0.333,0.267,0.17,10,0.2,1,2,0.5,5,0.8,7,4,2,1,3,4,9,-10,27.75,0,0,0,,0,0.0,96.9,115.0,-18.1,0.235,0.123,0.25,103.01,0.8,0.2,0.222,0.333,0.222,0.0,0.5,0.5,0.523,0.465,0.164,0.25,2,1,3,0,9,9,10,22,9,3,
2016-10-13,Victor Oladipo,OKC,MEM,G,17:00,0.303,0.231,0.182,0.5,0.067,0.286,0.417,0.0,1.0,0.167,0.143,6,0.167,0,2,0.0,3,1.0,1,2,0,1,5,2,5,-9,8.25,0,0,0,,0,0.0,93.0,122.5,-29.5,0.182,0.038,0.167,103.85,0.667,0.333,0.4,0.0,0.0,0.4,0.0,1.0,0.538,0.692,0.111,0.143,0,2,0,2,16,4,13,14,4,1,
2016-10-16,Victor Oladipo,OKC,MIN,G,27:57,0.191,0.218,0.273,0.083,0.167,0.083,0.1,0.25,0.0,0.308,0.172,12,0.417,1,3,0.333,1,0.0,5,1,1,0,1,4,11,9,20.5,0,0,0,,0,0.0,101.1,91.9,9.2,0.048,0.096,0.458,105.72,0.75,0.25,0.727,0.273,0.182,0.727,0.4,0.6,0.453,0.208,0.134,0.207,2,4,3,8,10,9,8,20,9,3,
2016-10-18,Victor Oladipo,OKC,DEN,G,19:53,0.254,0.211,0.0,0.182,0.2,0.333,0.75,0.25,0.0,0.182,0.182,8,0.375,0,0,0.0,2,1.0,4,4,1,0,3,2,8,4,18.5,0,0,0,,0,0.0,100.4,90.3,10.0,0.25,0.1,0.375,106.36,1.0,0.0,0.75,0.0,0.0,0.5,0.667,0.333,0.421,0.316,0.136,0.227,0,2,0,4,4,9,4,18,9,1,
2015-10-28,Victor Oladipo,ORL,WAS,G,35:58,0.242,0.267,0.381,0.167,0.268,0.154,0.1,0.333,0.0,0.154,0.293,20,0.35,1,8,0.125,2,1.0,11,2,2,0,1,2,17,-10,37.25,19,70,45,0.0444,13,0.462,75.1,95.9,-20.8,0.118,0.138,0.375,98.89,0.6,0.4,0.706,0.176,0.176,0.588,0.429,0.571,0.46,0.286,0.183,0.317,3,4,4,10,13,12,15,24,12,1,
2015-10-30,Victor Oladipo,ORL,OKC,G,50:40,0.266,0.29,0.357,0.065,0.317,0.455,0.294,0.429,0.143,0.185,0.181,27,0.296,3,10,0.3,2,1.0,13,10,3,1,5,5,21,-9,56.75,19,99,62,0.1613,14,0.429,103.0,113.9,-10.9,0.313,0.137,0.352,105.35,0.63,0.37,0.476,0.429,0.095,0.476,0.5,0.5,0.51,0.293,0.155,0.388,2,5,2,10,17,18,8,60,18,3,
2015-11-01,Victor Oladipo,ORL,CHI,G,38:43,0.152,0.173,0.286,0.133,0.086,0.263,0.0,0.4,0.333,0.083,0.165,13,0.385,2,6,0.333,2,0.5,3,5,2,3,0,1,13,5,34.0,9,67,54,0.0926,6,0.5,96.8,92.2,4.6,0.192,0.041,0.462,100.35,0.538,0.462,0.462,0.462,0.231,0.308,0.4,0.6,0.432,0.162,0.137,0.286,3,4,3,4,15,12,6,30,12,2,
2015-11-03,Victor Oladipo,ORL,NOP,G,35:56,0.133,0.118,0.188,0.273,0.167,0.143,0.167,0.0,0.333,0.167,0.146,8,0.5,1,3,0.333,3,1.0,7,3,0,1,2,2,12,9,26.0,9,61,48,0.0625,4,0.5,106.7,94.9,11.8,0.107,0.091,0.563,102.7,0.625,0.375,0.5,0.25,0.0,0.333,1.0,0.0,0.434,0.265,0.117,0.19,0,4,3,4,13,6,13,22,6,3,
