DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Vince Carter,MEM,ORL,,14:16,0.164,0.19,0.4,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.185,4,0.25,1,4,0.25,2,1.0,2,0,0,0,0,0,5,-8,8.0,0,0,0,,0,0.0,93.9,115.4,-21.6,0.0,0.118,0.375,99.39,0.0,1.0,0.0,0.6,0.4,0.0,1.0,0.0,0.667,0.125,0.231,0.222,2,0,0,0,10,3,4,8,3,2,
2016-10-06,Vince Carter,MEM,ATL,,11:35,0.268,0.3,0.4,0.333,0.4,0.0,0.0,0.0,0.0,0.5,0.381,6,0.5,1,2,0.5,2,0.5,4,0,0,0,0,4,8,-2,13.5,0,0,0,,0,0.0,92.8,96.0,-3.2,0.0,0.182,0.583,96.55,0.667,0.333,0.5,0.375,0.125,0.0,1.0,0.0,0.405,0.429,0.083,0.3,1,0,0,0,7,7,4,12,7,1,
2016-10-11,Vince Carter,MEM,PHI,,17:43,0.121,0.125,0.125,0.0,0.167,0.222,0.167,0.4,1.0,0.25,0.095,5,0.4,0,2,0.0,0,0.0,4,2,2,1,1,3,4,9,17.0,0,0,0,,0,0.0,94.3,76.5,17.8,0.154,0.095,0.4,118.72,0.6,0.4,1.0,0.0,0.0,1.0,0.5,0.5,0.327,0.885,0.186,0.05,0,0,2,4,1,4,12,12,4,0,
2016-10-13,Vince Carter,MEM,OKC,G,18:06,0.155,0.171,0.385,0.167,0.063,0.0,0.0,0.25,0.0,0.222,0.106,6,0.167,1,5,0.2,2,1.0,1,0,1,0,0,2,5,2,8.75,0,0,0,,0,0.0,116.7,107.9,8.8,0.0,0.03,0.25,108.73,0.167,0.833,0.0,0.6,0.0,0.0,1.0,0.0,0.629,0.419,0.216,0.25,0,0,0,0,3,5,11,14,5,1,
2015-11-02,Vince Carter,MEM,GSW,,15:39,0.135,0.129,0.375,0.0,0.077,0.0,0.333,0.333,0.0,0.222,0.12,4,0.25,1,3,0.333,0,0.0,1,0,1,0,1,2,3,-13,6.25,2,23,18,0.0,1,1.0,73.4,122.0,-48.6,0.0,0.028,0.375,100.05,0.25,0.75,0.0,1.0,0.0,0.0,0.0,1.0,0.58,0.56,0.128,0.286,0,0,0,0,2,5,5,16,5,0,NBA TV
2015-11-20,Vince Carter,MEM,HOU,,17:44,0.154,0.182,0.571,0.0,0.136,0.0,0.0,0.333,0.667,0.25,0.188,6,0.333,2,4,0.5,0,0.0,3,0,1,2,0,3,6,5,16.75,7,20,14,0.0,1,0.0,86.8,71.0,15.8,0.0,0.079,0.5,101.4,0.333,0.667,0.0,1.0,0.5,0.0,1.0,0.0,0.365,0.615,0.158,0.048,3,0,0,0,4,0,11,8,0,0,
2015-11-21,Vince Carter,MEM,SAS,,19:49,0.248,0.207,0.5,0.143,0.4,0.0,0.5,0.25,0.0,0.077,0.226,6,0.5,0,2,0.0,1,1.0,4,0,1,0,3,1,7,-5,12.5,7,37,27,0.0,2,0.5,85.9,96.6,-10.6,0.0,0.154,0.5,88.85,0.667,0.333,0.857,0.0,0.571,0.0,0.0,1.0,0.563,0.5,0.241,0.111,4,0,0,0,7,0,5,10,0,3,
2015-11-24,Vince Carter,MEM,DAL,,11:03,0.187,0.222,0.286,0.125,0.133,0.0,0.0,0.0,0.0,0.6,0.158,4,0.25,0,2,0.0,2,0.5,2,0,0,0,0,3,3,5,5.5,3,12,8,0.0,2,0.5,82.5,54.1,28.4,0.0,0.065,0.25,106.25,0.5,0.5,0.667,0.0,0.0,0.667,0.0,1.0,0.286,0.095,0.193,0.077,0,0,0,2,3,0,3,4,0,1,
2015-11-25,Vince Carter,MEM,HOU,,14:39,0.064,0.037,0.2,0.0,0.429,0.25,0.333,0.25,0.0,0.222,0.0,1,0.0,0,1,0.0,0,0.0,6,2,1,0,1,2,0,10,11.5,8,23,21,0.0952,0,0.0,109.5,73.9,35.5,0.143,0.231,0.0,92.92,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.5,0.211,0.154,0,0,0,0,6,1,6,8,1,0,NBA TV
2015-11-27,Vince Carter,MEM,ATL,,22:28,0.209,0.25,0.529,0.143,0.263,0.1,0.0,0.0,1.0,0.214,0.269,10,0.4,4,9,0.444,2,1.0,5,1,0,1,0,3,14,3,25.5,7,32,22,0.0455,2,0.0,103.7,102.3,1.4,0.077,0.128,0.6,104.77,0.1,0.9,0.0,0.857,0.429,0.0,0.75,0.25,0.473,0.486,0.125,0.15,6,3,0,0,6,9,8,14,9,2,
