DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Walter Tavares,ATL,MEM,,21:03,0.181,0.216,0.0,0.125,0.4,0.091,0.0,0.0,0.333,0.333,0.288,8,0.875,0,0,0.0,2,0.5,10,1,0,1,0,4,15,16,30.75,0,0,0,,0,0.0,120.8,86.5,34.3,0.077,0.256,0.875,96.5,1.0,0.0,0.933,0.0,0.0,0.933,0.571,0.429,0.389,0.417,0.096,0.208,0,0,5,14,8,8,10,24,8,2,
2016-10-08,Walter Tavares,ATL,SAS,C,26:47,0.11,0.111,0.0,0.0,0.292,0.125,0.143,0.0,1.0,0.167,0.109,5,0.6,0,0,0.0,0,0.0,7,2,0,1,2,2,6,-2,18.25,0,0,0,,0,0.0,95.1,96.7,-1.7,0.118,0.156,0.6,104.63,1.0,0.0,1.0,0.0,0.333,0.333,1.0,0.0,0.466,0.409,0.153,0.1,2,0,0,2,14,4,19,26,4,2,
2016-10-10,Walter Tavares,ATL,CLE,,11:44,0.192,0.158,0.0,0.333,0.385,0.0,0.222,1.0,0.0,0.0,0.385,3,0.667,0,0,0.0,2,0.5,5,0,1,0,2,0,5,-16,12.25,0,0,0,,0,0.0,48.8,116.2,-67.4,0.0,0.2,0.667,105.61,1.0,0.0,0.8,0.0,0.0,0.8,1.0,0.0,0.455,0.409,0.12,0.308,0,2,0,4,10,0,4,8,0,1,
2016-10-13,Walter Tavares,ATL,DET,,19:41,0.133,0.081,0.0,0.0,0.4,0.0,0.5,0.25,1.0,0.4,0.057,3,0.333,0,0,0.0,0,0.0,8,0,1,2,3,6,2,4,16.5,0,0,0,,0,0.0,87.1,72.2,14.8,0.0,0.205,0.333,101.35,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.321,0.643,0.233,0.167,0,0,0,2,10,4,3,8,4,0,
2016-10-16,Walter Tavares,ATL,ORL,,10:19,0.118,0.118,0.0,0.2,0.385,0.0,0.0,0.0,0.429,0.4,0.087,2,0.0,0,0,0.0,2,1.0,5,0,0,3,0,2,2,1,14.25,0,0,0,,0,0.0,107.5,94.8,12.6,0.0,0.25,0.0,103.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452,0.238,0.129,0.231,0,0,0,0,2,3,0,4,3,2,NBA TV
2016-10-18,Walter Tavares,ATL,NOP,,8:16,0.269,0.294,0.0,1.0,0.545,0.0,0.0,0.0,0.5,0.5,0.455,5,0.4,0,0,0.0,2,0.5,6,0,0,1,0,2,5,-8,14.5,0,0,0,,0,0.0,65.2,117.3,-52.1,0.0,0.333,0.4,96.04,1.0,0.0,0.8,0.0,0.0,0.8,0.0,1.0,0.533,0.333,0.0,0.143,0,0,3,4,4,0,6,10,0,3,NBA TV
2015-10-29,Walter Tavares,ATL,NYK,,1:09,0.306,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,0.0,2,0.5,1,0,0,0,0,0,1,-3,2.25,1,2,1,0.0,0,0.0,53.2,200.0,-146.8,0.0,1.0,0.0,80.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,TNT
2015-11-07,Walter Tavares,ATL,WAS,,0:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,0,0.0,0,1,1,0.0,0,0.0,300.0,159.6,140.4,0.0,0.0,0.0,73.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,
2015-11-24,Walter Tavares,ATL,BOS,,2:51,0.167,0.0,0.0,0.0,0.333,0.333,0.5,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,0,0,1,0,0,-1,2.0,2,7,4,0.25,0,0.0,133.3,130.8,2.5,0.333,0.25,0.0,108.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583,0.333,0.0,0.0,0,0,0,0,3,0,0,0,0,0,TNT
2015-12-12,Walter Tavares,ATL,SAS,,7:15,0.282,0.273,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.273,3,0.333,0,0,0.0,2,0.5,0,0,0,0,0,0,3,-2,3.0,3,7,4,0.0,2,0.5,86.2,100.9,-14.7,0.0,0.0,0.333,84.88,1.0,0.0,0.667,0.0,1.0,0.667,1.0,0.0,0.55,0.2,0.233,0.167,3,0,0,2,3,0,0,0,0,1,
