DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Wayne Ellington,MIA,WAS,,16:10,0.096,0.125,0.333,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.182,3,0.667,2,3,0.667,0,0.0,1,0,0,0,0,0,6,3,8.25,0,0,0,,0,0.0,109.3,97.5,11.7,0.0,0.037,1.0,90.5,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.482,0.143,0.13,0.2,0,0,0,0,5,5,4,10,5,0,
2016-10-11,Wayne Ellington,MIA,BKN,G,28:39,0.153,0.185,0.471,0.0,0.077,0.059,0.1,0.0,0.0,0.091,0.179,10,0.5,4,8,0.5,0,0.0,3,1,0,0,1,1,14,28,20.5,0,0,0,,0,0.0,118.3,80.3,38.0,0.042,0.051,0.7,107.39,0.2,0.8,0.143,0.857,0.357,0.143,1.0,0.0,0.385,0.231,0.128,0.083,5,3,0,2,6,0,2,14,0,0,NBA TV
2016-10-14,Wayne Ellington,MIA,SAS,,25:57,0.204,0.25,0.563,0.0,0.087,0.0,0.077,0.0,0.0,0.0,0.102,12,0.167,1,9,0.111,0,0.0,2,0,0,0,1,0,5,-8,7.5,0,0,0,,0,0.0,85.0,102.3,-17.3,0.0,0.043,0.208,104.87,0.25,0.75,0.4,0.6,0.0,0.0,1.0,0.0,0.511,0.277,0.144,0.227,0,0,0,0,18,9,4,20,9,1,
2016-10-15,Wayne Ellington,MIA,MIN,,25:04,0.238,0.261,0.429,0.167,0.136,0.083,0.143,0.364,0.0,0.154,0.275,12,0.333,4,9,0.444,2,1.0,3,1,4,0,1,2,14,8,28.5,0,0,0,,0,0.0,97.6,85.9,11.6,0.077,0.062,0.5,97.97,0.25,0.75,0.0,0.857,0.214,0.0,1.0,0.0,0.412,0.471,0.3,0.273,3,0,3,0,6,8,2,14,8,1,
2016-10-18,Wayne Ellington,MIA,ORL,F,30:16,0.17,0.189,0.353,0.0,0.063,0.063,0.111,0.167,0.167,0.2,0.167,10,0.4,4,6,0.667,0,0.0,2,1,1,1,1,2,12,33,21.25,0,0,0,,0,0.0,118.7,62.6,56.1,0.04,0.034,0.6,97.47,0.4,0.6,0.0,1.0,0.0,0.0,0.75,0.25,0.264,0.218,0.145,0.2,0,0,0,0,2,10,2,20,10,1,
2016-10-20,Wayne Ellington,MIA,CHA,F,28:03,0.231,0.271,0.391,0.1,0.13,0.25,0.1,0.0,0.0,0.143,0.185,13,0.231,3,9,0.333,1,1.0,3,4,0,0,1,2,10,-12,19.75,0,0,0,,0,0.0,90.9,111.6,-20.7,0.25,0.055,0.346,101.44,0.308,0.692,0.0,0.9,0.6,0.0,1.0,0.0,0.509,0.264,0.135,0.286,6,0,0,0,13,12,7,28,12,0,
2016-10-21,Wayne Ellington,MIA,PHI,G,10:13,0.134,0.176,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.3,0.188,3,1.0,0,0,0.0,0,0.0,2,0,0,0,0,3,6,5,8.5,0,0,0,,0,0.0,143.4,116.0,27.4,0.0,0.133,1.0,107.12,1.0,0.0,1.0,0.0,0.667,0.0,0.333,0.667,0.5,0.667,0.129,0.25,4,0,0,0,4,6,0,8,6,0,
2015-10-28,Wayne Ellington,BKN,CHI,G,12:03,0.106,0.136,0.333,0.0,0.167,0.333,0.0,0.0,0.5,0.0,0.0,3,0.0,0,1,0.0,0,0.0,2,1,0,1,0,0,0,-17,5.75,3,16,13,0.0769,2,0.0,51.2,115.8,-64.6,0.167,0.083,0.0,107.68,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.563,0.167,0.037,0.0,0,0,0,0,5,0,6,14,0,0,
2015-10-30,Wayne Ellington,BKN,SAS,G,18:16,0.157,0.171,0.4,0.0,0.111,0.0,0.0,0.667,0.0,0.286,0.111,6,0.167,1,4,0.25,0,0.0,1,0,2,0,0,2,3,-18,8.75,2,21,13,0.0,2,0.0,74.3,129.9,-55.6,0.0,0.029,0.25,93.22,0.333,0.667,0.0,1.0,0.0,0.0,1.0,0.0,0.629,0.194,0.173,0.417,0,0,0,0,2,7,2,14,7,1,
2015-10-31,Wayne Ellington,BKN,MEM,,8:43,0.235,0.267,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,4,0.5,2,4,0.5,0,0.0,0,0,0,0,0,0,6,-4,7.0,0,11,6,0.0,0,0.0,87.5,114.2,-26.7,0.0,0.0,0.75,87.48,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.286,0.0,0.0,0,0,0,0,2,0,2,8,0,0,
2015-11-02,Wayne Ellington,BKN,MIL,,6:48,0.069,0.083,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1,0.0,0,1,0.0,0,0.0,0,0,0,0,0,1,0,-3,0.0,1,8,7,0.0,0,0.0,76.2,123.7,-47.5,0.0,0.0,0.0,90.92,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.3,0.088,0.2,0,0,0,0,2,2,0,6,2,0,
2015-11-04,Wayne Ellington,BKN,ATL,,18:06,0.218,0.296,0.5,0.0,0.333,0.222,0.0,0.667,0.0,0.143,0.3,8,0.5,1,4,0.25,0,0.0,4,2,2,0,0,1,9,-11,21.0,5,29,17,0.1176,2,0.5,86.3,106.4,-20.1,0.25,0.16,0.563,97.17,0.5,0.5,0.667,0.333,0.667,0.444,0.75,0.25,0.532,0.258,0.156,0.167,6,6,0,4,12,4,8,26,4,2,
2015-11-06,Wayne Ellington,BKN,LAL,,12:20,0.144,0.19,0.25,0.0,0.091,0.0,0.0,0.0,0.0,0.111,0.105,4,0.25,0,1,0.0,0,0.0,1,0,0,0,0,1,2,0,3.25,2,17,10,0.0,1,0.0,73.8,68.8,4.9,0.0,0.045,0.25,103.86,0.75,0.25,1.0,0.0,0.0,0.0,0.0,1.0,0.25,0.75,0.109,0.182,0,0,0,0,8,3,2,6,3,2,
2015-11-07,Wayne Ellington,BKN,MIL,,15:40,0.098,0.15,0.0,0.0,0.077,0.5,0.0,0.0,0.0,0.0,0.0,3,0.0,0,0,0.0,0,0.0,1,1,0,0,0,0,0,-4,2.5,3,11,8,0.125,2,0.0,84.7,89.7,-5.0,0.111,0.036,0.0,94.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.1,0.217,0.333,0,0,0,0,11,6,2,14,6,0,
2015-11-11,Wayne Ellington,BKN,HOU,,18:31,0.173,0.195,0.375,0.0,0.077,0.1,0.0,0.5,0.0,0.0,0.132,8,0.25,1,3,0.333,0,0.0,2,1,1,0,0,0,5,10,11.25,6,16,8,0.125,4,0.25,105.0,78.8,26.1,0.071,0.043,0.313,92.96,0.625,0.375,0.4,0.6,0.0,0.4,0.5,0.5,0.347,0.222,0.084,0.304,0,0,5,2,4,4,8,22,4,0,
2015-11-13,Wayne Ellington,BKN,SAC,,14:29,0.168,0.161,0.286,0.0,0.091,0.286,0.333,0.5,0.0,0.286,0.179,5,0.4,1,2,0.5,0,0.0,1,2,2,0,1,2,5,5,12.75,3,21,14,0.1429,1,0.0,82.9,73.0,10.0,0.25,0.032,0.5,108.22,0.6,0.4,0.4,0.6,0.4,0.0,1.0,0.0,0.375,0.333,0.19,0.182,2,3,0,0,2,0,4,12,0,0,NBA TV
2015-11-14,Wayne Ellington,BKN,GSW,,13:18,0.15,0.136,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.333,0.375,3,0.667,0,0,0.0,2,1.0,1,0,0,0,0,2,6,-11,7.25,4,11,7,0.0,3,0.667,67.0,123.4,-56.4,0.0,0.043,0.667,82.58,1.0,0.0,0.667,0.0,0.333,0.333,0.5,0.5,0.521,0.083,0.046,0.333,2,2,0,2,6,4,5,14,4,1,
2015-11-17,Wayne Ellington,BKN,ATL,,23:08,0.08,0.103,0.2,0.0,0.043,0.143,0.0,0.25,0.0,0.125,0.053,4,0.25,0,2,0.0,0,0.0,1,1,2,0,0,1,2,-5,8.5,2,25,19,0.0526,0,0.0,86.2,93.6,-7.4,0.071,0.022,0.25,93.39,0.5,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.243,0.218,0.227,2,0,0,0,12,4,2,12,4,1,
2015-11-18,Wayne Ellington,BKN,CHA,,14:06,0.139,0.161,0.2,0.0,0.222,0.167,0.0,0.0,0.0,0.143,0.16,5,0.4,0,1,0.0,0,0.0,2,1,0,0,0,1,4,-13,7.75,3,16,11,0.0909,0,0.0,71.7,123.2,-51.5,0.111,0.08,0.4,111.88,0.8,0.2,1.0,0.0,0.0,0.0,1.0,0.0,0.643,0.524,0.195,0.111,0,0,2,0,4,0,4,16,0,0,
2015-11-20,Wayne Ellington,BKN,BOS,,3:07,0.143,0.167,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,1,1.0,1,1,1.0,0,0.0,0,0,0,0,0,0,3,0,3.5,0,1,0,,0,0.0,114.3,114.3,0.0,0.0,0.0,1.5,107.81,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.667,0.0,0.143,0.0,0,0,0,0,0,0,0,8,0,0,
2015-11-25,Wayne Ellington,BKN,OKC,,6:34,0.195,0.167,0.0,0.5,0.25,0.25,0.0,0.5,0.0,0.0,0.071,2,0.0,0,0,0.0,2,0.5,1,1,1,0,0,0,1,-2,5.5,1,9,6,0.1667,0,0.0,94.9,124.2,-29.4,0.167,0.1,0.0,101.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.155,0.0,0,0,0,0,3,0,0,6,0,1,
