DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Wesley Matthews,DAL,CHA,G,17:21,0.185,0.176,0.231,0.0,0.2,0.25,0.5,0.0,0.0,0.2,0.237,6,0.667,1,3,0.333,0,0.0,3,2,0,0,1,2,9,9,15.25,0,0,0,,0,0.0,106.3,86.3,20.0,0.182,0.086,0.75,95.94,0.5,0.5,0.667,0.333,0.222,0.444,0.5,0.5,0.37,0.556,0.149,0.278,2,2,0,4,3,6,2,12,6,2,
2016-10-08,Wesley Matthews,DAL,MIL,G,17:30,0.195,0.233,0.333,0.2,0.091,0.0,0.091,0.5,0.0,0.25,0.227,7,0.286,1,3,0.333,1,0.0,2,0,1,0,1,2,5,-12,9.5,0,0,0,,0,0.0,59.1,93.1,-34.0,0.0,0.051,0.357,101.14,0.571,0.429,0.4,0.6,0.6,0.4,0.5,0.5,0.438,0.25,0.11,0.158,3,0,0,2,16,2,9,12,2,2,
2016-10-14,Wesley Matthews,DAL,PHX,G,19:38,0.176,0.132,0.4,0.0,0.074,0.2,0.4,0.5,0.5,0.1,0.073,5,0.2,1,2,0.5,0,0.0,2,1,1,1,4,1,3,-6,9.25,0,0,0,,0,0.0,95.2,107.1,-11.9,0.067,0.047,0.3,106.3,0.6,0.4,0.0,1.0,0.0,0.0,1.0,0.0,0.523,0.047,0.091,0.174,0,0,3,0,13,5,17,12,5,1,
2016-10-19,Wesley Matthews,DAL,HOU,G,25:33,0.261,0.317,0.583,0.167,0.263,0.222,0.0,0.8,0.0,0.182,0.333,13,0.385,3,7,0.429,2,1.0,5,2,4,0,0,2,15,-12,33.25,0,0,0,,0,0.0,87.8,111.4,-23.7,0.2,0.104,0.5,96.23,0.462,0.538,0.267,0.6,0.333,0.133,0.6,0.4,0.533,0.311,0.156,0.32,5,2,0,2,9,5,16,20,5,2,
2016-10-21,Wesley Matthews,DAL,DEN,G,24:07,0.222,0.229,0.222,0.286,0.083,0.0,0.182,0.0,0.0,0.188,0.286,8,0.5,0,2,0.0,2,1.0,1,0,0,0,2,3,10,-21,10.25,0,0,0,,0,0.0,74.3,115.2,-40.9,0.0,0.03,0.5,95.22,0.75,0.25,0.8,0.0,0.2,0.8,1.0,0.0,0.6,0.429,0.226,0.286,2,0,0,8,14,9,8,22,9,2,
2015-10-28,Wesley Matthews,DAL,PHX,F,26:06,0.145,0.156,0.4,0.143,0.111,0.071,0.0,0.25,0.0,0.154,0.134,7,0.429,2,4,0.5,2,0.5,3,1,1,0,0,2,9,21,17.0,5,27,17,0.0588,3,0.333,131.0,82.1,48.9,0.045,0.053,0.571,98.57,0.429,0.571,0.222,0.667,0.0,0.222,0.667,0.333,0.345,0.291,0.125,0.351,0,0,0,2,2,11,6,16,11,3,
2015-11-01,Wesley Matthews,DAL,LAL,G,26:15,0.186,0.196,0.4,0.2,0.083,0.071,0.0,0.0,0.0,0.083,0.172,10,0.3,3,8,0.375,2,0.5,2,1,0,0,0,1,10,9,15.25,5,38,26,0.0385,2,0.0,106.6,95.0,11.7,0.053,0.042,0.45,96.89,0.2,0.8,0.0,0.9,0.0,0.0,1.0,0.0,0.44,0.357,0.136,0.167,0,1,0,0,0,7,0,20,7,3,
2015-11-03,Wesley Matthews,DAL,TOR,G,27:36,0.154,0.149,0.25,0.125,0.15,0.333,0.2,0.0,0.0,0.385,0.154,7,0.429,1,3,0.333,2,0.5,3,3,0,0,2,5,8,-13,15.0,4,39,27,0.1111,3,0.333,92.8,114.0,-21.2,0.188,0.064,0.5,98.36,0.571,0.429,0.5,0.375,0.0,0.25,0.333,0.667,0.556,0.356,0.175,0.294,0,1,3,2,13,7,7,30,7,4,
2015-11-05,Wesley Matthews,DAL,CHA,F,26:23,0.213,0.196,0.467,0.5,0.038,0.0,0.125,0.25,0.0,0.143,0.208,9,0.222,2,7,0.286,6,0.833,1,0,1,0,1,1,11,-6,14.75,1,32,19,0.0,3,0.667,97.6,106.5,-8.9,0.0,0.019,0.333,99.77,0.222,0.778,0.0,0.545,0.0,0.0,0.0,1.0,0.49,0.192,0.09,0.222,0,0,0,0,8,7,2,38,7,4,
2015-11-07,Wesley Matthews,DAL,NOP,G,29:26,0.185,0.192,0.294,0.25,0.069,0.143,0.0,0.0,0.0,0.222,0.181,10,0.4,2,5,0.4,3,1.0,2,2,0,0,0,2,13,14,19.0,7,49,37,0.0541,4,0.5,123.5,100.1,23.5,0.087,0.036,0.5,94.77,0.5,0.5,0.308,0.462,0.231,0.308,0.5,0.5,0.464,0.164,0.069,0.161,3,3,0,4,2,8,11,22,8,3,
2015-11-10,Wesley Matthews,DAL,NOP,G,15:18,0.189,0.172,0.125,0.0,0.091,0.25,0.4,0.0,0.0,0.143,0.0,5,0.0,0,1,0.0,0,0.0,1,1,0,0,2,1,0,-15,1.5,2,28,19,0.0526,1,0.0,70.4,122.8,-52.4,0.125,0.033,0.0,103.28,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.148,0.157,0.2,0,0,0,0,9,4,12,12,4,1,
2015-11-11,Wesley Matthews,DAL,LAC,F,32:48,0.227,0.26,0.25,0.167,0.176,0.214,0.111,0.25,0.0,0.167,0.278,13,0.692,3,4,0.75,4,1.0,6,3,1,0,1,3,25,16,39.25,7,51,34,0.0882,5,0.6,143.9,114.2,29.7,0.143,0.113,0.808,93.19,0.692,0.308,0.48,0.36,0.08,0.16,0.444,0.556,0.536,0.357,0.077,0.156,2,0,0,4,12,12,6,24,12,1,ESPN
2015-11-13,Wesley Matthews,DAL,LAL,G,30:17,0.196,0.216,0.333,0.111,0.074,0.071,0.167,0.286,0.0,0.2,0.127,11,0.182,2,6,0.333,2,1.0,2,1,2,0,2,2,8,-4,15.75,5,47,30,0.0333,4,0.0,94.1,102.6,-8.5,0.053,0.036,0.273,104.78,0.455,0.545,0.0,0.75,0.25,0.0,1.0,0.0,0.519,0.222,0.199,0.233,2,0,0,0,17,9,13,14,9,3,
2015-11-16,Wesley Matthews,DAL,PHI,G,29:03,0.213,0.208,0.3,0.2,0.077,0.111,0.25,0.286,0.0,0.286,0.13,10,0.2,1,6,0.167,2,1.0,2,1,2,0,2,4,7,9,14.25,5,39,25,0.04,5,0.2,94.1,77.4,16.7,0.059,0.037,0.25,95.47,0.4,0.6,0.286,0.429,0.286,0.286,0.5,0.5,0.452,0.333,0.224,0.115,2,4,0,2,7,7,7,28,7,1,
2015-11-18,Wesley Matthews,DAL,BOS,G,32:31,0.244,0.24,0.529,0.304,0.071,0.2,0.2,0.2,0.0,0.1,0.243,12,0.333,3,9,0.333,7,1.0,2,3,1,0,2,1,18,11,26.75,7,47,30,0.1,3,0.0,113.6,93.5,20.2,0.143,0.034,0.458,97.82,0.25,0.75,0.111,0.5,0.111,0.111,0.75,0.25,0.445,0.156,0.134,0.303,2,4,6,2,11,15,5,28,15,4,
