DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Will Barton,DEN,TOR,,25:39,0.289,0.289,0.25,0.292,0.15,0.333,0.286,0.333,0.0,0.222,0.197,11,0.364,0,4,0.0,7,0.571,3,5,1,0,2,2,12,8,23.0,0,0,0,,0,0.0,116.1,108.5,7.5,0.313,0.071,0.364,94.88,0.636,0.364,0.667,0.0,0.083,0.333,0.5,0.5,0.511,0.25,0.123,0.261,1,0,0,4,8,4,2,22,4,4,
2016-10-07,Will Barton,DEN,LAL,G,30:58,0.203,0.237,0.25,0.333,0.088,0.105,0.0,0.2,0.0,0.2,0.317,14,0.429,2,4,0.5,6,1.0,3,2,2,0,0,2,20,-5,31.25,0,0,0,,0,0.0,84.1,89.7,-5.6,0.125,0.045,0.5,116.84,0.714,0.286,0.4,0.3,0.35,0.4,0.833,0.167,0.476,0.177,0.185,0.156,7,4,0,8,16,4,16,38,4,4,NBA TV
2016-10-09,Will Barton,DEN,LAL,G,29:21,0.235,0.26,0.214,0.036,0.063,0.0,0.333,0.2,1.0,0.231,0.205,13,0.538,0,3,0.0,1,1.0,2,0,1,3,4,3,15,0,23.5,0,0,0,,0,0.0,110.1,112.7,-2.6,0.0,0.041,0.538,107.22,0.769,0.231,0.933,0.0,0.133,0.8,0.429,0.571,0.578,0.392,0.093,0.04,2,5,4,12,12,2,9,18,2,1,NBA TV
2016-10-14,Will Barton,DEN,GSW,G,24:30,0.179,0.191,0.2,0.0,0.129,0.286,0.2,0.25,0.0,0.111,0.183,9,0.556,1,2,0.5,0,0.0,4,4,1,0,2,1,11,6,22.5,0,0,0,,0,0.0,110.3,98.3,12.0,0.211,0.075,0.611,107.13,0.778,0.222,0.727,0.273,0.182,0.545,0.6,0.4,0.511,0.196,0.127,0.077,2,2,0,6,9,4,8,18,4,1,
2016-10-16,Will Barton,DEN,POR,G,29:54,0.242,0.235,0.167,0.25,0.083,0.438,0.333,0.0,0.0,0.273,0.243,12,0.5,2,3,0.667,5,0.6,2,7,0,0,1,3,17,1,28.75,0,0,0,,0,0.0,125.4,122.2,3.3,0.389,0.036,0.583,90.12,0.75,0.25,0.471,0.353,0.0,0.353,0.667,0.333,0.538,0.321,0.106,0.37,0,0,0,6,9,7,7,18,7,4,NBA TV
2016-10-18,Will Barton,DEN,OKC,G,30:41,0.201,0.193,0.1,0.143,0.212,0.4,0.3,0.333,0.25,0.333,0.15,11,0.273,0,1,0.0,3,1.0,7,4,1,1,3,3,9,-6,25.25,0,0,0,,0,0.0,90.6,96.0,-5.5,0.211,0.109,0.273,105.59,0.909,0.091,0.667,0.0,0.222,0.444,0.0,1.0,0.46,0.206,0.102,0.233,2,2,3,4,12,10,9,40,10,3,
2016-10-21,Will Barton,DEN,DAL,G,25:12,0.189,0.162,0.2,0.2,0.148,0.188,0.273,0.0,0.0,0.182,0.145,6,0.5,1,3,0.333,2,0.5,4,3,0,0,3,2,8,28,15.75,0,0,0,,0,0.0,113.6,56.7,57.0,0.167,0.103,0.583,91.47,0.5,0.5,0.5,0.375,0.0,0.25,0.333,0.667,0.289,0.158,0.189,0.08,0,4,0,2,4,0,2,10,0,2,
2015-10-28,Will Barton,DEN,HOU,,19:34,0.233,0.263,0.133,0.0,0.235,0.0,0.0,0.25,0.0,0.0,0.268,10,0.5,1,2,0.5,0,0.0,4,0,1,0,0,0,11,4,18.5,6,28,15,0.0,5,0.6,105.5,96.1,9.4,0.0,0.103,0.55,94.94,0.8,0.2,0.727,0.273,0.364,0.727,1.0,0.0,0.456,0.235,0.208,0.35,4,4,0,8,11,4,7,16,4,2,
2015-10-30,Will Barton,DEN,MIN,,29:41,0.224,0.241,0.2,0.429,0.118,0.111,0.0,0.4,0.5,0.25,0.304,14,0.286,1,4,0.25,6,0.833,4,1,2,1,0,4,14,-5,26.75,8,56,36,0.0278,9,0.333,71.7,80.8,-9.1,0.083,0.065,0.321,102.91,0.714,0.286,0.429,0.214,0.429,0.429,1.0,0.0,0.439,0.561,0.19,0.0,6,2,0,6,8,0,5,16,0,5,
2015-11-01,Will Barton,DEN,OKC,,24:15,0.239,0.261,0.231,0.273,0.188,0.083,0.0,0.5,0.0,0.0,0.283,12,0.5,1,3,0.333,3,0.667,3,1,2,0,0,0,15,5,24.5,3,36,21,0.0476,7,0.429,102.2,105.2,-2.9,0.071,0.075,0.542,96.49,0.75,0.25,0.667,0.2,0.533,0.4,0.5,0.5,0.595,0.162,0.263,0.333,8,9,0,6,3,0,3,16,0,3,
