DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Willie Cauley-Stein,SAC,LAL,,18:46,0.143,0.091,0.0,0.25,0.2,0.333,0.333,0.167,0.0,0.231,0.111,3,0.333,0,0,0.0,3,0.667,4,3,1,0,2,3,4,5,13.75,0,0,0,,0,0.0,89.4,71.5,17.9,0.273,0.093,0.333,106.95,1.0,0.0,0.5,0.0,0.25,0.5,1.0,0.0,0.29,0.613,0.231,0.273,1,1,0,2,2,4,5,16,4,2,
2016-10-06,Willie Cauley-Stein,SAC,GSW,,20:06,0.119,0.073,0.0,0.5,0.111,0.0,0.25,0.286,0.0,0.5,0.048,3,0.0,0,0,0.0,4,0.5,2,0,2,0,1,4,2,6,8.0,0,0,0,,0,0.0,101.2,91.4,9.8,0.0,0.049,0.0,96.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.357,0.279,0.267,0,0,0,0,3,2,8,10,2,2,
2016-10-10,Willie Cauley-Stein,SAC,MAC,,16:10,0.12,0.115,0.0,0.0,0.111,0.1,0.167,0.25,0.333,0.556,0.167,3,1.0,0,0,0.0,0,0.0,1,1,1,1,1,5,6,-7,12.0,0,0,0,,0,0.0,111.4,116.7,-5.3,0.077,0.042,1.0,102.67,1.0,0.0,1.0,0.0,0.0,1.0,0.667,0.333,0.581,0.355,0.163,0.385,0,0,0,6,4,6,0,4,6,0,
2016-10-13,Willie Cauley-Stein,SAC,LAL,,24:51,0.137,0.184,0.0,0.083,0.222,0.059,0.0,0.167,0.0,0.111,0.179,7,0.857,0,0,0.0,1,0.0,4,1,1,0,0,1,12,9,20.25,0,0,0,,0,0.0,130.7,104.9,25.7,0.056,0.118,0.857,102.89,1.0,0.0,1.0,0.0,0.333,0.833,0.833,0.167,0.556,0.267,0.181,0.25,4,2,2,10,16,3,9,22,3,2,
2016-10-15,Willie Cauley-Stein,SAC,WAS,F,22:09,0.185,0.207,0.0,0.333,0.227,0.083,0.071,1.0,0.333,0.143,0.267,6,0.833,0,0,0.0,5,0.4,5,1,4,1,1,1,12,-1,29.0,0,0,0,,0,0.0,94.5,95.4,-0.9,0.091,0.135,0.833,103.79,1.0,0.0,0.833,0.0,0.0,0.833,1.0,0.0,0.447,0.106,0.104,0.231,0,0,0,10,15,10,8,20,10,4,
2016-10-18,Willie Cauley-Stein,SAC,LAC,,22:25,0.169,0.162,0.0,0.2,0.32,0.167,0.182,0.0,0.0,0.182,0.235,6,0.5,0,0,0.0,2,1.0,8,1,0,0,2,2,8,-4,18.25,0,0,0,,0,0.0,73.3,86.0,-12.7,0.125,0.19,0.5,96.98,1.0,0.0,0.75,0.0,0.0,0.75,0.667,0.333,0.5,0.152,0.204,0.0,0,0,4,6,6,0,2,6,0,3,ESPN
2015-10-28,Willie Cauley-Stein,SAC,LAC,,7:51,0.112,0.143,0.0,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.154,2,0.5,0,0,0.0,0,0.0,2,0,0,0,0,0,2,1,4.5,3,8,6,0.0,1,1.0,81.9,87.2,-5.3,0.0,0.125,0.5,90.62,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.417,0.333,0.218,0.375,0,0,2,2,2,4,0,2,4,0,
2015-10-30,Willie Cauley-Stein,SAC,LAL,C,30:11,0.149,0.123,0.0,0.25,0.257,0.071,0.25,0.25,0.75,0.385,0.185,8,0.875,0,0,0.0,5,0.6,9,1,1,3,2,5,17,23,36.5,15,31,18,0.0556,8,0.875,129.9,98.7,31.3,0.034,0.164,0.875,111.89,1.0,0.0,0.824,0.0,0.0,0.824,0.286,0.714,0.549,0.353,0.2,0.111,0,0,6,14,6,4,9,28,4,3,
2015-10-31,Willie Cauley-Stein,SAC,LAC,C,22:48,0.149,0.109,0.0,0.308,0.429,0.0,0.286,0.6,1.0,0.385,0.157,5,0.6,0,0,0.0,4,0.5,9,0,3,1,2,5,8,4,26.25,10,23,16,0.0,5,0.6,102.6,97.6,5.0,0.0,0.237,0.6,103.02,1.0,0.0,0.75,0.0,0.0,0.75,0.333,0.667,0.529,0.4,0.208,0.2,0,0,5,6,11,5,2,24,5,3,NBA TV
2015-11-03,Willie Cauley-Stein,SAC,MEM,C,34:02,0.101,0.075,0.0,0.182,0.304,0.091,0.125,0.167,1.0,0.3,0.141,4,0.75,0,0,0.0,6,0.5,7,1,1,1,1,3,9,-15,22.5,11,28,21,0.0476,2,0.5,93.4,111.9,-18.5,0.059,0.125,0.75,98.11,1.0,0.0,0.667,0.0,0.111,0.667,1.0,0.0,0.591,0.273,0.198,0.238,1,3,6,6,11,6,10,34,6,4,
