DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Zach Randolph,MEM,ORL,,10:31,0.196,0.235,0.111,0.0,0.625,0.2,0.2,0.25,0.0,0.333,0.083,4,0.25,0,1,0.0,0,0.0,5,1,1,0,1,2,2,7,11.0,0,0,0,,0,0.0,97.9,76.2,21.7,0.167,0.357,0.25,106.89,0.75,0.25,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.214,0.358,0.125,2,0,0,2,6,0,2,4,0,0,
2016-10-06,Zach Randolph,MEM,ATL,,15:29,0.213,0.28,0.5,0.125,0.2,0.0,0.0,0.0,0.0,0.222,0.4,7,0.571,0,2,0.0,2,1.0,2,0,0,0,0,2,10,-12,12.5,0,0,0,,0,0.0,78.0,112.7,-34.6,0.0,0.08,0.571,100.57,0.714,0.286,0.8,0.0,0.4,0.4,0.5,0.5,0.54,0.44,0.183,0.375,4,0,2,4,11,5,8,18,5,1,
2016-10-11,Zach Randolph,MEM,PHI,,17:27,0.261,0.25,0.375,0.25,0.381,0.091,0.333,0.167,0.0,0.333,0.37,9,0.667,4,6,0.667,2,0.5,8,1,1,0,2,4,17,15,31.25,0,0,0,,0,0.0,105.7,71.7,34.0,0.091,0.222,0.889,119.33,0.333,0.667,0.235,0.706,0.0,0.0,0.833,0.167,0.327,0.808,0.208,0.05,0,0,2,0,1,4,10,12,4,1,
2016-10-13,Zach Randolph,MEM,OKC,,23:13,0.386,0.447,0.286,0.042,0.444,0.0,0.571,0.0,0.0,0.154,0.279,17,0.353,0,2,0.0,1,0.0,8,0,0,0,4,2,12,4,20.0,0,0,0,,0,0.0,81.8,84.9,-3.1,0.0,0.19,0.353,101.83,0.882,0.118,1.0,0.0,0.5,0.667,0.333,0.667,0.414,0.621,0.261,0.167,6,0,0,8,8,2,7,12,2,2,
2016-10-15,Zach Randolph,MEM,HOU,,14:07,0.356,0.333,0.25,0.267,0.308,0.167,0.5,0.25,0.0,0.556,0.286,8,0.375,1,2,0.5,4,0.25,4,1,1,0,4,5,8,-15,14.75,0,0,0,,0,0.0,80.9,121.1,-40.1,0.167,0.148,0.438,119.16,0.75,0.25,0.5,0.375,0.125,0.25,0.667,0.333,0.621,0.276,0.141,0.182,1,0,2,2,6,6,6,26,6,2,
2016-10-19,Zach Randolph,MEM,MIN,,24:16,0.284,0.3,0.364,0.222,0.429,0.0,0.273,0.0,0.0,0.154,0.302,12,0.417,0,4,0.0,4,0.75,9,0,0,0,3,2,13,-5,22.75,0,0,0,,0,0.0,79.7,90.0,-10.2,0.0,0.205,0.417,106.1,0.667,0.333,0.769,0.0,0.0,0.462,0.2,0.8,0.4,0.475,0.187,0.238,0,0,2,6,17,5,9,22,5,3,
2015-10-28,Zach Randolph,MEM,CLE,F,30:54,0.233,0.212,0.111,0.333,0.32,0.0,0.333,0.167,0.0,0.125,0.226,11,0.455,0,1,0.0,4,0.5,8,0,1,0,2,1,12,-7,23.0,11,42,27,0.0,6,0.5,94.2,103.9,-9.7,0.0,0.138,0.455,88.57,0.909,0.091,0.833,0.0,0.25,0.667,0.4,0.6,0.559,0.078,0.208,0.28,3,0,3,8,5,12,10,24,12,4,
2015-10-29,Zach Randolph,MEM,IND,F,29:33,0.239,0.204,0.0,0.353,0.276,0.111,0.5,0.0,0.0,0.273,0.164,11,0.273,0,0,0.0,6,0.833,8,2,0,0,2,3,11,17,22.5,19,46,28,0.0714,6,0.333,118.6,89.5,29.1,0.091,0.138,0.273,91.25,1.0,0.0,0.545,0.0,0.182,0.364,1.0,0.0,0.427,0.229,0.197,0.286,2,2,3,4,2,11,5,12,11,4,
2015-10-31,Zach Randolph,MEM,BKN,F,29:38,0.279,0.255,0.0,0.286,0.542,0.05,0.429,0.0,0.0,0.182,0.224,12,0.5,0,0,0.0,4,0.75,13,1,0,0,3,2,15,8,31.0,19,52,33,0.0303,9,0.556,121.5,106.3,15.2,0.056,0.289,0.5,89.64,1.0,0.0,0.8,0.0,0.133,0.533,0.833,0.167,0.563,0.167,0.144,0.174,2,0,6,8,6,6,6,42,6,2,
2015-11-02,Zach Randolph,MEM,GSW,F,19:11,0.184,0.22,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.111,0.174,9,0.222,0,0,0.0,0,0.0,3,0,0,0,0,1,4,-30,7.75,9,38,24,0.0,5,0.2,53.5,129.4,-75.9,0.0,0.068,0.222,104.95,1.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.697,0.273,0.195,0.308,2,0,2,2,7,6,15,16,6,1,NBA TV
2015-11-03,Zach Randolph,MEM,SAC,F,29:08,0.29,0.275,0.0,0.125,0.423,0.118,0.571,0.0,0.0,0.133,0.274,14,0.643,0,0,0.0,2,1.0,11,2,0,0,4,2,20,15,34.25,13,63,44,0.0455,7,0.714,123.6,99.9,23.7,0.1,0.244,0.643,96.44,1.0,0.0,0.9,0.0,0.2,0.5,0.444,0.556,0.5,0.348,0.155,0.167,4,0,4,10,7,11,14,26,11,1,
2015-11-05,Zach Randolph,MEM,POR,F,32:32,0.22,0.226,0.0,0.0,0.4,0.167,0.5,0.25,0.0,0.125,0.235,12,0.667,0,0,0.0,0,0.0,10,2,1,0,3,1,16,-14,31.5,23,68,51,0.0392,7,0.714,107.5,126.7,-19.2,0.118,0.172,0.667,94.4,1.0,0.0,1.0,0.0,0.125,0.625,0.25,0.75,0.607,0.213,0.108,0.31,2,0,2,10,11,15,4,30,15,1,TNT
2015-11-07,Zach Randolph,MEM,UTA,F,38:01,0.151,0.158,0.0,0.0,0.243,0.143,0.167,0.2,0.0,0.158,0.159,12,0.417,0,0,0.0,0,0.0,9,2,1,0,2,3,10,-1,24.75,28,55,37,0.0541,10,0.4,77.9,86.4,-8.5,0.105,0.117,0.417,97.78,1.0,0.0,1.0,0.0,0.0,0.8,0.8,0.2,0.447,0.281,0.23,0.219,0,0,2,8,13,2,10,30,2,2,NBA TV
2015-11-09,Zach Randolph,MEM,LAC,F,39:31,0.227,0.297,0.0,0.069,0.273,0.222,0.0,0.273,0.0,0.167,0.302,19,0.632,0,0,0.0,2,1.0,9,4,3,0,0,3,26,15,48.25,18,81,61,0.0656,6,0.667,107.8,96.4,11.5,0.2,0.143,0.632,93.19,1.0,0.0,0.923,0.0,0.231,0.462,0.583,0.417,0.446,0.393,0.217,0.242,6,0,8,12,15,10,11,24,10,3,
2015-11-11,Zach Randolph,MEM,GSW,F,30:28,0.304,0.295,0.0,0.292,0.233,0.222,0.333,0.111,0.0,0.25,0.352,13,0.462,0,0,0.0,7,1.0,7,2,1,0,6,5,19,-8,29.25,14,62,37,0.0541,10,0.5,85.0,93.6,-8.6,0.222,0.14,0.462,102.25,1.0,0.0,0.632,0.0,0.316,0.526,0.5,0.5,0.511,0.457,0.242,0.192,6,2,5,10,23,8,12,26,8,6,
2015-11-13,Zach Randolph,MEM,POR,F,28:33,0.309,0.302,0.0,0.286,0.4,0.231,0.375,0.4,0.0,0.182,0.294,16,0.375,0,0,0.0,4,0.75,8,3,2,0,3,2,15,-10,31.25,21,62,40,0.075,9,0.444,89.2,110.6,-21.4,0.25,0.163,0.375,94.4,1.0,0.0,0.8,0.0,0.133,0.667,0.667,0.333,0.571,0.333,0.254,0.412,2,0,4,10,5,6,10,26,6,2,
2015-11-15,Zach Randolph,MEM,MIN,F,27:57,0.172,0.205,0.0,0.118,0.444,0.091,0.091,0.25,0.5,0.091,0.209,8,0.75,0,0,0.0,2,1.0,8,1,1,1,1,1,14,2,28.75,18,46,34,0.0294,4,0.5,123.0,124.6,-1.6,0.059,0.229,0.75,91.55,1.0,0.0,0.857,0.0,0.0,0.286,0.667,0.333,0.567,0.311,0.115,0.25,0,0,0,4,11,8,18,26,8,2,
