DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Zaza Pachulia,GSW,TOR,C,8:14,0.184,0.143,0.0,0.286,0.6,0.0,0.25,0.333,0.5,0.25,0.077,2,0.0,0,0,0.0,2,0.5,3,0,1,1,1,1,1,-7,8.25,0,0,0,,0,0.0,64.7,101.8,-37.1,0.0,0.176,0.0,115.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.429,0.305,0.429,0,0,0,0,5,4,3,10,4,2,NBA TV
2016-10-04,Zaza Pachulia,GSW,LAC,C,14:52,0.058,0.0,0.0,0.25,0.353,0.214,0.25,0.0,0.0,0.375,0.023,0,0.0,0,0,0.0,2,0.5,6,3,0,0,1,3,1,31,11.75,0,0,0,,0,0.0,145.7,41.1,104.6,0.214,0.222,0.0,94.79,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19,0.238,0.24,0.067,1,0,0,0,0,2,0,6,2,4,ESPN
2016-10-06,Zaza Pachulia,GSW,SAC,C,17:35,0.198,0.167,0.0,0.286,0.4,0.3,0.222,0.0,0.0,0.5,0.103,4,0.25,0,0,0.0,4,0.5,6,3,0,0,2,3,4,-1,14.25,0,0,0,,0,0.0,105.0,102.6,2.4,0.3,0.207,0.25,103.95,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.588,0.0,0.179,0.133,0,1,0,2,9,7,2,20,7,2,
2016-10-14,Zaza Pachulia,GSW,DEN,C,19:28,0.108,0.128,0.0,0.0,0.188,0.0,0.0,0.4,0.5,0.3,0.186,5,0.8,0,0,0.0,0,0.0,3,0,2,2,0,3,8,-7,19.75,0,0,0,,0,0.0,99.3,120.8,-21.5,0.0,0.079,0.8,104.45,1.0,0.0,1.0,0.0,0.25,0.75,0.25,0.75,0.688,0.313,0.193,0.188,2,0,2,6,11,4,2,18,4,0,
2016-10-15,Zaza Pachulia,GSW,LAL,C,21:07,0.162,0.119,0.0,0.286,0.296,0.188,0.333,0.25,0.0,0.333,0.18,5,0.8,0,0,0.0,4,0.75,8,3,1,0,2,3,11,24,25.75,0,0,0,,0,0.0,132.1,78.1,54.1,0.167,0.2,0.8,106.33,1.0,0.0,0.727,0.0,0.364,0.545,0.75,0.25,0.414,0.286,0.19,0.05,4,2,2,6,5,0,4,10,0,5,NBA TV
2016-10-19,Zaza Pachulia,GSW,LAL,C,22:19,0.051,0.022,0.0,0.167,0.316,0.294,0.2,0.2,0.25,0.375,0.057,1,1.0,0,0,0.0,2,1.0,6,5,2,1,1,3,4,12,23.25,0,0,0,,0,0.0,129.0,102.0,26.9,0.217,0.146,1.0,119.55,1.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.602,0.25,0.229,0.227,2,0,0,0,7,6,20,14,6,2,ESPN
2016-10-21,Zaza Pachulia,GSW,POR,C,18:57,0.132,0.033,0.0,0.2,0.273,0.111,0.4,1.0,1.0,0.333,0.093,1,1.0,0,0,0.0,2,1.0,6,1,2,1,4,3,4,2,16.75,0,0,0,,0,0.0,103.9,92.8,11.1,0.091,0.158,1.0,108.41,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.475,0.125,0.09,0.095,0,2,0,2,11,5,9,20,5,4,NBA TV
2015-10-28,Zaza Pachulia,DAL,PHX,C,25:00,0.23,0.217,0.0,0.316,0.357,0.231,0.2,0.4,0.5,0.167,0.147,10,0.2,0,0,0.0,6,1.0,10,3,2,1,1,2,10,26,31.75,18,42,27,0.1111,6,0.167,122.8,73.6,49.2,0.143,0.192,0.2,107.9,1.0,0.0,0.4,0.0,0.0,0.2,0.0,1.0,0.364,0.364,0.193,0.172,0,2,2,2,4,6,10,18,6,6,
2015-10-29,Zaza Pachulia,DAL,LAC,C,18:22,0.188,0.19,0.0,0.0,0.308,0.091,0.2,0.0,0.0,0.375,0.108,8,0.25,0,0,0.0,0,0.0,8,1,0,0,1,3,4,-6,14.75,16,30,19,0.0526,4,0.25,95.2,111.6,-16.5,0.071,0.186,0.25,101.14,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.542,0.222,0.026,0.105,0,0,0,4,2,4,9,14,4,2,TNT
2015-11-01,Zaza Pachulia,DAL,LAL,C,29:17,0.236,0.151,0.0,0.833,0.364,0.071,0.429,0.0,1.0,0.364,0.271,8,0.5,0,0,0.0,10,0.8,12,1,0,1,3,4,16,7,32.75,22,51,34,0.0294,6,0.5,99.5,82.5,17.0,0.059,0.197,0.5,100.25,1.0,0.0,0.5,0.0,0.125,0.5,0.75,0.25,0.382,0.314,0.159,0.156,2,2,2,8,7,9,8,18,9,6,
