DATE,NAME,TEAM_NAME,TEAM_AGAINST,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FG2M,CATCH_SHOOT_FGA,CATCH_SHOOT_FG2A,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT,FG_AT_RIM_ALLOWED,FG_AT_RIM_FACED,DEF_RIM_FG_PCT,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT,ELBOW_TOUCHES,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PTS_PCT,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_FOULS_PCT,PAINT_TOUCHES,PAINT_TOUCH_FGM,PAINT_TOUCH_FGA,PAINT_TOUCH_FG_PCT,PAINT_TOUCH_FTM,PAINT_TOUCH_FTA,PAINT_TOUCH_FT_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_PTS_PCT,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCH_FOULS,PAINT_TOUCH_FOULS_PCT,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_PTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH,TOUCHES,POST_TOUCHES,POST_TOUCH_FGM,POST_TOUCH_FGA,POST_TOUCH_FG_PCT,POST_TOUCH_FTM,POST_TOUCH_FTA,POST_TOUCH_FT_PCT,POST_TOUCH_PTS,POST_TOUCH_PTS_PCT,POST_TOUCH_PASSES,POST_TOUCH_PASSES_PCT,POST_TOUCH_AST,POST_TOUCH_AST_PCT,POST_TOUCH_TOV,POST_TOUCH_TOV_PCT,POST_TOUCH_FOULS,POST_TOUCH_FOULS_PCT,PULL_UP_FGM,PULL_UP_FG2M,PULL_UP_FGA,PULL_UP_FG2A,PULL_UP_FG_PCT,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_PTS,PULL_UP_EFG_PCT,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,DK_POINTS
2015-10-28,DeMar DeRozan,TOR,IND,35:52,2.0,1.0,3.0,1.0,0.667,5.0,1.0,2.0,0.5,0.833,0.0,0.0,0.0,9.0,2.0,4.0,0.5,1.0,3.0,0.333,5.0,0.556,3.0,0.333,2.0,0.222,1.0,0.111,2.0,0.222,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,48.0,6.0,1.0,0.0,7.0,14.0,7.0,0.207,0.241,25.0,57.0,51.0,3.9,4.1,3.5,0.439,2.0,2.0,1.0,0.0,1.5,1.0,57.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,2.0,2.0,7.0,7.0,0.286,0.0,0.0,0.0,4.0,0.286,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.6,6.0,0.833,1.0,1.0,5.9,5.0,3.0,2.0,0.6,8.0,0.625,1.0,0.714,5.9,13411.0,2.5,1.5,1.1,4.23,4.59,4.01,42.25
2015-10-30,DeMar DeRozan,TOR,BOS,34:45,0.0,0.0,5.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333,1.0,0.333,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,48.0,62.0,6.0,2.0,0.0,13.0,17.0,8.0,0.125,0.167,23.0,75.0,66.0,4.1,3.3,2.4,0.307,3.0,2.0,2.0,0.0,1.0,1.0,75.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,2.0,1.0,5.0,4.0,0.4,1.0,1.0,1.0,5.0,0.5,1.0,0.0,1.0,0.0,4.0,0.25,0.0,0.25,21.9,6.0,0.0,6.0,0.0,9.0,0.667,2.0,0.857,8.1,7.0,0.0,7.0,0.0,13.0,0.538,2.0,0.636,10.0,13570.0,2.6,1.5,1.1,4.45,4.57,4.36,42.25
2015-11-01,DeMar DeRozan,TOR,MIL,37:17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,8.0,3.0,6.0,0.5,0.0,0.0,0.0,6.0,0.75,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,4.0,0.0,1.0,10.0,10.0,5.0,0.073,0.091,15.0,74.0,70.0,4.2,3.4,3.1,0.203,2.0,1.0,0.0,1.0,0.0,0.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,4.0,0.5,0.0,0.0,0.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.25,1.0,0.333,8.9,1.0,0.0,1.0,0.0,4.0,0.25,1.0,0.333,8.9,13622.0,2.6,1.5,1.1,4.23,4.42,3.93,24.25
2015-11-03,DeMar DeRozan,TOR,DAL,28:23,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,4.0,2.0,2.0,1.0,2.0,2.0,1.0,6.0,1.5,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.25,4.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.5,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,48.0,2.0,0.0,0.0,6.0,5.0,2.0,0.057,0.057,20.0,59.0,49.0,3.3,3.4,3.0,0.339,4.0,0.0,0.0,0.5,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,8.0,0.125,0.0,0.0,0.0,2.0,0.125,1.0,1.0,0.0,1.0,2.0,0.5,0.0,0.5,19.3,3.0,1.0,2.0,0.333,6.0,0.5,2.0,0.75,7.8,4.0,2.0,2.0,0.5,8.0,0.5,2.0,0.667,10.6,10402.0,2.0,1.1,0.8,4.26,4.28,3.71,28.0
2015-11-04,DeMar DeRozan,TOR,OKC,38:35,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,21.0,4.0,9.0,0.444,4.0,5.0,0.8,12.0,0.571,8.0,0.381,1.0,0.048,1.0,0.048,4.0,0.19,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.667,0.0,0.0,1.0,0.333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,57.0,3.0,0.0,1.0,5.0,7.0,4.0,0.065,0.087,28.0,76.0,65.0,4.8,3.8,3.1,0.368,3.0,1.0,1.0,0.0,0.0,0.0,76.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,8.0,0.375,0.0,0.0,0.0,6.0,0.375,1.0,0.0,1.0,0.0,2.0,0.5,0.0,0.5,2.3,4.0,2.0,2.0,0.5,10.0,0.4,3.0,0.571,6.0,5.0,2.0,3.0,0.4,12.0,0.417,3.0,0.556,5.2,14467.0,2.7,1.7,1.1,4.14,4.71,3.87,41.0
2015-11-06,DeMar DeRozan,TOR,ORL,41:23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,18.0,4.0,7.0,0.571,4.0,7.0,0.571,12.0,0.667,8.0,0.444,1.0,0.056,0.0,0.0,4.0,0.222,4.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.5,3.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,54.0,60.0,2.0,0.0,0.0,9.0,6.0,2.0,0.037,0.037,23.0,76.0,67.0,4.7,3.7,2.8,0.303,4.0,1.0,2.0,0.5,0.0,1.0,76.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,4.0,0.4,0.0,1.0,0.0,4.0,0.4,3.0,1.0,2.0,0.333,4.0,0.75,0.0,0.75,11.8,4.0,1.0,3.0,0.25,6.0,0.667,0.0,0.667,6.7,7.0,2.0,5.0,0.286,10.0,0.7,0.0,0.7,8.9,14995.0,2.8,1.7,1.2,4.04,4.22,4.13,37.25
2015-11-08,DeMar DeRozan,TOR,MIA,35:30,2.0,2.0,3.0,2.0,0.667,4.0,0.0,1.0,0.0,0.667,2.0,2.0,1.0,11.0,2.0,3.0,0.667,2.0,2.0,1.0,6.0,0.545,6.0,0.545,1.0,0.091,0.0,0.0,1.0,0.091,6.0,2.0,3.0,0.667,0.0,0.0,0.0,4.0,0.667,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,68.0,3.0,0.0,0.0,9.0,7.0,3.0,0.064,0.064,16.0,73.0,67.0,4.1,3.4,2.6,0.219,6.0,0.0,0.0,0.667,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,4.0,0.167,0.0,2.0,0.0,2.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.167,3.0,0.333,4.0,1.0,0.0,1.0,0.0,6.0,0.167,3.0,0.333,4.0,12725.0,2.4,1.5,1.0,4.08,4.76,3.54,18.0
2015-11-10,DeMar DeRozan,TOR,NYK,38:41,1.0,1.0,4.0,4.0,0.25,2.0,0.0,0.0,0.0,0.25,2.0,2.0,1.0,11.0,5.0,7.0,0.714,1.0,2.0,0.5,11.0,1.0,3.0,0.273,0.0,0.0,0.0,0.0,1.0,0.091,4.0,3.0,4.0,0.75,0.0,0.0,0.0,6.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,48.0,2.0,0.0,0.0,8.0,5.0,2.0,0.069,0.069,29.0,56.0,52.0,3.3,3.5,2.9,0.518,4.0,1.0,1.0,1.5,2.0,2.0,56.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,6.0,0.286,0.0,1.0,0.0,4.0,0.286,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.2,9.0,0.556,2.0,0.714,13.1,5.0,1.0,4.0,0.2,11.0,0.455,2.0,0.556,13.1,14045.0,2.7,1.4,1.3,4.16,4.6,3.82,39.25
2015-11-11,DeMar DeRozan,TOR,PHI,27:24,2.0,1.0,3.0,2.0,0.667,5.0,1.0,1.0,1.0,0.833,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.667,2.0,0.667,0.0,0.0,0.0,0.0,1.0,0.333,4.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,0.5,1.0,0.25,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,34.0,2.0,0.0,1.0,6.0,5.0,3.0,0.077,0.115,14.0,39.0,37.0,1.9,2.9,2.0,0.359,4.0,1.0,1.0,0.5,0.0,0.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.5,0.0,0.0,0.0,2.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,0.0,1.0,18.4,2.0,0.0,2.0,0.0,3.0,0.667,1.0,1.0,9.1,4.0,1.0,3.0,0.25,5.0,0.8,1.0,1.0,13.8,10032.0,1.9,1.1,0.8,4.2,4.64,3.65,22.0
2015-11-13,DeMar DeRozan,TOR,NOP,34:54,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.667,13.0,2.0,3.0,0.667,5.0,6.0,0.833,9.0,0.692,5.0,0.385,3.0,0.231,0.0,0.0,5.0,0.385,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,60.0,11.0,1.0,1.0,14.0,29.0,13.0,0.239,0.283,15.0,69.0,63.0,3.3,2.9,2.6,0.217,4.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.2,0.0,0.0,0.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,0.167,11.0,0.545,4.0,0.857,5.4,6.0,1.0,5.0,0.167,11.0,0.545,4.0,0.857,5.4,13147.0,2.5,1.5,1.0,4.32,4.83,3.7,37.25
