GAME_ID,PLAYER_NAME,TEAM_AGAINST,CUT_PossG,CUT_PPP,CUT_FG,HANDOFF_PossG,HANDOFF_PPP,HANDOFF_FG,ISO_PossG,ISO_PPP,ISO_FG,MISC_PossG,MISC_PPP,MISC_FG,OFF_SCREEN_PossG,OFF_SCREEN_PPP,OFF_SCREEN_FG,POST_UP_PossG,POST_UP_PPP,POST_UP_FG,DK_POINTS
0021500009,DeMar DeRozan,IND,7.71,1.2058,62.63,4.61,0.8537,42.09,6.51,0.8234,37.92,6.82,0.4579,32.12,6.75,0.8407,37.17,8.12,0.88,45.31,42.25
0041500116,DeMar DeRozan,IND,7.71,1.2058,62.63,4.61,0.8537,42.09,6.51,0.8234,37.92,6.82,0.4579,32.12,6.75,0.8407,37.17,8.12,0.88,45.31,13.0
0041500117,DeMar DeRozan,IND,7.71,1.2058,62.63,4.61,0.8537,42.09,6.51,0.8234,37.92,6.82,0.4579,32.12,6.75,0.8407,37.17,8.12,0.88,45.31,48.75
0041500111,DeMar DeRozan,IND,7.71,1.2058,62.63,4.61,0.8537,42.09,6.51,0.8234,37.92,6.82,0.4579,32.12,6.75,0.8407,37.17,8.12,0.88,45.31,24.0
0021501012,DeMar DeRozan,IND,7.71,1.2058,62.63,4.61,0.8537,42.09,6.51,0.8234,37.92,6.82,0.4579,32.12,6.75,0.8407,37.17,8.12,0.88,45.31,39.5
0021500357,DeMar DeRozan,IND,7.71,1.2058,62.63,4.61,0.8537,42.09,6.51,0.8234,37.92,6.82,0.4579,32.12,6.75,0.8407,37.17,8.12,0.88,45.31,34.75
0041500112,DeMar DeRozan,IND,7.71,1.2058,62.63,4.61,0.8537,42.09,6.51,0.8234,37.92,6.82,0.4579,32.12,6.75,0.8407,37.17,8.12,0.88,45.31,18.5
0041500113,DeMar DeRozan,IND,7.71,1.2058,62.63,4.61,0.8537,42.09,6.51,0.8234,37.92,6.82,0.4579,32.12,6.75,0.8407,37.17,8.12,0.88,45.31,30.25
0041500114,DeMar DeRozan,IND,7.71,1.2058,62.63,4.61,0.8537,42.09,6.51,0.8234,37.92,6.82,0.4579,32.12,6.75,0.8407,37.17,8.12,0.88,45.31,19.5
0021400990,DeMar DeRozan,IND,7.71,1.2058,62.63,4.61,0.8537,42.09,6.51,0.8234,37.92,6.82,0.4579,32.12,6.75,0.8407,37.17,8.12,0.88,45.31,29.0
0041500115,DeMar DeRozan,IND,7.71,1.2058,62.63,4.61,0.8537,42.09,6.51,0.8234,37.92,6.82,0.4579,32.12,6.75,0.8407,37.17,8.12,0.88,45.31,42.75
0021500944,DeMar DeRozan,BKN,8.3,1.2967,65.62,4.31,0.8464,37.54,6.68,0.9307,42.13,5.91,0.4884,39.09,6.61,0.9527,42.19,7.94,0.8866,46.72,36.75
0021500529,DeMar DeRozan,BKN,8.3,1.2967,65.62,4.31,0.8464,37.54,6.68,0.9307,42.13,5.91,0.4884,39.09,6.61,0.9527,42.19,7.94,0.8866,46.72,28.75
0021401130,DeMar DeRozan,BKN,8.3,1.2967,65.62,4.31,0.8464,37.54,6.68,0.9307,42.13,5.91,0.4884,39.09,6.61,0.9527,42.19,7.94,0.8866,46.72,46.5
0021500621,DeMar DeRozan,BKN,8.3,1.2967,65.62,4.31,0.8464,37.54,6.68,0.9307,42.13,5.91,0.4884,39.09,6.61,0.9527,42.19,7.94,0.8866,46.72,45.25
0021401188,DeMar DeRozan,MIA,8.12,1.1815,59.47,4.8,0.7734,34.69,6.81,0.8404,38.03,5.62,0.5444,40.83,6.54,0.9254,38.63,8.26,0.9546,49.33,40.5
0021500649,DeMar DeRozan,MIA,8.12,1.1815,59.47,4.8,0.7734,34.69,6.81,0.8404,38.03,5.62,0.5444,40.83,6.54,0.9254,38.63,8.26,0.9546,49.33,49.0
