GAME_ID,PLAYER_NAME,TEAM_AGAINST,PR_HANDLER_PossG,PR_HANDLER_PPP,PR_HANDLER_FG,PR_ROLL_PossG,PR_ROLL_PPP,PR_ROLL_FG,PUT_BACK_PossG,PUT_BACK_PPP,PUT_BACK_FG,SPOT_UP_PossG,SPOT_UP_PPP,SPOT_UP_FG,TRANS_PossG,TRANS_PPP,TRANS_FG,DK_POINTS
0021500732,DeMar DeRozan,PHX,18.76,0.8561,42.93,6.26,1.02,49.88,5.35,1.0911,55.68,21.05,0.9709,38.44,17.77,1.161,57.58,31.25
0021500250,DeMar DeRozan,PHX,18.76,0.8561,42.93,6.26,1.02,49.88,5.35,1.0911,55.68,21.05,0.9709,38.44,17.77,1.161,57.58,43.0
0021500355,DeMar DeRozan,PHI,19.32,0.8499,41.23,7.71,1.0989,52.93,6.2,1.1048,55.44,17.3,1.0202,39.82,17.51,1.1021,53.59,39.0
0021501214,DeMar DeRozan,PHI,19.32,0.8499,41.23,7.71,1.0989,52.93,6.2,1.1048,55.44,17.3,1.0202,39.82,17.51,1.1021,53.59,26.75
0021500554,DeMar DeRozan,PHI,19.32,0.8499,41.23,7.71,1.0989,52.93,6.2,1.1048,55.44,17.3,1.0202,39.82,17.51,1.1021,53.59,33.0
0021500115,DeMar DeRozan,PHI,19.32,0.8499,41.23,7.71,1.0989,52.93,6.2,1.1048,55.44,17.3,1.0202,39.82,17.51,1.1021,53.59,22.0
0021500408,DeMar DeRozan,SAC,18.46,0.8267,42.68,7.11,1.0439,52.17,6.42,1.0603,54.01,21.88,1.0251,40.0,17.49,1.138,55.96,40.5
0021500150,DeMar DeRozan,SAC,18.46,0.8267,42.68,7.11,1.0439,52.17,6.42,1.0603,54.01,21.88,1.0251,40.0,17.49,1.138,55.96,43.25
0021401104,DeMar DeRozan,HOU,14.88,0.7471,42.15,6.55,0.9695,47.43,7.08,1.0459,52.93,24.32,0.983,38.57,16.6,1.1371,57.37,59.0
0021500936,DeMar DeRozan,HOU,14.88,0.7471,42.15,6.55,0.9695,47.43,7.08,1.0459,52.93,24.32,0.983,38.57,16.6,1.1371,57.37,36.75
0021501077,DeMar DeRozan,HOU,14.88,0.7471,42.15,6.55,0.9695,47.43,7.08,1.0459,52.93,24.32,0.983,38.57,16.6,1.1371,57.37,33.25
0021500308,DeMar DeRozan,LAL,17.46,0.8218,42.24,7.44,1.005,49.48,6.2,1.1754,60.82,18.95,0.9901,38.64,16.51,1.165,58.66,28.75
0021500188,DeMar DeRozan,LAL,17.46,0.8218,42.24,7.44,1.005,49.48,6.2,1.1754,60.82,18.95,0.9901,38.64,16.51,1.165,58.66,26.5
0021401080,DeMar DeRozan,LAL,17.46,0.8218,42.24,7.44,1.005,49.48,6.2,1.1754,60.82,18.95,0.9901,38.64,16.51,1.165,58.66,28.75
0021500944,DeMar DeRozan,BKN,15.69,0.8861,45.59,7.79,1.0642,54.38,6.04,1.0228,51.45,22.0,1.0165,40.15,15.72,1.1415,58.05,36.75
0021500529,DeMar DeRozan,BKN,15.69,0.8861,45.59,7.79,1.0642,54.38,6.04,1.0228,51.45,22.0,1.0165,40.15,15.72,1.1415,58.05,28.75
0021401130,DeMar DeRozan,BKN,15.69,0.8861,45.59,7.79,1.0642,54.38,6.04,1.0228,51.45,22.0,1.0165,40.15,15.72,1.1415,58.05,46.5
0021500621,DeMar DeRozan,BKN,15.69,0.8861,45.59,7.79,1.0642,54.38,6.04,1.0228,51.45,22.0,1.0165,40.15,15.72,1.1415,58.05,45.25
0021501098,DeMar DeRozan,OKC,16.74,0.7857,38.2,7.36,0.9508,46.72,6.64,1.0377,52.17,20.4,0.989,39.88,15.66,1.1149,54.05,27.75
0021500066,DeMar DeRozan,OKC,16.74,0.7857,38.2,7.36,0.9508,46.72,6.64,1.0377,52.17,20.4,0.989,39.88,15.66,1.1149,54.05,41.0
0021500421,DeMar DeRozan,DAL,16.29,0.812,41.85,6.89,0.9964,48.77,5.94,1.0716,53.92,22.52,0.9367,36.06,15.34,1.141,55.69,35.5
0021500057,DeMar DeRozan,DAL,16.29,0.812,41.85,6.89,0.9964,48.77,5.94,1.0716,53.92,22.52,0.9367,36.06,15.34,1.141,55.69,28.0
0021500009,DeMar DeRozan,IND,19.75,0.793,41.05,8.28,1.0393,50.09,6.28,1.0697,53.98,20.38,0.916,35.61,15.25,1.0271,50.48,42.25
0041500116,DeMar DeRozan,IND,19.75,0.793,41.05,8.28,1.0393,50.09,6.28,1.0697,53.98,20.38,0.916,35.61,15.25,1.0271,50.48,13.0
0041500117,DeMar DeRozan,IND,19.75,0.793,41.05,8.28,1.0393,50.09,6.28,1.0697,53.98,20.38,0.916,35.61,15.25,1.0271,50.48,48.75
0041500111,DeMar DeRozan,IND,19.75,0.793,41.05,8.28,1.0393,50.09,6.28,1.0697,53.98,20.38,0.916,35.61,15.25,1.0271,50.48,24.0
0041500112,DeMar DeRozan,IND,19.75,0.793,41.05,8.28,1.0393,50.09,6.28,1.0697,53.98,20.38,0.916,35.61,15.25,1.0271,50.48,18.5
0021500357,DeMar DeRozan,IND,19.75,0.793,41.05,8.28,1.0393,50.09,6.28,1.0697,53.98,20.38,0.916,35.61,15.25,1.0271,50.48,34.75
0021501012,DeMar DeRozan,IND,19.75,0.793,41.05,8.28,1.0393,50.09,6.28,1.0697,53.98,20.38,0.916,35.61,15.25,1.0271,50.48,39.5
0041500113,DeMar DeRozan,IND,19.75,0.793,41.05,8.28,1.0393,50.09,6.28,1.0697,53.98,20.38,0.916,35.61,15.25,1.0271,50.48,30.25
0041500114,DeMar DeRozan,IND,19.75,0.793,41.05,8.28,1.0393,50.09,6.28,1.0697,53.98,20.38,0.916,35.61,15.25,1.0271,50.48,19.5
0021400990,DeMar DeRozan,IND,19.75,0.793,41.05,8.28,1.0393,50.09,6.28,1.0697,53.98,20.38,0.916,35.61,15.25,1.0271,50.48,29.0
0041500115,DeMar DeRozan,IND,19.75,0.793,41.05,8.28,1.0393,50.09,6.28,1.0697,53.98,20.38,0.916,35.61,15.25,1.0271,50.48,42.75
0021500991,DeMar DeRozan,CHI,19.24,0.8025,39.93,8.0,1.0609,51.99,6.61,1.0435,51.0,19.8,0.9848,39.0,15.18,1.0264,50.86,37.25
0021500809,DeMar DeRozan,CHI,19.24,0.8025,39.93,8.0,1.0609,51.99,6.61,1.0435,51.0,19.8,0.9848,39.0,15.18,1.0264,50.86,33.75
0021401025,DeMar DeRozan,CHI,19.24,0.8025,39.93,8.0,1.0609,51.99,6.61,1.0435,51.0,19.8,0.9848,39.0,15.18,1.0264,50.86,40.0
0021500507,DeMar DeRozan,CHI,19.24,0.8025,39.93,8.0,1.0609,51.99,6.61,1.0435,51.0,19.8,0.9848,39.0,15.18,1.0264,50.86,33.0
0021500463,DeMar DeRozan,CHI,19.24,0.8025,39.93,8.0,1.0609,51.99,6.61,1.0435,51.0,19.8,0.9848,39.0,15.18,1.0264,50.86,40.5
0021401065,DeMar DeRozan,CHI,19.24,0.8025,39.93,8.0,1.0609,51.99,6.61,1.0435,51.0,19.8,0.9848,39.0,15.18,1.0264,50.86,29.75
0021501202,DeMar DeRozan,NYK,19.09,0.8338,39.97,7.77,1.0,48.06,6.41,1.0405,51.52,17.56,0.9388,37.27,15.0,1.135,54.21,34.75
