"PLAYER_NAME","START_POSITION","MIN","FGA","FG_PCT","FG3A","OREB","REB","AST","STL","PTS","TO","PF","DK_POINTS","PTS_PAINT","PFD","DRIVES","DRIVE_FGA","DRIVE_FG_PCT","DRIVE_PTS","TOUCHES","CONTESTED_FGA","CONTESTED_FG_PCT","PACE","PNR_POSSG","ISO_POSSG","SPOT_POSSG","OFF_SCREEN_POSSG","CATCH_SHOOT_FGA","CATCH_SHOOT_FG_PCT","CATCH_SHOOT_3FGA","PASSES_MADE","PASSES_RECEIVED","TIME_OF_POSS","POST_TOUCH_FGA","PULL_UP_FGA","PULL_UP_3FGA","NATIONAL_TV"
"James Harden","G","41:51",19,0.421,6,0,7,10,8,26,5,3,61.75,8,6,6,2,0.5,5,97,13,0.385,95.61,7.36,6.95,2.35,0.94,3,0.667,3,64,78,6.5,0,10,3,NULL
"James Harden","G","43:58",30,0.533,7,1,5,4,2,42,5,5,55.75,26,7,12,8,0.75,12,93,19,0.684,95.13,7.36,6.95,2.35,0.94,3,0.667,3,48,81,6.5,2,10,4,NULL
"James Harden","G","34:07",25,0.52,7,2,8,3,2,33,4,1,50.75,18,6,8,6,0.667,10,72,20,0.65,93.83,7.36,6.95,2.35,0.94,2,0,2,33,56,6.1,0,11,5,NULL
"Jamal Crawford","G","48:45",20,0.45,11,2,5,4,1,30,1,3,46.75,4,6,2,0,0,4,90,12,0.417,89.89,4.37,3.30,2.66,0.49,2,0,2,59,73,6.3,0,16,8,NULL
"James Harden","G","42:12",25,0.36,12,2,5,7,0,30,8,3,45.00,6,8,12,3,0.333,8,89,20,0.4,87.37,7.36,6.95,2.35,0.94,5,0.4,5,46,75,7.7,0,12,6,NULL
"DeMar DeRozan","G","34:55",15,0.733,1,1,5,0,0,31,0,4,37.25,20,7,15,8,0.75,17,44,14,0.786,88.42,7.61,3.83,2.53,3.22,1,0,1,24,37,3.2,0,3,0,NULL
"Lou Williams","G","32:27",17,0.294,8,3,8,6,2,18,6,0,37.00,6,7,12,4,0.5,8,66,9,0.444,92.6,6.36,1.36,1.49,1.28,3,0,3,36,56,4.4,0,8,4,NULL
"Klay Thompson","G","35:48",15,0.533,7,1,5,2,0,20,0,1,34.75,2,1,3,3,0.333,2,41,8,0.625,94.23,1.44,1.01,3.47,6.25,8,0.625,6,24,33,1.5,1,2,1,NULL
"Dion Waiters","","28:31",9,0.556,2,0,3,6,4,12,2,2,32.75,6,3,2,0,0,0,35,5,0.6,96.95,2.80,1.72,2.82,0.79,0,0,0,22,27,1.8,0,5,2,NULL
"Tony Allen","F","36:23",9,0.556,1,1,8,2,3,13,0,4,32.00,8,3,4,3,0.333,3,37,6,0.5,87.56,0.48,0.44,2.19,NULL,1,1,1,25,17,1,1,0,0,NULL
"Wayne Ellington","G","35:41",12,0.5,6,0,6,2,2,16,1,2,31.00,6,2,1,1,0,0,43,7,0.429,104.83,1.46,0.20,2.64,1.23,4,0.5,4,26,29,1.4,1,3,2,NULL
"Devin Booker","G","40:37",15,0.333,5,0,2,7,2,14,4,3,30.25,2,4,7,4,0.25,2,71,11,0.273,96.1,4.03,0.88,1.73,1.95,3,0,2,48,63,5.1,0,7,3,NULL
"Rodney Stuckey","","32:22",14,0.571,3,2,3,3,0,23,2,3,30.00,10,4,6,3,0.667,5,52,6,0.667,99.61,3.25,0.57,1.64,0.46,3,0.333,3,32,41,2.7,1,4,0,NULL
"Khris Middleton","G","39:32",16,0.375,4,0,6,2,3,18,9,3,30.00,6,4,2,0,0,0,61,11,0.364,94.53,3.29,2.08,3.04,2.22,5,0.2,3,32,42,3.3,0,8,1,NULL
"Dion Waiters","","29:23",16,0.5,4,1,2,3,3,17,1,2,29.25,6,3,4,3,0.333,2,41,10,0.7,93.9,2.80,1.72,2.82,0.79,2,0,2,23,33,1.7,0,6,2,NULL
"Jordan Clarkson","G","34:01",18,0.278,4,0,8,2,2,12,1,1,28.50,4,2,7,5,0.2,2,59,8,0.25,92.68,6.12,1.66,2.23,0.97,5,0.4,4,33,41,3.3,2,5,0,NULL
"Courtney Lee","G","41:20",9,0.556,3,0,2,2,3,17,1,3,28.50,6,3,3,2,1,6,48,4,0.5,85.63,1.51,0.39,2.88,1.76,2,1,2,35,35,2,0,4,1,NULL
"Jordan Clarkson","G","37:45",19,0.316,4,1,2,1,4,14,0,2,28.25,8,5,9,8,0.375,7,65,13,0.308,90.96,6.12,1.66,2.23,0.97,5,0.2,4,42,56,5.2,0,4,0,NULL
"Evan Fournier","G","29:41",9,0.556,5,0,6,3,1,14,1,5,27.75,2,2,2,2,0.5,2,44,1,1,99.01,3.25,0.77,3.64,1.82,3,0.667,2,30,32,1.5,0,3,3,NULL
