DATE,NAME,TEAM_NAME,TEAM_AGAINST,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FG2M,CATCH_SHOOT_FGA,CATCH_SHOOT_FG2A,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT,FG_AT_RIM_ALLOWED,FG_AT_RIM_FACED,DEF_RIM_FG_PCT,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT,ELBOW_TOUCHES,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PTS_PCT,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_FOULS_PCT,PAINT_TOUCHES,PAINT_TOUCH_FGM,PAINT_TOUCH_FGA,PAINT_TOUCH_FG_PCT,PAINT_TOUCH_FTM,PAINT_TOUCH_FTA,PAINT_TOUCH_FT_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_PTS_PCT,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCH_FOULS,PAINT_TOUCH_FOULS_PCT,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_PTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH,TOUCHES,POST_TOUCHES,POST_TOUCH_FGM,POST_TOUCH_FGA,POST_TOUCH_FG_PCT,POST_TOUCH_FTM,POST_TOUCH_FTA,POST_TOUCH_FT_PCT,POST_TOUCH_PTS,POST_TOUCH_PTS_PCT,POST_TOUCH_PASSES,POST_TOUCH_PASSES_PCT,POST_TOUCH_AST,POST_TOUCH_AST_PCT,POST_TOUCH_TOV,POST_TOUCH_TOV_PCT,POST_TOUCH_FOULS,POST_TOUCH_FOULS_PCT,PULL_UP_FGM,PULL_UP_FG2M,PULL_UP_FGA,PULL_UP_FG2A,PULL_UP_FG_PCT,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_PTS,PULL_UP_EFG_PCT,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,DK_POINTS
2015-10-27,ATL,ATL,DET,240:00,6.0,0.0,28.0,6.0,0.214,18.0,6.0,22.0,0.273,0.321,23.0,51.0,0.451,29.0,6.0,12.0,0.5,4.0,6.0,0.667,16.0,0.552,12.0,0.414,3.0,0.103,2.0,0.069,3.0,0.103,16.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.625,3.0,0.188,0.0,0.0,0.0,0.0,12.0,6.0,8.0,0.75,2.0,2.0,1.0,14.0,1.167,2.0,0.167,0.0,0.0,0.0,0.0,1.0,0.083,318.0,317.0,22.0,2.0,8.0,54.0,53.0,32.0,0.069,0.101,94.0,433.0,334.0,17.7,2.45,1.94,0.217,16.0,16.0,12.0,0.0,1.0,1.167,433.0,16.0,7.0,10.0,0.7,2.0,2.0,1.0,16.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,0.063,10.0,8.0,18.0,13.0,0.556,2.0,5.0,0.4,22.0,0.611,7.0,5.0,2.0,0.714,20.0,0.35,4.0,0.438,47.8,33.0,7.0,26.0,0.212,79.0,0.418,8.0,0.465,57.8,40.0,12.0,28.0,0.3,99.0,0.404,12.0,0.46,61.7,87067.0,16.5,8.8,7.7,4.12,4.65,3.62,194.0
2015-10-29,ATL,ATL,NYK,240:00,10.0,3.0,25.0,6.0,0.4,27.0,7.0,19.0,0.368,0.54,25.0,52.0,0.481,30.0,7.0,11.0,0.636,7.0,11.0,0.636,21.0,0.7,12.0,0.4,3.0,0.1,2.0,0.067,5.0,0.167,17.0,1.0,5.0,0.2,0.0,0.0,0.0,2.0,0.118,11.0,0.647,2.0,0.118,0.0,0.0,1.0,0.059,19.0,9.0,12.0,0.75,4.0,4.0,1.0,22.0,1.158,3.0,0.158,1.0,0.053,1.0,0.053,3.0,0.158,322.0,320.0,26.0,2.0,9.0,50.0,64.0,37.0,0.081,0.115,112.0,450.0,338.0,18.7,2.49,1.97,0.249,17.0,27.0,19.0,0.118,0.852,1.158,450.0,27.0,9.0,13.0,0.692,5.0,6.0,0.833,23.0,0.852,6.0,0.222,0.0,0.0,2.0,0.074,5.0,0.185,8.0,5.0,21.0,16.0,0.381,3.0,5.0,0.6,19.0,0.452,7.0,5.0,2.0,0.714,18.0,0.389,1.0,0.412,30.0,32.0,4.0,28.0,0.125,71.0,0.451,17.0,0.593,44.6,39.0,9.0,30.0,0.231,89.0,0.438,18.0,0.549,53.7,92085.0,17.4,9.2,8.3,4.33,4.66,4.05,220.75
2015-10-30,ATL,ATL,CHA,240:00,9.0,1.0,25.0,5.0,0.36,26.0,8.0,20.0,0.4,0.52,19.0,38.0,0.5,28.0,6.0,15.0,0.4,0.0,0.0,0.0,12.0,0.429,6.0,0.214,2.0,0.071,6.0,0.214,0.0,0.0,15.0,2.0,3.0,0.667,0.0,0.0,0.0,4.0,0.267,11.0,0.733,2.0,0.133,0.0,0.0,0.0,0.0,10.0,5.0,6.0,0.833,3.0,3.0,1.0,13.0,1.3,3.0,0.3,0.0,0.0,0.0,0.0,2.0,0.2,306.0,306.0,23.0,1.0,7.0,43.0,55.0,31.0,0.075,0.101,97.0,427.0,339.0,18.3,2.58,2.01,0.227,15.0,14.0,10.0,0.267,0.786,1.3,427.0,14.0,4.0,8.0,0.5,3.0,3.0,1.0,11.0,0.786,5.0,0.357,0.0,0.0,0.0,0.0,2.0,0.143,4.0,4.0,12.0,9.0,0.333,0.0,3.0,0.0,8.0,0.333,8.0,6.0,2.0,0.75,28.0,0.286,1.0,0.296,17.9,37.0,6.0,31.0,0.162,61.0,0.607,9.0,0.712,70.0,45.0,12.0,33.0,0.267,89.0,0.506,10.0,0.57,63.3,89283.0,16.9,8.4,8.5,4.21,4.4,4.02,204.5
2015-11-01,ATL,ATL,CHA,240:00,11.0,6.0,32.0,10.0,0.344,27.0,5.0,22.0,0.227,0.422,8.0,25.0,0.32,32.0,10.0,22.0,0.455,2.0,2.0,1.0,22.0,0.688,7.0,0.219,0.0,0.0,0.0,0.0,3.0,0.094,12.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,0.333,10.0,0.833,1.0,0.083,0.0,0.0,0.0,0.0,18.0,7.0,10.0,0.7,0.0,0.0,0.0,14.0,0.778,7.0,0.389,2.0,0.111,0.0,0.0,1.0,0.056,328.0,328.0,22.0,1.0,7.0,47.0,51.0,30.0,0.067,0.091,94.0,442.0,340.0,18.2,2.47,1.94,0.213,12.0,18.0,18.0,0.333,0.778,0.778,442.0,18.0,7.0,11.0,0.636,0.0,0.0,0.0,14.0,0.778,5.0,0.278,1.0,0.056,1.0,0.056,1.0,0.056,5.0,4.0,17.0,11.0,0.294,1.0,6.0,0.167,11.0,0.324,9.0,7.0,2.0,0.778,21.0,0.429,2.0,0.474,37.1,39.0,2.0,37.0,0.051,59.0,0.661,16.0,0.907,74.8,48.0,9.0,39.0,0.188,80.0,0.6,18.0,0.774,74.4,90342.0,17.1,8.8,8.3,4.26,4.58,3.96,209.5
2015-11-03,ATL,ATL,MIA,240:00,11.0,5.0,28.0,11.0,0.393,28.0,6.0,17.0,0.353,0.5,29.0,43.0,0.674,36.0,8.0,18.0,0.444,6.0,7.0,0.857,22.0,0.611,11.0,0.306,3.0,0.083,3.0,0.083,5.0,0.139,13.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,0.154,11.0,0.846,2.0,0.154,0.0,0.0,0.0,0.0,28.0,9.0,17.0,0.529,3.0,4.0,0.75,21.0,0.75,9.0,0.321,2.0,0.071,1.0,0.036,3.0,0.107,326.0,326.0,25.0,2.0,10.0,49.0,58.0,37.0,0.077,0.113,98.0,453.0,342.0,18.7,2.48,1.98,0.216,13.0,28.0,28.0,0.154,0.679,0.75,453.0,28.0,8.0,16.0,0.5,3.0,4.0,0.75,19.0,0.679,9.0,0.321,2.0,0.071,1.0,0.036,3.0,0.107,2.0,1.0,13.0,9.0,0.154,1.0,4.0,0.25,5.0,0.192,16.0,11.0,5.0,0.688,30.0,0.533,5.0,0.64,25.6,35.0,7.0,28.0,0.2,72.0,0.486,21.0,0.686,57.7,51.0,18.0,33.0,0.353,102.0,0.5,26.0,0.671,58.7,88334.0,16.7,9.0,7.7,4.2,4.6,3.82,211.0
2015-11-04,ATL,ATL,BKN,240:00,14.0,7.0,29.0,11.0,0.483,35.0,7.0,18.0,0.389,0.603,10.0,27.0,0.37,26.0,2.0,12.0,0.167,9.0,12.0,0.75,13.0,0.5,6.0,0.231,2.0,0.077,2.0,0.077,6.0,0.231,17.0,3.0,6.0,0.5,2.0,2.0,1.0,8.0,0.471,9.0,0.529,1.0,0.059,0.0,0.0,2.0,0.118,25.0,6.0,9.0,0.667,4.0,4.0,1.0,16.0,0.64,8.0,0.32,4.0,0.16,2.0,0.08,2.0,0.08,324.0,324.0,27.0,2.0,8.0,47.0,64.0,37.0,0.083,0.114,101.0,445.0,354.0,18.9,2.55,1.87,0.227,17.0,25.0,25.0,0.471,0.56,0.64,445.0,25.0,5.0,9.0,0.556,4.0,4.0,1.0,14.0,0.56,8.0,0.32,3.0,0.12,2.0,0.08,2.0,0.08,5.0,5.0,11.0,8.0,0.455,0.0,3.0,0.0,10.0,0.455,6.0,3.0,3.0,0.5,14.0,0.429,0.0,0.429,18.9,28.0,7.0,21.0,0.25,53.0,0.528,10.0,0.651,57.9,34.0,10.0,24.0,0.294,67.0,0.507,10.0,0.596,58.3,87490.0,16.6,8.9,7.7,4.16,4.48,3.83,224.75
2015-11-06,ATL,ATL,NOP,240:00,12.0,5.0,23.0,9.0,0.522,31.0,7.0,14.0,0.5,0.674,18.0,23.0,0.783,31.0,8.0,16.0,0.5,6.0,7.0,0.857,22.0,0.71,9.0,0.29,3.0,0.097,1.0,0.032,5.0,0.161,16.0,2.0,4.0,0.5,0.0,0.0,0.0,4.0,0.25,11.0,0.688,3.0,0.188,1.0,0.063,0.0,0.0,16.0,5.0,10.0,0.5,4.0,4.0,1.0,14.0,0.875,2.0,0.125,0.0,0.0,0.0,0.0,3.0,0.188,313.0,313.0,30.0,4.0,10.0,50.0,72.0,44.0,0.096,0.141,121.0,429.0,331.0,18.9,2.64,2.15,0.282,16.0,18.0,16.0,0.25,1.111,0.875,429.0,18.0,7.0,12.0,0.583,6.0,6.0,1.0,20.0,1.111,1.0,0.056,0.0,0.0,0.0,0.0,4.0,0.222,5.0,3.0,12.0,6.0,0.417,2.0,6.0,0.333,12.0,0.5,6.0,5.0,1.0,0.833,11.0,0.545,0.0,0.545,26.4,35.0,6.0,29.0,0.171,57.0,0.614,14.0,0.814,64.9,41.0,11.0,30.0,0.268,68.0,0.603,14.0,0.759,62.2,93033.0,17.6,9.4,8.3,4.4,4.84,4.02,238.75
2015-11-07,ATL,ATL,WAS,240:00,18.0,5.0,37.0,10.0,0.486,49.0,13.0,27.0,0.481,0.662,18.0,27.0,0.667,30.0,3.0,15.0,0.2,2.0,2.0,1.0,8.0,0.267,12.0,0.4,6.0,0.2,2.0,0.067,1.0,0.033,16.0,1.0,5.0,0.2,0.0,0.0,0.0,2.0,0.125,11.0,0.688,1.0,0.063,0.0,0.0,0.0,0.0,16.0,9.0,10.0,0.9,2.0,2.0,1.0,20.0,1.25,4.0,0.25,1.0,0.063,1.0,0.063,1.0,0.063,322.0,322.0,37.0,2.0,13.0,59.0,89.0,52.0,0.115,0.161,114.0,451.0,347.0,20.5,2.73,1.97,0.253,16.0,19.0,16.0,0.125,1.158,1.25,451.0,19.0,9.0,11.0,0.818,4.0,4.0,1.0,22.0,1.158,4.0,0.211,1.0,0.053,2.0,0.105,2.0,0.105,1.0,1.0,11.0,7.0,0.091,0.0,4.0,0.0,2.0,0.091,10.0,5.0,5.0,0.5,24.0,0.417,3.0,0.476,45.3,29.0,7.0,22.0,0.241,51.0,0.569,12.0,0.744,49.2,39.0,12.0,27.0,0.308,75.0,0.52,15.0,0.65,55.5,91080.0,17.3,9.4,7.9,4.31,4.39,4.2,240.5
2015-11-09,ATL,ATL,MIN,240:00,10.0,1.0,26.0,8.0,0.385,29.0,9.0,18.0,0.5,0.558,15.0,25.0,0.6,31.0,11.0,18.0,0.611,2.0,2.0,1.0,24.0,0.774,9.0,0.29,2.0,0.065,4.0,0.129,2.0,0.065,14.0,1.0,5.0,0.2,0.0,0.0,0.0,2.0,0.143,6.0,0.429,0.0,0.0,2.0,0.143,1.0,0.071,16.0,6.0,9.0,0.667,0.0,1.0,0.0,12.0,0.75,6.0,0.375,2.0,0.125,0.0,0.0,1.0,0.063,299.0,299.0,30.0,0.0,6.0,54.0,69.0,36.0,0.1,0.12,107.0,422.0,308.0,17.8,2.54,2.04,0.254,14.0,20.0,16.0,0.143,0.7,0.75,422.0,20.0,7.0,10.0,0.7,0.0,1.0,0.0,14.0,0.7,9.0,0.45,2.0,0.1,0.0,0.0,1.0,0.05,9.0,5.0,21.0,9.0,0.429,4.0,12.0,0.333,22.0,0.524,4.0,1.0,3.0,0.25,10.0,0.4,1.0,0.444,15.4,23.0,6.0,17.0,0.261,47.0,0.489,13.0,0.676,42.3,27.0,7.0,20.0,0.259,57.0,0.474,14.0,0.628,43.4,87489.0,16.6,8.6,8.0,4.13,4.55,3.76,214.25
2015-11-11,ATL,ATL,NOP,240:00,12.0,3.0,26.0,5.0,0.462,33.0,9.0,21.0,0.429,0.635,9.0,25.0,0.36,37.0,9.0,22.0,0.409,4.0,6.0,0.667,22.0,0.595,9.0,0.243,3.0,0.081,3.0,0.081,3.0,0.081,16.0,1.0,2.0,0.5,1.0,2.0,0.5,3.0,0.188,10.0,0.625,1.0,0.063,3.0,0.188,1.0,0.063,18.0,7.0,8.0,0.875,1.0,1.0,1.0,15.0,0.833,7.0,0.389,1.0,0.056,2.0,0.111,1.0,0.056,328.0,327.0,26.0,0.0,6.0,44.0,60.0,32.0,0.079,0.098,106.0,455.0,355.0,19.7,2.59,2.04,0.233,16.0,24.0,18.0,0.188,0.792,0.833,455.0,24.0,9.0,10.0,0.9,1.0,1.0,1.0,19.0,0.792,10.0,0.417,1.0,0.042,2.0,0.083,1.0,0.042,5.0,4.0,18.0,13.0,0.278,1.0,5.0,0.2,11.0,0.306,8.0,7.0,1.0,0.875,18.0,0.444,3.0,0.533,22.7,36.0,12.0,24.0,0.333,61.0,0.59,16.0,0.8,41.4,44.0,19.0,25.0,0.432,79.0,0.557,19.0,0.733,43.3,88229.0,16.7,9.0,7.7,4.15,4.41,3.88,226.5
