MIN,REB,OREB,OREB_CHANCES,OREB_CHANCE_PCT_ADJ,REB_CHANCES,REB_CHANCE_PCT_ADJ,TEAM_AGAINST,avgFGA,avgPace
21.0,10.0,5.0,9.0,0.556,21.0,0.588,PHI,84.398,99.8490816326531
20.0,9.0,1.0,4.0,0.25,15.0,0.643,NOP,85.3131,97.84777777777775
27.0,6.0,1.0,2.0,0.5,9.0,0.857,SAC,85.4242,101.59030303030302
27.0,8.0,5.0,6.0,0.833,15.0,0.8,ATL,84.3529,98.57823529411763
25.0,7.0,2.0,3.0,0.667,12.0,0.778,DEN,86.0515,98.33123711340204
29.0,13.0,5.0,8.0,0.625,22.0,0.65,LAL,84.68,97.4905
26.0,7.0,2.0,3.0,0.667,12.0,0.636,SAS,82.9455,95.63909090909085
27.0,9.0,2.0,5.0,0.5,15.0,0.692,PHI,84.398,99.8490816326531
26.0,13.0,5.0,9.0,0.556,21.0,0.722,SAC,85.4242,101.59030303030302
27.0,12.0,3.0,7.0,0.429,19.0,0.706,MIL,82.6837,96.67846938775506
27.0,12.0,5.0,7.0,0.714,20.0,0.706,WAS,85.5769,99.77384615384611
24.0,11.0,2.0,3.0,1.0,18.0,0.688,CHA,84.1776,96.95308411214951
20.0,5.0,0.0,0.0,0.0,7.0,0.714,BKN,84.71,97.11000000000004
21.0,8.0,1.0,4.0,0.25,14.0,0.615,MIA,81.4159,95.17283185840706
23.0,9.0,3.0,6.0,0.6,17.0,0.692,LAC,82.9182,98.2873636363636
20.0,2.0,0.0,3.0,0.0,9.0,0.333,NYK,83.3636,95.64909090909089
21.0,13.0,3.0,7.0,0.5,22.0,0.722,DET,85.6863,96.4271568627451
29.0,12.0,1.0,4.0,0.25,18.0,0.706,PHX,85.2474,100.14680412371136
21.0,7.0,2.0,6.0,0.4,11.0,0.7,POR,86.2523,97.98765765765766
21.0,4.0,0.0,2.0,0.0,8.0,0.571,DET,85.6863,96.4271568627451
20.0,6.0,2.0,2.0,1.0,9.0,0.857,MIN,81.03,97.18990000000002
29.0,11.0,2.0,8.0,0.333,24.0,0.55,MIN,81.03,97.18990000000002
20.0,4.0,0.0,1.0,0.0,8.0,0.667,CLE,83.3438,94.64789062499999
22.0,7.0,1.0,1.0,1.0,7.0,1.0,DET,85.6863,96.4271568627451
20.0,4.0,0.0,2.0,0.0,9.0,0.444,POR,86.2523,97.98765765765766
20.0,7.0,1.0,5.0,0.2,15.0,0.538,HOU,82.9397,100.47439655172414
26.0,10.0,4.0,9.0,0.571,16.0,0.714,BKN,84.71,97.11000000000004
24.0,9.0,2.0,3.0,0.667,15.0,0.9,ATL,84.3529,98.57823529411763
21.0,4.0,0.0,3.0,0.0,24.0,0.235,MIA,81.4159,95.17283185840706
26.0,6.0,4.0,6.0,0.667,13.0,0.545,CHI,86.3592,97.24834951456309
25.0,13.0,2.0,6.0,0.4,22.0,0.65,MIL,82.6837,96.67846938775506
24.0,11.0,3.0,5.0,0.6,15.0,0.786,BOS,88.9048,100.7348571428571
27.0,13.0,5.0,11.0,0.5,20.0,0.722,BOS,88.9048,100.7348571428571
20.0,7.0,2.0,5.0,0.5,18.0,0.538,CHA,84.1776,96.95308411214951
22.0,9.0,3.0,5.0,0.6,14.0,0.75,ATL,84.3529,98.57823529411763
20.0,8.0,1.0,2.0,0.5,12.0,0.727,NYK,83.3636,95.64909090909089
22.0,7.0,3.0,9.0,0.375,16.0,0.5,PHI,84.398,99.8490816326531
24.0,16.0,4.0,5.0,0.8,22.0,0.762,IND,84.1792,97.98726415094337
20.0,11.0,4.0,6.0,0.667,15.0,0.786,IND,84.1792,97.98726415094337
29.0,5.0,2.0,6.0,0.333,17.0,0.455,CLE,83.3438,94.64789062499999
21.0,4.0,0.0,2.0,0.0,10.0,0.4,CLE,83.3438,94.64789062499999
26.0,9.0,0.0,6.0,0.0,17.0,0.6,CLE,83.3438,94.64789062499999
