NAME,TEAM_NAME,GP,CUT_PossG,CUT_PPP,CUT_FG,HANDOFF_PossG,HANDOFF_PPP,HANDOFF_FG,ISO_PossG,ISO_PPP,ISO_FG,MISC_PossG,MISC_PPP,MISC_FG,OFF_SCREEN_PossG,OFF_SCREEN_PPP,OFF_SCREEN_FG,POST_UP_PossG,POST_UP_PPP,POST_UP_FG,PR_HANDLER_PossG,PR_HANDLER_PPP,PR_HANDLER_FG,PR_ROLL_PossG,PR_ROLL_PPP,PR_ROLL_FG,PUT_BACK_PossG,PUT_BACK_PPP,PUT_BACK_FG,SPOT_UP_PossG,SPOT_UP_PPP,SPOT_UP_FG,TRANS_PossG,TRANS_PPP,TRANS_FG
Atlanta Hawks,ATL,80,9.0125,1.21498000621796,62.4373956594324,4.675,0.933155000209808,45.6666666666667,6.0125,0.806653022766113,39.5604395604396,5.675,0.572686970233917,38.3928571428571,6.5375,0.969407021999359,40.1273885350318,6.1125,0.971369981765747,50.1392757660167,17.9875,0.734538018703461,37.8887841658812,9.175,1.04086995124817,48.2059282371295,3.6875,1.07118999958038,52.9661016949153,22.6625,0.974075973033905,39.0153846153846,15.9125,1.11940002441406,56.5482233502538
Boston Celtics,BOS,80,7.7125,1.27066004276276,63.6882129277567,7.4125,0.858346998691559,38.9006342494715,5.8125,0.78924697637558,34.6774193548387,6.825,0.556777000427246,38.3458646616541,6.9,0.95108699798584,41.2121212121212,6.7125,0.858473002910614,43.4679334916865,16.0625,0.782100975513458,38.9759665621735,8.3125,0.959398984909058,46.1538461538462,6.3,1.00794005393982,51.508120649652,22.5875,0.939679026603699,36.8,18.4875,1.10210001468658,52.9105125977411
Cleveland Cavaliers,CLE,80,7.375,1.22712004184723,63.9240506329114,3.3,0.886363983154297,35.9307359307359,9.5125,0.834428012371063,37.7535101404056,6.4125,0.522417008876801,37.6237623762376,4.875,1.02821004390717,42.1348314606742,8.425,0.875370979309082,44.8543689320388,18.7375,0.809872984886169,42.4552429667519,6.775,1.15682995319366,54.954954954955,4.7625,1.01049995422363,50.6578947368421,21.5625,1.05855000019073,39.5989974937343,14.05,1.19929003715515,59.1549295774648
New Orleans Pelicans,NOP,80,6.3,1.22221994400024,63.4517766497462,3.9875,0.921630024909973,43.2330827067669,7.7625,0.792271018028259,35.3174603174603,6.1125,0.529651999473572,39.0243902439024,5.3375,1.06323003768921,46.4379947229551,7.0125,0.84313702583313,41.5313225058005,22.375,0.847486019134521,41.6140350877193,9.3125,1.02819001674652,48.1907894736842,5.8125,1.01075005531311,51.5228426395939,20.4625,0.92486298084259,37.8581173260573,13.825,1.13742995262146,55.4006968641115
Chicago Bulls,CHI,80,8.65,1.2080899477005,60.7573149741824,5.6625,0.883001983165741,41.304347826087,6.9625,0.816875994205475,40.0900900900901,6.5875,0.481972992420197,34.8837209302326,4.1125,0.942249000072479,37.2013651877133,9.0625,0.808275997638702,41.8312387791742,20.1,0.830223977565765,41.3229571984436,7.15,0.980768978595734,47.3029045643154,6.8625,0.978142023086548,47.9744136460554,21.6875,1.01268005371094,40.125786163522,12.9375,0.986473023891449,48.4886649874055
Dallas Mavericks,DAL,80,8.7375,1.25321996212006,64.7482014388489,3.75,0.863332986831665,39.5256916996047,6.575,0.874525010585785,39.8568019093079,6.3,0.617062985897064,39.0476190476191,7.5,0.866666972637177,38.5338345864662,8.5625,0.941605985164642,45.3358208955224,18.975,0.804347991943359,41.2575366063738,7.9875,1.02816998958588,48.0075901328273,4.1,0.978658974170685,49.4339622641509,23.4875,1.00638997554779,39.2463768115942,10.3625,1.16042995452881,51.0736196319018
Denver Nuggets,DEN,81,9.55555555555556,1.19638001918793,61.9273301737757,5.54320987654321,0.897549986839294,40.3899721448468,6.8641975308642,0.71043199300766,30.3296703296703,6.87654320987654,0.60502701997757,38.9937106918239,3.18518518518519,1.02713000774384,41.3953488372093,7.41975308641975,0.873543977737427,43.9655172413793,18.8765432098765,0.752125978469849,38.768115942029,8.4320987654321,1.04832005500793,50.6194690265487,6.92592592592593,1.02496004104614,51.9067796610169,21.3703703703704,0.90987902879715,36.1075544174136,14.679012345679,1.12278997898102,54.9389567147614
Golden State Warriors,GSW,81,12.0246913580247,1.24434995651245,64.320987654321,3.17283950617284,1.06226003170013,47.0873786407767,6.97530864197531,0.925664007663727,43.1372549019608,8.7283950617284,0.582744002342224,49.1525423728814,13.0493827160494,1.05202996730804,43.4643995749203,6.79012345679012,0.800000011920929,41.9047619047619,11.7037037037037,0.982068002223969,45.9568733153639,5.60493827160494,0.991189002990723,46.5181058495822,5.34567901234568,0.914550006389618,45.1086956521739,18.5185185185185,1.09932994842529,42.1783625730994,19.4074074074074,1.15330994129181,57.5807787903894
Houston Rockets,HOU,80,8.275,1.17220997810364,62.6223091976517,3.4875,0.856630980968475,39.8148148148148,10.5375,0.871886014938354,36.8501529051988,8.1375,0.56989198923111,34.4594594594595,3.6625,0.959043979644775,38.6178861788618,7.05,0.828014016151428,44.9877750611247,14.85,0.831650018692017,41.1837237977805,5.3875,1.02320003509521,53.5087719298246,6.2,1.04435002803802,55.4156171284635,22.7875,0.961053013801575,37.0102471368294,20.925,1.10274994373322,52.8063241106719
Los Angeles Clippers,LAC,80,6.3,1.28770005702972,70.8860759493671,5.95,0.850839972496033,39.1414141414141,10.175,0.927518010139465,40.3225806451613,7.8875,0.614897012710571,35.8490566037736,7.2125,1.04679000377655,44.980694980695,4.675,0.810159981250763,41.8181818181818,19.6625,0.881119012832642,44.2105263157895,8.8375,1.05375003814697,53.4686971235195,4.275,1.03508996963501,52.9616724738676,17.975,1.0159900188446,38.8423457730388,13.3125,1.14271998405457,55.4568527918782
